Course,Green,Tee,CR,SR,Yards
西アウト-西イン,ベント,Black,83.7,151,7437
西アウト-西イン,ベント,Blue,80.7,145,6899
西アウト-西イン,ベント,White,77.6,140,6381
西アウト-西イン,ベント,Gold,73.7,133,5720
西アウト-西イン,ベント,Red,71.5,129,5318
東アウト-東イン,ニューグリーン,Black,79.9,142,6842
東アウト-東イン,ニューグリーン,Blue,79.1,139,6689
東アウト-東イン,ニューグリーン,White,76.9,135,6311
東アウト-東イン,ニューグリーン,Gold,74.3,132,5890
東アウト-東イン,ニューグリーン,Red,70.8,126,5308
東アウト-東イン,オールドグリーン,Black,79.6,142,6695
東アウト-東イン,オールドグリーン,Blue,78.7,139,6542
東アウト-東イン,オールドグリーン,White,76.4,135,6164
東アウト-東イン,オールドグリーン,Gold,73.9,131,5743
東アウト-東イン,オールドグリーン,Red,70.4,126,5161
