Course,Green,Tee,CR,SR,Yards
中-西,コーライ,バック,77.8,142,6695
中-西,コーライ,レギュラー,75.8,137,6347
中-西,コーライ,レディース,71.7,129,5617
中-西,ベント,バック,77.2,140,6601
中-西,ベント,レギュラー,75.2,135,6235
中-西,ベント,レディース,71.2,127,5510
東-中,コーライ,バック,76.6,140,6505
東-中,コーライ,レギュラー,73.9,135,6031
東-中,コーライ,レディース,70.1,127,5359
東-中,ベント,バック,76.4,138,6502
東-中,ベント,レギュラー,73.9,132,6028
東-中,ベント,レディース,70.1,124,5357
西-東,ベント,バック,76.6,135,6485
西-東,ベント,レギュラー,74.1,129,6031
西-東,ベント,レディース,70.9,123,5453
西-東,コーライ,バック,76.2,133,6404
西-東,コーライ,レギュラー,73.7,129,5968
西-東,コーライ,レディース,70.4,122,5380
