Course,Green,Tee,CR,SR,Yards
中-西,コーライ,バック,70.7,134,6695
中-西,コーライ,レギュラー,69.2,130,6347
中-西,コーライ,レディース,65.8,124,5617
中-西,ベント,バック,70.3,129,6601
中-西,ベント,レギュラー,68.6,126,6235
中-西,ベント,レディース,65.3,120,5510
東-中,ベント,バック,70.1,125,6502
東-中,ベント,レギュラー,67.9,121,6028
東-中,ベント,レディース,64.9,114,5357
東-中,コーライ,バック,70.0,128,6505
東-中,コーライ,レギュラー,68.0,123,6031
東-中,コーライ,レディース,64.9,117,5359
西-東,ベント,バック,70.0,126,6485
西-東,ベント,レギュラー,67.9,122,6031
西-東,ベント,レディース,65.4,116,5453
西-東,コーライ,バック,69.7,124,6404
西-東,コーライ,レギュラー,67.8,120,5968
西-東,コーライ,レディース,65.1,115,5380
