Course,Green,Tee,CR,SR,Yards
桜アウト-桜イン,ベント,Back,79.1,138,6764
桜アウト-桜イン,ベント,Regular,76.7,134,6320
桜アウト-桜イン,ベント,Senior,75.2,131,6052
桜アウト-桜イン,ベント,Ladies,72.0,124,5473
桜ミックス(旧)-白樺アウト,ベント,Back,79.1,141,6751
桜ミックス(旧)-白樺アウト,ベント,Regular,76.4,136,6262
桜ミックス(旧)-白樺アウト,ベント,Senior,74.2,131,5860
桜ミックス(旧)-白樺アウト,ベント,Ladies,72.0,126,5460
桜ミックス(旧)-白樺イン,ベント,Back,77.7,139,6511
桜ミックス(旧)-白樺イン,ベント,Regular,75.4,134,6097
桜ミックス(旧)-白樺イン,ベント,Senior,73.8,130,5806
桜ミックス(旧)-白樺イン,ベント,Ladies,71.5,126,5391
白樺アウト-白樺イン,ベント,Back,76.8,138,6332
白樺アウト-白樺イン,ベント,Regular,74.6,133,5919
白樺アウト-白樺イン,ベント,Senior,73.2,132,5722
白樺アウト-白樺イン,ベント,Ladies,70.7,126,5237
