Course,Green,Tee,CR,SR,Yards
権現(アウト)-権現(イン),メインベント,バック,71.0,128,6633
権現(アウト)-権現(イン),メインベント,レギュラー,69.3,123,6238
権現(アウト)-権現(イン),メインベント,フロント,68.1,119,5910
権現(アウト)-権現(イン),メインベント,レディース,66.0,113,5302
権現(アウト)-権現(イン),サブベント,バック,70.7,127,6568
権現(アウト)-権現(イン),サブベント,レギュラー,69.1,122,6174
権現(アウト)-権現(イン),サブベント,フロント,67.9,118,5852
権現(アウト)-権現(イン),サブベント,レディース,65.7,112,5243
勝成(アウト)-勝成(イン),ベント,バック,69.2,123,6107
勝成(アウト)-勝成(イン),ベント,レギュラー,68.4,120,5838
勝成(アウト)-勝成(イン),ベント,フロント,67.2,117,5510
勝成(アウト)-勝成(イン),ベント,レディース,63.9,107,4721
