Course,Green,Tee,CR,SR,Yards
プリンス-クイーン,ベント,黒,81.5,148,7060
プリンス-クイーン,ベント,月例1,79.6,144,6680
プリンス-クイーン,ベント,青,79.1,143,6600
プリンス-クイーン,ベント,白,75.5,137,6040
プリンス-クイーン,ベント,月例2,75.2,137,5930
プリンス-クイーン,ベント,金,74.7,137,5905
プリンス-クイーン,ベント,赤,71.4,127,5300
プリンス-クイーン,ベント,桃,67.3,121,4620
クイーン-キング,ベント,黒,81.3,148,7060
クイーン-キング,ベント,月例1,79.4,144,6680
クイーン-キング,ベント,青,78.9,143,6600
クイーン-キング,ベント,白,75.5,137,6040
クイーン-キング,ベント,月例2,75.2,137,5950
クイーン-キング,ベント,金,74.7,136,5920
クイーン-キング,ベント,赤,71.1,128,5300
クイーン-キング,ベント,桃,67.1,121,4630
キング-プリンス,ベント,黒,81.2,148,7060
キング-プリンス,ベント,月例1,79.4,144,6680
キング-プリンス,ベント,青,78.8,143,6600
キング-プリンス,ベント,白,75.8,137,6080
キング-プリンス,ベント,月例2,75.6,137,5950
キング-プリンス,ベント,金,74.4,135,5875
キング-プリンス,ベント,赤,71.3,127,5300
キング-プリンス,ベント,桃,68.6,122,4850
