Course,Green,Tee,CR,SR,Yards
東-西,AG,バック,81.0,143,6961
東-西,AG,レギュラー,79.0,137,6593
東-西,AG,フロント,77.6,134,6351
東-西,AG,レディース,75.9,134,6061
東-西,BG,バック,79.8,140,6728
東-西,BG,レギュラー,77.5,135,6359
東-西,BG,フロント,76.3,134,6129
東-西,BG,レディース,74.7,130,5839
西-南,AG,バック,78.8,141,6541
西-南,AG,レギュラー,76.9,136,6183
西-南,AG,フロント,75.3,131,5949
西-南,AG,レディース,74.3,131,5797
西-南,BG,バック,78.2,138,6386
西-南,BG,レギュラー,76.1,134,6028
西-南,BG,フロント,74.4,130,5794
西-南,BG,レディース,73.7,129,5642
南-東,AG,バック,78.4,141,6482
南-東,AG,レギュラー,76.3,135,6142
南-東,AG,フロント,74.7,134,5898
南-東,AG,レディース,74.0,134,5760
南-東,BG,バック,77.6,140,6324
南-東,BG,レギュラー,75.4,138,5983
南-東,BG,フロント,74.3,135,5751
南-東,BG,レディース,73.4,132,5613
