Course,Green,Tee,CR,SR,Yards
東-西,AG,バック,73.6,137,6961
東-西,AG,レギュラー,72.0,130,6593
東-西,AG,フロント,70.7,127,6351
東-西,AG,レディース,69.2,126,6061
東-西,BG,バック,72.5,131,6728
東-西,BG,レギュラー,70.7,126,6359
東-西,BG,フロント,69.4,125,6129
東-西,BG,レディース,68.1,123,5839
西-南,AG,バック,71.9,131,6541
西-南,AG,レギュラー,70.7,125,6183
西-南,AG,フロント,69.4,122,5949
西-南,AG,レディース,68.6,121,5797
西-南,BG,バック,71.2,124,6386
西-南,BG,レギュラー,69.8,123,6028
西-南,BG,フロント,68.5,122,5794
西-南,BG,レディース,67.7,121,5642
南-東,AG,バック,71.5,136,6482
南-東,AG,レギュラー,70.1,127,6142
南-東,AG,フロント,68.7,126,5898
南-東,AG,レディース,68.0,125,5760
南-東,BG,バック,70.7,133,6324
南-東,BG,レギュラー,69.3,127,5983
南-東,BG,フロント,67.9,124,5751
南-東,BG,レディース,67.4,123,5613
