Course,Green,Tee,CR,SR,Yards
北アウト-北イン,メインベント,バック,77.4,140,6750
北アウト-北イン,メインベント,レギュラー,75.9,136,6449
北アウト-北イン,メインベント,フロント,74.3,132,6095
北アウト-北イン,メインベント,レディース,70.2,121,5293
北アウト-北イン,サブベント,バック,75.6,135,6470
北アウト-北イン,サブベント,レギュラー,74.2,131,6170
北アウト-北イン,サブベント,フロント,72.6,127,5818
北アウト-北イン,サブベント,レディース,68.8,117,5011
南アウト-南イン,メインベント,バック,76.1,137,6495
南アウト-南イン,メインベント,レギュラー,74.4,132,6134
南アウト-南イン,メインベント,フロント,73.7,130,6032
南アウト-南イン,メインベント,レディース,71.8,125,5659
南アウト-南イン,サブベント,バック,74.7,133,6263
南アウト-南イン,サブベント,レギュラー,73.0,128,5905
南アウト-南イン,サブベント,フロント,72.2,126,5803
南アウト-南イン,サブベント,レディース,70.0,120,5368
