Course,Green,Tee,CR,SR,Yards
東條OUT-東條IN,ベント2,バック,75.0,139,7495
東條OUT-東條IN,ベント2,レギュラー,74.4,138,7372
東條OUT-東條IN,ベント2,フロント,72.5,132,6976
東條OUT-東條IN,ベント2,レディース,71.0,128,6661
大蔵西-大蔵南,ベント2,バック,70.1,125,6359
大蔵西-大蔵南,ベント2,レギュラー,68.7,121,6001
大蔵西-大蔵南,ベント2,フロント,67.4,117,5687
大蔵西-大蔵南,ベント1,バック,69.0,122,6078
大蔵西-大蔵南,ベント1,レギュラー,67.7,118,5740
大蔵西-大蔵南,ベント1,フロント,66.3,114,5399
大蔵東-大蔵西,ベント2,バック,69.9,125,6345
大蔵東-大蔵西,ベント2,レギュラー,68.4,120,5979
大蔵東-大蔵西,ベント2,フロント,67.3,117,5698
大蔵東-大蔵西,ベント1,バック,68.9,122,6118
大蔵東-大蔵西,ベント1,レギュラー,67.7,118,5799
大蔵東-大蔵西,ベント1,フロント,66.3,114,5443
大蔵南-大蔵東,ベント2,バック,69.8,124,6324
大蔵南-大蔵東,ベント2,レギュラー,68.3,120,5952
大蔵南-大蔵東,ベント2,フロント,67.1,116,5641
大蔵南-大蔵東,ベント1,バック,69.3,123,6202
大蔵南-大蔵東,ベント1,レギュラー,68.0,119,5867
大蔵南-大蔵東,ベント1,フロント,66.4,114,5472
