Course,Green,Tee,CR,SR,Yards
西-東,ベント,バック,81.9,146,7120
西-東,ベント,バック|バック2,81.6,146,7073
西-東,ベント,レギュラー,79.7,142,6755
西-東,ベント,フロント,77.3,137,6322
西-東,ベント,フロント2,76.6,135,6192
西-東,ベント,レディース,73.7,130,5686
西-東,ベント,レディース2,70.6,122,5135
西-東,ベント,プラチナ,64.8,111,4072
東-中,ベント,バック,81.7,144,7088
東-中,ベント,バック2|バック,81.4,143,7041
東-中,ベント,レギュラー,79.7,139,6727
東-中,ベント,フロント,77.6,134,6341
東-中,ベント,フロント2,77.1,133,6255
東-中,ベント,レディース,73.6,127,5625
東-中,ベント,レディース2,71.6,125,5262
東-中,ベント,プラチナ,65.0,112,4077
中-西,ベント,バック,81.6,143,7102
中-西,ベント,レギュラー,79.4,139,6742
中-西,ベント,フロント,77.1,134,6317
中-西,ベント,フロント2,76.3,132,6165
中-西,ベント,レディース,73.3,127,5655
中-西,ベント,レディース2,70.8,123,5205
中-西,ベント,プラチナ,64.8,111,4087
