Course,Green,Tee,CR,SR,Yards
ききょう-りんどう,Aグリーン,トーナメント,72.2,128,6832
ききょう-りんどう,Aグリーン,バック,70.9,126,6533
ききょう-りんどう,Aグリーン,レギュラー,69.7,123,6269
ききょう-りんどう,Aグリーン,レディース,65.4,115,5298
ききょう-りんどう,Bグリーン,トーナメント,71.0,126,6606
ききょう-りんどう,Bグリーン,バック,69.7,123,6307
ききょう-りんどう,Bグリーン,レギュラー,68.6,120,6043
ききょう-りんどう,Bグリーン,レディース,64.3,112,5074
あざみ-ききょう,Aグリーン,トーナメント,71.7,130,6783
あざみ-ききょう,Aグリーン,バック,70.3,127,6456
あざみ-ききょう,Aグリーン,レギュラー,69.2,125,6195
あざみ-ききょう,Aグリーン,レディース,65.9,118,5462
あざみ-ききょう,Bグリーン,トーナメント,70.0,125,6500
あざみ-ききょう,Bグリーン,バック,68.6,123,6173
あざみ-ききょう,Bグリーン,レギュラー,67.5,120,5912
あざみ-ききょう,Bグリーン,レディース,64.2,114,5181
りんどう-あざみ,Aグリーン,トーナメント,70.7,128,6587
りんどう-あざみ,Aグリーン,バック,69.4,126,6279
りんどう-あざみ,Aグリーン,レギュラー,68.1,124,6006
りんどう-あざみ,Aグリーン,レディース,64.7,116,5216
りんどう-あざみ,Bグリーン,トーナメント,69.4,125,6384
りんどう-あざみ,Bグリーン,バック,68.1,122,6076
りんどう-あざみ,Bグリーン,レギュラー,66.9,119,5803
りんどう-あざみ,Bグリーン,レディース,63.5,112,5017
