Course,Green,Tee,CR,SR,Yards
多幸OUT-多幸IN,Bグリーン,バック,75.7,131,6084
多幸OUT-多幸IN,Bグリーン,レギュラー,73.9,128,5754
多幸OUT-多幸IN,Bグリーン,シニア,68.7,116,4818
多幸OUT-多幸IN,Bグリーン,フロント,66.0,110,4322
多幸OUT-多幸IN,Aグリーン,バック,75.3,131,6053
多幸OUT-多幸IN,Aグリーン,レギュラー,73.4,126,5709
多幸OUT-多幸IN,Aグリーン,シニア,68.1,115,4762
多幸OUT-多幸IN,Aグリーン,フロント,65.4,109,4254
飛駒OUT-飛駒IN,Bグリーン,バック,73.4,131,5645
飛駒OUT-飛駒IN,Bグリーン,レギュラー,71.5,127,5289
飛駒OUT-飛駒IN,Bグリーン,シニア,66.5,117,4399
飛駒OUT-飛駒IN,Bグリーン,フロント,65.5,115,4184
飛駒OUT-飛駒IN,Aグリーン,バック,73.2,134,5669
飛駒OUT-飛駒IN,Aグリーン,レギュラー,71.3,129,5311
飛駒OUT-飛駒IN,Aグリーン,シニア,66.3,119,4418
飛駒OUT-飛駒IN,Aグリーン,フロント,65.4,116,4203
