Course,Green,Tee,CR,SR,Yards
南アウト-南イン,Aグリーン,バック,76.6,138,6688
南アウト-南イン,Aグリーン,レギュラー,74.0,131,6165
南アウト-南イン,Aグリーン,フロント1,72.2,126,5829
南アウト-南イン,Aグリーン,フロント2,69.2,118,5194
南アウト-南イン,Bグリーン,バック,76.2,137,6579
南アウト-南イン,Bグリーン,レギュラー,73.5,130,6076
南アウト-南イン,Bグリーン,フロント1,71.7,125,5740
南アウト-南イン,Bグリーン,フロント2,68.8,117,5105
南イン-黄金,Aグリーン,バック,76.4,137,6604
南イン-黄金,Aグリーン,レギュラー,74.3,132,6212
南イン-黄金,Aグリーン,フロント1,73.0,128,5960
南イン-黄金,Aグリーン,フロント2,69.6,119,5280
南イン-黄金,Bグリーン,バック,75.8,136,6490
南イン-黄金,Bグリーン,レギュラー,73.7,130,6098
南イン-黄金,Bグリーン,フロント1,72.4,127,5846
南イン-黄金,Bグリーン,フロント2,69.1,118,5166
南アウト-黄金,Aグリーン,バック,76.1,137,6578
南アウト-黄金,Aグリーン,レギュラー,74.0,131,6195
南アウト-黄金,Aグリーン,フロント1,72.4,127,5875
南アウト-黄金,Aグリーン,フロント2,69.4,119,5266
南アウト-黄金,Bグリーン,バック,75.3,134,6429
南アウト-黄金,Bグリーン,レギュラー,73.3,129,6046
南アウト-黄金,Bグリーン,フロント1,71.6,125,5726
南アウト-黄金,Bグリーン,フロント2,68.8,117,5117
北アウト-北イン,Aグリーン,バック,75.7,135,6483
北アウト-北イン,Aグリーン,レギュラー,74.0,131,6161
北アウト-北イン,Aグリーン,フロント1,72.3,126,5832
北アウト-北イン,Aグリーン,フロント2,69.0,117,5156
北アウト-北イン,Bグリーン,バック,74.9,133,6342
北アウト-北イン,Bグリーン,レギュラー,73.2,129,6020
北アウト-北イン,Bグリーン,フロント1,71.5,124,5691
北アウト-北イン,Bグリーン,フロント2,68.4,116,5015
