,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
305 JOCKEY CLUB DE RAFAELA,Azul,M,71,70.4,92.6,120,35.6  /  126,34.8  /  113
,Blanco,M,71,68.8,90.5,117,34.8  /  119,34.0  /  114
,Rojo,F,71,71.3,97.9,113,36.1  /  118,35.2  /  108
306 JOCKEY CLUB DE SANTA FE,Azul,M,71,69.3,92.1,123,34.6  /  123,34.7  /  123
,Rojo Caballeros,M,71,65.7,86.7,113,32.5  /  115,33.2  /  111
,Rojo,F,71,70.5,99.8,125,35.0  /  126,35.5  /  123
308 ROSARIO GOLF CLUB,Negro,M,71,71.9,95.3,126,35.7  /  121,36.2  /  131
,Azul,M,71,70.8,93.6,123,35.1  /  116,35.7  /  129
,Blanco,M,71,68.8,90.8,119,34.5  /  114,34.3  /  123
,Rojo,F,71,73.3,102.5,124,36.4  /  118,36.9  /  130
312 CLUB SOC. Y DEP. GRAL. MITRE (PEREZ),Azul,M,71,70.9,93.0,119,34.1  /  119,36.8  /  118
,Blanco,M,71,69.6,92.0,121,33.6  /  118,36.0  /  123
,Rojo,F,71,71.4,99.8,121,34.7  /  118,36.7  /  123
316 JOCKEY CLUB DE ROSARIO,Azul,M,72,72.4,95.1,123,36.2  /  122,36.2  /  123
,Blanco,M,72,70.6,92.7,119,35.4  /  119,35.2  /  118
,Amarillo,M,72,69.6,92.0,121,35.1  /  122,34.5  /  119
,Rojo,F,72,72.5,101.4,123,36.4  /  124,36.1  /  121
321 VENADO TUERTO POLO & ATHLETIC CLUB,Azul,M,70,69.6,90.9,115,34.8  /  117,34.8  /  112
,Rojo,F,70,71.3,99.4,119,35.4  /  121,35.9  /  117
330 CLUB DE CAMPO EL PASO,Negro,M,71,72.4,95.8,126,36.9  /  131,35.5  /  121
,Azul,M,71,71.4,94.6,125,36.3  /  131,35.1  /  118
,Blanco,M,71,69.5,92.0,121,35.2  /  124,34.3  /  118
,Rojo,F,73,74.0,103.2,124,37.5  /  131,36.5  /  116
330 CLUB DE CAMPO EL PASO - 330 CLUB DE CAMPO EL PASO - CANCHA ALTERNATIVA,Azul,M,71,69.5,91.0,116,34.4  /  113,35.1  /  118
,ROJO,F,72,72.4,99.9,117,36.4  /  117,36.0  /  116
333 LOS MOLINOS COUNTRY CLUB,Azul,M,70,69.8,91.8,119,34.5  /  114,35.3  /  123
,Rojo,F,70,70.8,98.3,117,35.2  /  119,35.6  /  114
338 CASILDA GOLF CLUB,Azul,M,71,68.9,91.3,121,34.3  /  121,34.6  /  121
,Rojo,F,71,72.2,101.2,123,36.0  /  123,36.2  /  123
339 SAN GERONIMO DEL REY GOLF (CIRC.F.AEREA),Azul,M,72,72.0,96.1,130,36.2  /  130,35.8  /  129
