,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Club de Golf de Saint Quentin,Blue/M,M,72,71.0,94.1,125,35.5  /  124,35.5  /  125
,White/M,M,72,69.2,90.4,114,34.6  /  114,34.6  /  114
,Yellow/M,M,72,67.0,87.2,109,33.5  /  109,33.5  /  109
,Red/M,M,72,65.8,85.8,108,32.9  /  108,32.9  /  108
,Blue,F,72,77.0,108.6,134,38.5  /  134,38.5  /  134
,White,F,72,74.0,103.6,126,37.0  /  126,37.0  /  126
,Yellow,F,72,72.2,101.2,123,36.1  /  123,36.1  /  123
,Red,F,72,70.8,99.0,120,35.4  /  120,35.4  /  120
Midland Meadows Golf Course,Back,M,71,63.5,82.8,104,31.7  /  102,31.8  /  105
,Middle,M,71,61.4,79.7,99,30.8  /  97,30.6  /  100
,Forward,M,71,59.5,75.5,86,29.6  /  86,29.9  /  86
,Blue,F,71,68.3,95.6,116,34.1  /  113,34.2  /  119
,White,F,71,64.7,91.1,112,32.2  /  110,32.5  /  114
,Red,F,71,61.7,83.3,92,30.9  /  94,30.8  /  89
Sussex Golf & Curling Club,Back,M,72,71.5,93.8,120,35.9  /  116,35.6  /  124
,Middle,M,72,69.9,91.8,118,34.7  /  117,35.2  /  118
,Forward,M,72,66.9,88.1,114,33.3  /  113,33.6  /  115
,Front,M,72,65.5,86.2,112,32.6  /  113,32.9  /  110
,Blue,F,73,77.7,108.9,132,39.1  /  133,38.6  /  131
,White,F,73,75.7,106.0,129,37.9  /  127,37.8  /  130
,Yellow,F,73,72.1,100.9,122,36.0  /  121,36.1  /  123
,Red,F,73,70.3,98.4,120,35.2  /  119,35.1  /  120
The Riverside Country Club,Black/M,M,72,72.1,95.7,127,36.4  /  127,35.7  /  127
,Blue/M,M,72,71.2,94.3,125,35.8  /  124,35.4  /  125
,Blue/White/M,M,72,70.6,93.7,125,35.6  /  121,35.0  /  128
,White/M,M,72,69.8,92.7,123,35.4  /  119,34.4  /  127
,White/Red/M,M,72,67.4,88.6,114,34.8  /  117,32.6  /  111
,Red/M,M,72,66.7,87.4,112,34.3  /  113,32.4  /  110
,Green/M,M,72,63.7,83.8,108,32.2  /  111,31.5  /  105
,Black/W,F,75,79.2,111.4,137,39.9  /  139,39.3  /  134
,Blue/W,F,75,78.1,110.1,136,39.1  /  137,39.0  /  134
,Blue/White/W,F,75,77.2,109.2,136,38.7  /  139,38.5  /  132
,White/W,F,75,76.0,107.2,132,38.3  /  138,37.7  /  126
,White/Red/W,F,75,73.4,103.5,128,38.0  /  137,35.4  /  119
,Red/W,F,75,72.5,102.7,128,37.4  /  134,35.1  /  122
,Green/W,F,75,68.7,96.3,117,35.0  /  123,33.7  /  111
