,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Alston Moor Golf Club (1000332) - Alston Moor,Red,F,72,68.2,97.0,122,33.7  /  120,34.5  /  124
Appleby Golf Club (1000473) - Appleby,White,M,68,70.1,93.5,126,35.7  /  131,34.4  /  121
,Yellow,M,68,67.9,90.4,121,34.9  /  129,33.0  /  113
,Green,M,68,67.6,90.1,121,34.6  /  129,33.0  /  113
,Red,F,72,71.9,102.5,130,36.9  /  133,35.0  /  126
Barrow Golf Club (1000996) - Barrow,White,M,71,70.6,94.5,129,35.9  /  130,34.7  /  127
,Yellow,M,71,69.7,93.1,126,35.4  /  127,34.3  /  125
,Red - 2018,F,72,73.3,102.3,123,37.6  /  128,35.7  /  118
Brampton Golf Club (1002271) - Brampton,White,M,72,71.8,98.2,143,36.3  /  149,35.5  /  136
,Yellow,M,72,70.6,96.2,138,35.7  /  144,34.9  /  131
,Red 2017,F,74,73.8,106.3,138,36.3  /  136,37.5  /  140
Carlisle Golf Club (1003395) - Carlisle,White,M,71,70.9,96.9,140,35.0  /  139,35.9  /  141
,Yellow,M,71,69.4,94.4,135,34.1  /  135,35.3  /  135
,Red,F,73,74.0,106.4,138,36.9  /  141,37.1  /  134
Carus Green Golf Club (1003428) - Carus Green,white,M,69,70.1,93.6,127,35.1  /  124,35.0  /  129
,Yellow,M,70,68.0,91.1,124,33.7  /  119,34.3  /  129
,White Composite 9,M,33,33.5,44.1,114,33.5  /  114,/
,Yellow Composite 9,M,33,32.0,42.4,112,32.0  /  112,/
,Red 2015,F,72,71.2,101.5,129,35.9  /  131,35.3  /  126
,Red Composite 9,F,34,33.8,48.1,121,33.8  /  121,/
Casterton Golf Course (1003437) - Casterton Golf Course,White,M,70,67.6,89.2,116,33.8  /  116,33.8  /  116
,Yellow,M,70,67.4,89.2,117,33.7  /  117,33.7  /  117
,Red,F,70,70.0,98.2,120,35.0  /  120,35.0  /  120
Cockermouth Golf Club (1004255) - Cockermouth,White,M,68,67.1,89.1,119,33.1  /  112,34.0  /  125
,Yellow,M,67,66.0,87.3,115,32.7  /  108,33.3  /  122
,Red,F,70,68.4,95.3,114,34.2  /  110,34.2  /  118
Eden Golf Club (1005772) - Eden,White 2018,M,72,72.7,98.4,139,35.3  /  136,37.4  /  141
,Yellow,M,72,70.9,96.2,137,34.5  /  136,36.4  /  137
,Red,F,72,73.3,104.1,131,35.8  /  129,37.5  /  132
Eskdale Golf Course PP and Leisure Ltd (1021418) - Eskdale Golf Course,Yellow,M,67,64.2,84.1,108,32.8  /  108,31.4  /  107
,Red,F,69,66.4,92.0,109,34.3  /  111,32.1  /  106
Furness Golf Club (1006725) - Furness,White,M,71,70.7,94.2,127,35.4  /  126,35.3  /  127
,Yellow,M,71,69.2,91.5,120,34.7  /  118,34.5  /  122
,Red - 2018,F,71,71.8,101.5,126,36.1  /  126,35.7  /  126
