,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Ashbury Golf Hotel (1000571) - Beeches,White,M,68,66.8,88.3,116,33.8  /  110,33.0  /  122
,Yellow,M,68,65.2,85.0,107,32.7  /  103,32.5  /  110
,Red,M,68,62.8,81.9,103,31.7  /  104,31.1  /  101
,White,F,69,72.4,100.3,118,36.7  /  115,35.7  /  121
,Yellow,F,68,70.2,97.2,115,35.4  /  114,34.8  /  115
,Red,F,69,66.9,93.3,112,34.2  /  115,32.7  /  109
Ashbury Golf Hotel (1000571) - Kigbeare,White,M,72,72.0,94.4,121,35.8  /  117,36.2  /  124
,Yellow,M,72,70.1,92.1,119,34.5  /  115,35.6  /  122
,Red,M,72,65.7,86.0,110,32.2  /  109,33.5  /  110
,Yellow,F,72,76.1,106.3,128,37.2  /  126,38.9  /  130
,Red,F,73,71.0,99.6,122,34.6  /  118,36.4  /  125
Axe Cliff Golf Club (1000776) - Axe Cliff,White,M,70,70.1,91.5,116,35.9  /  121,34.2  /  110
,Yellow,M,70,69.3,90.3,113,35.3  /  117,34.0  /  109
,Mats,M,70,67.5,88.5,113,34.6  /  115,32.9  /  111
,Mats - Women,F,73,73.2,103.1,127,37.8  /  131,35.4  /  122
,Women Alt Mats,F,73,72.5,101.9,125,37.4  /  129,35.1  /  120
,Red 2017,F,73,72.4,102.2,127,36.8  /  129,35.6  /  124
Bigbury Golf Club (1001538) - Bigbury,White,M,70,70.0,93.6,127,35.8  /  131,34.2  /  123
,Yellow,M,69,69.1,92.6,127,35.4  /  131,33.7  /  122
,Yellow Alternate,M,69,67.7,90.5,123,34.5  /  124,33.2  /  122
,Red - 2019,F,72,72.5,102.3,127,37.0  /  129,35.5  /  124
,Red Alternate,F,71,71.6,100.0,121,36.4  /  121,35.2  /  120
Boringdon Park Golf Club (1020100) - Estuary,White,M,72,67.6,88.2,111,33.8  /  111,33.8  /  111
,Yellow,M,72,66.4,86.4,108,33.2  /  108,33.2  /  108
,Red,M,72,63.6,81.8,98,31.8  /  98,31.8  /  98
,Yellow,F,72,71.8,100.0,120,35.9  /  120,35.9  /  120
,Red,F,72,68.4,94.8,112,34.2  /  112,34.2  /  112
Boringdon Park Golf Club (1020100) - Saltram,Blue Men - 2018,M,73,73.0,96.7,128,36.0  /  129,37.0  /  126
,White Men - 2018,M,73,71.5,95.0,127,35.1  /  129,36.4  /  124
,Yellow Men - 2018,M,71,69.3,91.5,120,34.3  /  122,35.0  /  117
,Women Red - 2018,F,73,71.6,101.5,127,35.0  /  120,36.6  /  133
Bovey Castle Hotel (1002024) - Bovey Castle Hotel,White,M,70,71.1,95.7,133,34.4  /  127,36.7  /  138
,Yellow,M,70,68.6,92.3,128,33.2  /  116,35.4  /  139
,Red,M,68,66.1,88.3,120,31.6  /  113,34.5  /  126
,Yellow,F,73,74.3,107.0,139,35.7  /  134,38.6  /  143
,Red,F,71,71.5,101.5,128,34.1  /  119,37.4  /  136
