,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Kajaanin Golf,White / 61,M,70,72.6,99.4,144,36.3  /  144,36.3  /  144
,Yellow / 54,M,70,69.5,95.0,138,34.8  /  138,34.7  /  138
,Red / 46,M,70,65.2,89.2,129,32.6  /  129,32.6  /  129
,Junior,M,70,56.3,76.9,111,28.2  /  111,28.1  /  111
,Yellow / 54,F,70,75.1,108.6,142,37.6  /  142,37.5  /  142
,Red / 46,F,70,69.9,100.8,131,35.0  /  131,34.9  /  131
,Junior,F,70,59.0,84.4,108,29.5  /  108,29.5  /  108
Kalajokilaakson Golf,White,M,73,72.5,97.4,133,36.3  /  141,36.2  /  125
,Yellow,M,73,70.9,95.1,130,35.3  /  137,35.6  /  123
,Blue,M,73,68.1,91.4,125,34.3  /  133,33.8  /  117
,Red,M,73,66.2,88.7,121,33.0  /  128,33.2  /  114
,Orange,M,73,61.0,81.6,111,30.6  /  118,30.4  /  103
,Yellow,F,73,76.9,108.7,135,38.1  /  135,38.8  /  135
,Blue,F,73,73.5,103.7,128,36.8  /  130,36.7  /  126
,Red,F,73,71.1,100.1,123,35.2  /  123,35.9  /  123
,Orange,F,73,63.2,88.3,107,31.5  /  108,31.7  /  105
Katinkulta Golf - Nuas,White,M,72,71.9,97.9,140,35.9  /  133,36.0  /  146
,Yellow,M,72,70.4,95.8,137,35.2  /  130,35.2  /  143
,Blue,M,72,68.1,92.7,132,33.9  /  126,34.2  /  138
,Red,M,72,65.5,89.0,127,32.5  /  118,33.0  /  135
,Yellow,F,72,75.8,109.2,142,37.9  /  138,37.9  /  145
,Blue,F,72,73.1,105.1,136,36.4  /  131,36.7  /  140
,Red,F,72,69.8,100.1,129,34.6  /  124,35.2  /  133
Katinkulta Golf - Tenetti,White,M,70,68.8,92.2,126,34.4  /  126,34.4  /  126
,Yellow,M,70,67.5,90.4,123,33.8  /  123,33.7  /  123
,Blue,M,70,65.3,87.4,119,32.7  /  119,32.6  /  119
,Red,M,70,63.9,85.4,116,32.0  /  116,31.9  /  116
,Orange,M,70,59.4,79.2,107,29.7  /  107,29.7  /  107
,Yellow,F,70,72.7,102.0,124,36.4  /  124,36.3  /  124
,Blue,F,70,70.1,98.0,118,35.1  /  118,35.0  /  118
,Red,F,70,68.4,95.4,115,34.2  /  115,34.2  /  115
,Orange,F,70,62.9,87.2,103,31.5  /  103,31.4  /  103
Kemin Golf Klubi - Nauska12,Yellow / 52,M,72,68.5,91.8,125,34.6  /  125,33.9  /  125
,Red / 45,M,72,64.8,86.7,118,32.7  /  119,32.1  /  116
,Short tees / 37,M,72,60.7,81.1,110,30.4  /  110,30.3  /  110
,Yellow / 52,F,72,73.7,104.1,129,37.2  /  131,36.5  /  126
,Red / 45,F,72,69.2,97.4,120,35.0  /  122,34.2  /  117
,Short tees / 37,F,72,64.2,89.9,109,32.1  /  109,32.1  /  109
Kemin Golf Klubi - Rova18,Yellow / 52,M,72,68.4,92.2,128,34.2  /  128,34.2  /  128
,Red / 45,M,72,64.9,87.3,120,32.5  /  120,32.4  /  120
,Short tees / 37,M,72,60.9,81.7,112,30.5  /  112,30.4  /  112
,Yellow / 52,F,72,73.6,104.8,132,36.8  /  132,36.8  /  132
,Red / 45,F,72,69.2,98.2,123,34.6  /  123,34.6  /  123
,Short tees / 37,F,72,64.3,90.8,112,32.2  /  112,32.1  /  112
Kuusamo Golf,White,M,72,71.3,95.5,131,35.0  /  126,36.3  /  135
,Yellow,M,72,69.5,92.9,126,34.2  /  123,35.3  /  129
,Blue,M,72,68.1,91.1,124,33.6  /  121,34.5  /  127
,Red,M,72,65.1,86.9,118,32.1  /  114,33.0  /  121
,Orange,M,72,60.5,80.6,109,30.3  /  108,30.2  /  109
,Yellow,F,72,75.5,106.0,130,37.2  /  124,38.3  /  135
,Blue,F,72,73.8,103.6,126,36.5  /  121,37.3  /  131
,Red,F,72,70.1,97.9,118,34.6  /  114,35.5  /  122
,Orange,F,72,62.4,86.4,102,31.4  /  99,31.0  /  104
Levi Golf,White,M,73,74.3,99.6,136,37.2  /  136,37.1  /  136
,Yellow,M,73,72.3,96.8,132,36.2  /  131,36.1  /  132
,Blue,M,73,70.4,94.2,128,35.2  /  128,35.2  /  128
,Red,M,73,68.5,91.6,124,34.2  /  123,34.3  /  125
,Black,M,73,60.8,81.2,110,30.1  /  108,30.7  /  112
,Yellow,F,75,78.7,111.3,138,39.3  /  137,39.4  /  139
,Blue,F,73,76.3,107.8,133,38.0  /  133,38.3  /  133
,Red,F,73,73.9,104.2,128,36.7  /  127,37.2  /  129
,Black,F,73,65.2,89.0,101,31.9  /  98,33.3  /  104
Levi Golf - Levi vanha 9,White,M,72,72.2,97.0,133,36.1  /  133,36.1  /  133
,Yellow,M,72,70.4,94.4,129,35.2  /  129,35.2  /  129
,Blue,M,72,68.6,92.0,126,34.3  /  126,34.3  /  126
,Red,M,72,66.6,89.4,123,33.3  /  123,33.3  /  123
,Black,M,72,61.2,82.0,112,30.6  /  112,30.6  /  112
,Yellow,F,72,76.6,107.2,130,38.3  /  130,38.3  /  130
,Blue,F,72,74.4,104.0,126,37.2  /  126,37.2  /  126
,Red,F,72,72.2,100.4,120,36.1  /  120,36.1  /  120
,Black,F,72,63.4,87.4,102,31.7  /  102,31.7  /  102
Meri-Lapin Golfklubi,White,M,72,73.1,98.0,134,35.8  /  135,37.3  /  133
,Yellow,M,72,71.6,95.9,131,34.9  /  130,36.7  /  131
