,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
CLUB DE GOLF PUNTA MITA (Pacifico) - PACIFICO,BLACK - 3 B,M,72,74.4,100.4,140,36.9  /  143,37.5  /  137
,BLACK - 3 A,M,72,74.2,100.0,139,36.7  /  141,37.5  /  137
,GOLD - 3 B,M,72,72.2,97.5,136,35.8  /  140,36.4  /  132
,GOLD - 3 A,M,72,72.1,97.0,134,35.7  /  136,36.4  /  132
,BLUE- 3 B,M,72,70.5,95.5,135,35.1  /  132,35.4  /  137
,BLUE - 3 A,M,72,70.3,94.9,133,34.9  /  128,35.4  /  137
,WHITE - 3 B,M,72,68.4,92.0,127,34.1  /  122,34.3  /  132
,WHITE - 3 A,M,72,68.0,91.3,125,33.7  /  118,34.3  /  132
,GREEN - 3 B,M,72,67.1,90.1,124,33.9  /  125,33.2  /  123
,GREEN - 3 A,M,72,66.7,89.4,123,33.5  /  122,33.2  /  123
,RED - 3 B,M,72,65.2,86.7,116,32.9  /  116,32.3  /  115
,RED - 3 A,M,72,64.8,86.0,114,32.5  /  113,32.3  /  115
,BLUE - 3 B,F,72,77.7,110.8,141,38.6  /  139,39.1  /  142
,BLUE - 3 A,F,72,77.3,110.2,140,38.2  /  137,39.1  /  142
,WHITE - 3 B,F,72,74.4,106.2,135,36.8  /  133,37.6  /  137
,WHITE - 3 A,F,72,74.0,105.4,134,36.4  /  130,37.6  /  137
,RED - 3 B,F,72,70.3,100.8,130,35.3  /  129,35.0  /  130
,RED - 3 A,F,72,69.9,100.0,128,34.9  /  126,35.0  /  130
PARADISE VILLAGE COUNTRY CLUB - EL TIGRE,BLACK,M,72,75.5,102.2,144,37.8  /  142,37.7  /  145
,BLUE,M,72,72.6,97.8,136,36.4  /  133,36.2  /  138
,B/W COMBO,M,72,71.7,96.3,133,36.0  /  125,35.7  /  140
,WHITE,M,72,70.7,94.8,130,35.6  /  126,35.1  /  133
,W/G COMBO,M,72,69.5,93.3,128,35.1  /  125,34.4  /  131
,GOLD,M,72,68.2,91.0,123,34.4  /  116,33.8  /  129
,WHITE,F,72,76.6,110.7,145,38.3  /  147,38.3  /  142
,GOLD,F,72,73.6,105.8,137,37.2  /  136,36.4  /  137
,G/R COMBO,F,72,71.7,101.5,127,36.3  /  126,35.4  /  127
,RED,F,72,70.4,99.1,122,35.5  /  120,34.9  /  124
PUNTA MITA GOLF CLUB - BAHIA,BLACK,M,72,75.0,101.3,142,36.6  /  138,38.4  /  145
,BLUE,M,72,71.6,96.9,136,35.3  /  126,36.3  /  146
,WHITE,M,72,70.0,93.8,128,34.5  /  124,35.5  /  132
,GREEN,M,72,67.1,90.1,124,33.4  /  124,33.7  /  124
,RED,M,72,65.0,86.6,116,32.2  /  115,32.8  /  117
,BLUE,F,72,78.4,112.9,147,38.2  /  142,40.2  /  151
,WHITE,F,72,76.1,109.7,143,37.2  /  139,38.9  /  146
,RED,F,72,70.4,101.4,132,34.8  /  131,35.6  /  132
