,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Airdrie,White,M,69,69.1,91.6,121,35.0  /  124,34.1  /  118
,Yellow,M,68,67.5,89.3,118,34.0  /  121,33.5  /  114
,Red,M,68,63.6,83.8,109,31.9  /  113,31.7  /  104
,Academy,M,58,58.8,76.5,95,29.0  /  94,29.8  /  96
,White,F,74,73.9,103.8,127,37.7  /  127,36.2  /  126
,Yellow,F,71,71.8,100.8,123,36.5  /  122,35.3  /  124
,Red,F,69,67.0,93.7,113,34.0  /  112,33.0  /  114
,Academy,F,58,59.3,82.0,97,29.6  /  94,29.7  /  99
Bellshill,White 2015,M,71,70.1,93.1,124,35.2  /  122,34.9  /  126
,Yellow 2015,M,69,68.3,90.6,120,34.0  /  117,34.3  /  123
,Yellow Composite (1-7 17&18),M,68,67.7,89.6,118,33.9  /  117,33.8  /  118
,Yellow Composite (1-8 & 15),M,68,67.3,89.0,117,33.7  /  116,33.6  /  117
,Red,F,69,71.0,99.6,122,35.4  /  125,35.6  /  118
,Red Composite (1-8 &15),F,68,70.0,98.6,121,35.0  /  121,35.0  /  121
,Red Composite (1-7 & 17-18),F,68,69.9,98.1,120,35.0  /  120,34.9  /  120
Coatbridge Lochview,White,M,70,67.7,89.4,117,32.0  /  101,35.7  /  132
,Yellow,M,69,66.1,87.1,113,31.5  /  100,34.6  /  126
,Yellow (Provisional),F,69,71.3,98.4,115,33.5  /  106,37.8  /  124
Colville Park,Blue 2015,M,71,70.8,93.4,122,35.5  /  122,35.3  /  122
,White 2015,M,71,70.4,92.8,121,35.2  /  121,35.2  /  121
,Yellow 2015,M,71,69.1,91.1,118,34.5  /  118,34.6  /  118
,Red,F,71,70.6,99.0,121,35.4  /  121,35.2  /  120
Corrie,White,M,60,60.6,78.4,96,30.3  /  96,30.3  /  96
,Yellow,M,56,58.4,75.2,90,29.2  /  90,29.2  /  90
,Red,F,62,61.6,86.8,107,31.4  /  109,30.2  /  105
Crow Wood,White 2016,M,71,70.1,94.3,131,34.8  /  136,35.3  /  126
,Yellow 2016,M,71,68.6,92.3,128,34.0  /  131,34.6  /  124
,Red,F,74,73.2,104.1,131,36.4  /  129,36.8  /  133
Dalziel Park,White 2018,M,70,69.0,91.3,120,34.5  /  119,34.5  /  121
,Yellow 2018,M,70,66.0,87.0,113,33.0  /  113,33.0  /  113
,Red 2018,F,70,68.8,98.0,124,34.4  /  124,34.4  /  124
Drumpellier,White 2019,M,71,70.8,94.3,127,36.5  /  131,34.3  /  122
,Yellow 2019,M,70,69.1,92.4,126,35.4  /  126,33.7  /  125
,Blue 2019,M,67,66.4,88.1,117,33.9  /  119,32.5  /  114
,Red,F,72,72.2,101.6,125,36.8  /  127,35.3  /  123
Dullatur - Antonine,White 2016,M,69,68.7,92.6,129,34.6  /  130,34.1  /  127
,White 2016 9 hole Composite,M,68,67.8,90.6,123,33.9  /  123,33.9  /  123
,Yellow 2016,M,69,67.4,91.0,127,33.9  /  128,33.5  /  126
,Red 9 Hole Composite,F,68,71.6,99.4,118,35.8  /  118,35.8  /  118
,Red,F,70,70.9,99.9,123,35.8  /  125,35.1  /  121
Dullatur - Carrickstone,White 2014,M,71,70.0,93.7,128,35.7  /  137,34.3  /  118
,Yellow 2014,M,69,69.2,92.5,125,35.4  /  133,33.8  /  117
,Red,F,72,72.5,101.5,123,36.0  /  124,36.5  /  122
Easter Moffat,White 2021,M,72,71.0,94.9,129,35.1  /  127,35.9  /  130
,Yellow 2021,M,72,69.9,93.5,127,34.4  /  125,35.5  /  129
,Red 2021,M,70,67.3,89.8,122,33.8  /  122,33.5  /  121
,White 2021,F,75,76.9,108.4,134,38.0  /  132,38.9  /  135
,Yellow 2021,F,75,75.7,106.5,131,37.2  /  129,38.5  /  132
,Red 2021,F,71,72.9,102.2,125,36.6  /  126,36.3  /  123
Kilsyth Lennox,Black,M,71,70.1,94.5,131,35.6  /  132,34.5  /  130
,Silver,M,71,69.0,93.0,129,35.1  /  130,33.9  /  128
,Purple,M,68,66.2,89.2,124,33.7  /  125,32.5  /  123
,Black,F,74,76.4,109.0,138,38.6  /  137,37.8  /  139
,Silver,F,73,75.1,107.0,136,38.0  /  135,37.1  /  136
,Purple,F,71,71.9,102.3,129,36.3  /  128,35.6  /  130
Palacerigg Golf Club,White,M,72,71.7,95.3,127,36.2  /  133,35.5  /  121
,Yellow,M,71,69.5,92.3,123,35.3  /  128,34.2  /  117
,Yellow (Provisional),F,72,74.6,104.0,125,37.8  /  126,36.8  /  123
Shotts,White 2016,M,70,69.8,92.4,122,35.0  /  122,34.8  /  122
,Yellow 2016,M,69,67.7,89.7,118,33.9  /  118,33.8  /  118
,Red,F,70,70.9,99.0,119,35.6  /  124,35.3  /  115
Torrance Park,White 2019,M,72,70.0,93.5,127,37.1  /  136,32.9  /  117
,Yellow 2019,M,71,68.9,91.8,124,36.5  /  135,32.4  /  112
,Red (Provisional),F,71,72.9,102.3,125,38.1  /  132,34.8  /  117
Westerwood,Black 2017,M,71,71.1,94.0,123,35.2  /  119,35.9  /  127
,White 2017,M,71,70.4,93.1,122,34.9  /  118,35.5  /  126
,Yellow 2017,M,71,69.1,91.3,120,34.2  /  115,34.9  /  124
,Red,F,71,71.9,102.2,129,35.7  /  126,36.2  /  131
,Red 9 Hole Composite,F,72,71.8,102.2,129,35.9  /  129,35.9  /  129
Wishaw,Medal 2018,M,69,69.3,92.2,124,34.5  /  122,34.8  /  125
,Yellow 2018,M,68,68.2,90.5,120,33.9  /  118,34.3  /  122
,Red,F,69,71.5,101.1,126,35.3  /  123,36.1  /  130
