,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Clydebank & District,White 2019,M,69,68.8,91.8,124,34.6  /  126,34.2  /  122
,Yellow 2019,M,68,67.5,90.1,122,33.9  /  124,33.6  /  119
,Red,F,69,70.5,99.8,125,36.1  /  124,34.4  /  125
Dalmuir Municipal,White 2012,M,68,65.7,87.4,117,33.1  /  118,32.6  /  115
,Yellow 2012,M,66,64.5,85.6,114,32.3  /  115,32.2  /  112
,Red (Provisional),F,70,68.6,95.2,113,34.9  /  115,33.7  /  110
Dumbarton,White,M,71,69.5,92.2,122,33.7  /  113,35.8  /  131
,Yellow,M,71,68.5,90.8,120,33.1  /  110,35.4  /  130
,Red,M,66,66.0,87.2,115,32.6  /  108,33.4  /  121
,Red,F,74,70.7,98.9,119,34.7  /  118,36.0  /  120
Ross Priory,White,M,70,68.0,89.4,115,34.0  /  115,34.0  /  115
,Yellow,M,70,67.6,89.0,115,33.8  /  115,33.8  /  115
,Red,F,70,68.4,94.5,111,34.2  /  110,34.2  /  111
Vale of Leven,White 9 Hole Composite,M,70,69.4,92.2,123,34.7  /  123,34.7  /  123
,White 2019,M,67,66.5,88.0,117,33.9  /  125,32.6  /  108
,Yellow 2019,M,67,65.5,86.6,115,33.3  /  123,32.2  /  106
,Red 2019,F,68,66.5,93.0,113,33.5  /  117,33.0  /  108
