,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Cardigan,White,M,72,71.7,94.4,123,35.9  /  123,35.8  /  122
,Yellow,M,72,70.6,92.9,120,35.4  /  121,35.2  /  119
,Red Male,M,67,66.6,87.6,113,33.5  /  114,33.1  /  112
,White Female,F,75,77.6,109.6,136,38.9  /  133,38.7  /  138
,Yellow Female,F,75,76.3,107.6,133,38.3  /  131,38.0  /  135
,Red,F,71,71.6,100.7,124,36.0  /  122,35.6  /  125
Cilgwyn Golf Club,White,M,67,66.6,88.7,119,33.5  /  119,33.1  /  118
,Yellow,M,67,65.7,87.7,118,32.9  /  118,32.8  /  118
,Red Male,M,65,63.8,84.4,111,31.9  /  111,31.9  /  111
,Red,F,70,67.5,94.9,117,33.9  /  120,33.6  /  113
Cwmrhydneuadd Golf Club,White,M,62,61.4,82.2,112,30.7  /  111,30.7  /  113
,Yellow,M,62,60.5,80.4,107,30.2  /  105,30.3  /  109
Cwmrhydneuadd Golf Club - Cwmrhydnaudd Golf Club,Red,F,60,60.5,85.9,108,30.2  /  108,30.3  /  108
