,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：509yd,Hdcp：3,PAR：4,Reg.：347yd,Hdcp：9,PAR：4,Reg.：365yd,Hdcp：15
1,見晴らしのよいスターティングボール,見晴らしのよいスターティングボール,見晴らしのよいスターティングボール,18ホール中、唯一バンカーのないホール,18ホール中、唯一バンカーのないホール,18ホール中、唯一バンカーのないホール,正確なショットが要求される打ち下ろしのホール,正確なショットが要求される打ち下ろしのホール,正確なショットが要求される打ち下ろしのホール
2,難易度4位/18ホール中 平均スコア6.54 平均パット数2.06 パーオン率23.0% フェアウェイ率61.5% OB率35.0% バンカー率32.5%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.06 パーオン率23.0% フェアウェイ率61.5% OB率35.0% バンカー率32.5%,難易度4位/18ホール中 平均スコア6.54 平均パット数2.06 パーオン率23.0% フェアウェイ率61.5% OB率35.0% バンカー率32.5%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.08 パーオン率13.0% フェアウェイ率61.0% OB率31.3% バンカー率3.3%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.08 パーオン率13.0% フェアウェイ率61.0% OB率31.3% バンカー率3.3%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.08 パーオン率13.0% フェアウェイ率61.0% OB率31.3% バンカー率3.3%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率28.0% フェアウェイ率58.0% OB率32.0% バンカー率32.8%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率28.0% フェアウェイ率58.0% OB率32.0% バンカー率32.8%,難易度11位/18ホール中 平均スコア5.24 平均パット数2.04 パーオン率28.0% フェアウェイ率58.0% OB率32.0% バンカー率32.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：181yd,Hdcp：13,PAR：4,Reg.：358yd,Hdcp：1,PAR：4,Reg.：324yd,Hdcp：7
5,縦方向に長いグリーン ピン位置によっては30Y違う,縦方向に長いグリーン ピン位置によっては30Y違う,縦方向に長いグリーン ピン位置によっては30Y違う,フラットなミドルホール　頭脳的な戦略で攻める,フラットなミドルホール　頭脳的な戦略で攻める,フラットなミドルホール　頭脳的な戦略で攻める,セカンド地点から極端な打ち下ろしとなっている,セカンド地点から極端な打ち下ろしとなっている,セカンド地点から極端な打ち下ろしとなっている
6,難易度16位/18ホール中 平均スコア4.02 平均パット数2.04 パーオン率29.3% フェアウェイ率- OB率13.3% バンカー率40.8%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.04 パーオン率29.3% フェアウェイ率- OB率13.3% バンカー率40.8%,難易度16位/18ホール中 平均スコア4.02 平均パット数2.04 パーオン率29.3% フェアウェイ率- OB率13.3% バンカー率40.8%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率21.3% フェアウェイ率56.5% OB率32.5% バンカー率13.0%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率21.3% フェアウェイ率56.5% OB率32.5% バンカー率13.0%,難易度7位/18ホール中 平均スコア5.4 平均パット数2.08 パーオン率21.3% フェアウェイ率56.5% OB率32.5% バンカー率13.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.09 パーオン率34.0% フェアウェイ率61.0% OB率29.5% バンカー率22.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.09 パーオン率34.0% フェアウェイ率61.0% OB率29.5% バンカー率22.0%,難易度14位/18ホール中 平均スコア5.13 平均パット数2.09 パーオン率34.0% フェアウェイ率61.0% OB率29.5% バンカー率22.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：498yd,Hdcp：11,PAR：3,Reg.：162yd,Hdcp：17,PAR：4,Reg.：353yd,Hdcp：5
9,ダイナミックに打ち下ろしていくロングホール,ダイナミックに打ち下ろしていくロングホール,ダイナミックに打ち下ろしていくロングホール,右手前のグラスバンカーに入れると少し厄介,右手前のグラスバンカーに入れると少し厄介,右手前のグラスバンカーに入れると少し厄介,狭く感じるがそれほど気にする必要はない,狭く感じるがそれほど気にする必要はない,狭く感じるがそれほど気にする必要はない
10,難易度3位/18ホール中 平均スコア6.51 平均パット数2.09 パーオン率27.3% フェアウェイ率58.3% OB率36.3% バンカー率37.5%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.09 パーオン率27.3% フェアウェイ率58.3% OB率36.3% バンカー率37.5%,難易度3位/18ホール中 平均スコア6.51 平均パット数2.09 パーオン率27.3% フェアウェイ率58.3% OB率36.3% バンカー率37.5%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.98 パーオン率34.8% フェアウェイ率- OB率4.7% バンカー率28.3%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.98 パーオン率34.8% フェアウェイ率- OB率4.7% バンカー率28.3%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.98 パーオン率34.8% フェアウェイ率- OB率4.7% バンカー率28.3%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率22.3% フェアウェイ率57.0% OB率28.5% バンカー率37.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率22.3% フェアウェイ率57.0% OB率28.5% バンカー率37.0%,難易度9位/18ホール中 平均スコア5.38 平均パット数2.08 パーオン率22.3% フェアウェイ率57.0% OB率28.5% バンカー率37.0%
