,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：353yd,Hdcp：9,PAR：3,Reg.：152yd,Hdcp：15,PAR：5,Reg.：528yd,Hdcp：3
1,やや打ち下ろしの真っ直ぐなミドルホール,やや打ち下ろしの真っ直ぐなミドルホール,やや打ち下ろしの真っ直ぐなミドルホール,距離のあるやや打ち上げのショートホール,距離のあるやや打ち上げのショートホール,距離のあるやや打ち上げのショートホール,フラットな距離のあるロングホール,フラットな距離のあるロングホール,フラットな距離のあるロングホール
2,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率22.5% フェアウェイ率47.8% OB率9.0% バンカー率37.8%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率22.5% フェアウェイ率47.8% OB率9.0% バンカー率37.8%,難易度9位/18ホール中 平均スコア5.25 平均パット数2.02 パーオン率22.5% フェアウェイ率47.8% OB率9.0% バンカー率37.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.01 パーオン率25.5% フェアウェイ率- OB率2.7% バンカー率15.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.01 パーオン率25.5% フェアウェイ率- OB率2.7% バンカー率15.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.01 パーオン率25.5% フェアウェイ率- OB率2.7% バンカー率15.3%,難易度1位/18ホール中 平均スコア6.67 平均パット数2.1 パーオン率19.5% フェアウェイ率44.3% OB率35.3% バンカー率28.5%,難易度1位/18ホール中 平均スコア6.67 平均パット数2.1 パーオン率19.5% フェアウェイ率44.3% OB率35.3% バンカー率28.5%,難易度1位/18ホール中 平均スコア6.67 平均パット数2.1 パーオン率19.5% フェアウェイ率44.3% OB率35.3% バンカー率28.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：386yd,Hdcp：1,PAR：4,Reg.：334yd,Hdcp：13,PAR：5,Reg.：485yd,Hdcp：7
5,距離のあるミドルホール,距離のあるミドルホール,距離のあるミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,やや左ドッグレッグのミドルホール,フラットなやや左ドッグレッグのロングホール,フラットなやや左ドッグレッグのロングホール,フラットなやや左ドッグレッグのロングホール
6,難易度6位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率15.0% フェアウェイ率41.0% OB率5.0% バンカー率28.5%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率15.0% フェアウェイ率41.0% OB率5.0% バンカー率28.5%,難易度6位/18ホール中 平均スコア5.49 平均パット数2.11 パーオン率15.0% フェアウェイ率41.0% OB率5.0% バンカー率28.5%,難易度13位/18ホール中 平均スコア5.01 平均パット数1.98 パーオン率31.5% フェアウェイ率50.8% OB率7.5% バンカー率34.0%,難易度13位/18ホール中 平均スコア5.01 平均パット数1.98 パーオン率31.5% フェアウェイ率50.8% OB率7.5% バンカー率34.0%,難易度13位/18ホール中 平均スコア5.01 平均パット数1.98 パーオン率31.5% フェアウェイ率50.8% OB率7.5% バンカー率34.0%,難易度7位/18ホール中 平均スコア6.34 平均パット数1.97 パーオン率23.3% フェアウェイ率45.0% OB率14.8% バンカー率53.5%,難易度7位/18ホール中 平均スコア6.34 平均パット数1.97 パーオン率23.3% フェアウェイ率45.0% OB率14.8% バンカー率53.5%,難易度7位/18ホール中 平均スコア6.34 平均パット数1.97 パーオン率23.3% フェアウェイ率45.0% OB率14.8% バンカー率53.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：147yd,Hdcp：11,PAR：4,Reg.：302yd,Hdcp：17,PAR：4,Reg.：384yd,Hdcp：5
9,フラットなショートホール,フラットなショートホール,フラットなショートホール,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール
10,難易度17位/18ホール中 平均スコア3.89 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率9.5% バンカー率30.0%,難易度17位/18ホール中 平均スコア3.89 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率9.5% バンカー率30.0%,難易度17位/18ホール中 平均スコア3.89 平均パット数1.96 パーオン率31.0% フェアウェイ率- OB率9.5% バンカー率30.0%,難易度16位/18ホール中 平均スコア4.91 平均パット数2.02 パーオン率40.5% フェアウェイ率51.0% OB率16.0% バンカー率42.5%,難易度16位/18ホール中 平均スコア4.91 平均パット数2.02 パーオン率40.5% フェアウェイ率51.0% OB率16.0% バンカー率42.5%,難易度16位/18ホール中 平均スコア4.91 平均パット数2.02 パーオン率40.5% フェアウェイ率51.0% OB率16.0% バンカー率42.5%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.07 パーオン率16.8% フェアウェイ率52.0% OB率16.3% バンカー率18.5%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.07 パーオン率16.8% フェアウェイ率52.0% OB率16.3% バンカー率18.5%,難易度5位/18ホール中 平均スコア5.57 平均パット数2.07 パーオン率16.8% フェアウェイ率52.0% OB率16.3% バンカー率18.5%
