,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：303yd,Hdcp：14,PAR：4,Reg.：286yd,Hdcp：8,PAR：4,Reg.：340yd,Hdcp：10
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
2,難易度7位/18ホール中 平均スコア5.26 平均パット数2.02 パーオン率27.3% フェアウェイ率50.3% OB率31.0% バンカー率5.5%,難易度7位/18ホール中 平均スコア5.26 平均パット数2.02 パーオン率27.3% フェアウェイ率50.3% OB率31.0% バンカー率5.5%,難易度7位/18ホール中 平均スコア5.26 平均パット数2.02 パーオン率27.3% フェアウェイ率50.3% OB率31.0% バンカー率5.5%,難易度9位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率33.8% フェアウェイ率54.5% OB率28.3% バンカー率5.5%,難易度9位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率33.8% フェアウェイ率54.5% OB率28.3% バンカー率5.5%,難易度9位/18ホール中 平均スコア5.18 平均パット数2.09 パーオン率33.8% フェアウェイ率54.5% OB率28.3% バンカー率5.5%,難易度8位/18ホール中 平均スコア5.23 平均パット数2 パーオン率28.0% フェアウェイ率58.3% OB率35.3% バンカー率2.5%,難易度8位/18ホール中 平均スコア5.23 平均パット数2 パーオン率28.0% フェアウェイ率58.3% OB率35.3% バンカー率2.5%,難易度8位/18ホール中 平均スコア5.23 平均パット数2 パーオン率28.0% フェアウェイ率58.3% OB率35.3% バンカー率2.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：288yd,Hdcp：18,PAR：3,Reg.：122yd,Hdcp：16,PAR：4,Reg.：351yd,Hdcp：4
5,短いミドルホール,短いミドルホール,短いミドルホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
6,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.8% フェアウェイ率61.0% OB率21.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.8% フェアウェイ率61.0% OB率21.0% バンカー率12.0%,難易度14位/18ホール中 平均スコア5.02 平均パット数2.04 パーオン率35.8% フェアウェイ率61.0% OB率21.0% バンカー率12.0%,難易度16位/18ホール中 平均スコア3.85 平均パット数1.87 パーオン率28.0% フェアウェイ率- OB率9.7% バンカー率18.8%,難易度16位/18ホール中 平均スコア3.85 平均パット数1.87 パーオン率28.0% フェアウェイ率- OB率9.7% バンカー率18.8%,難易度16位/18ホール中 平均スコア3.85 平均パット数1.87 パーオン率28.0% フェアウェイ率- OB率9.7% バンカー率18.8%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率22.5% フェアウェイ率55.0% OB率46.5% バンカー率5.7%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率22.5% フェアウェイ率55.0% OB率46.5% バンカー率5.7%,難易度3位/18ホール中 平均スコア5.42 平均パット数2.06 パーオン率22.5% フェアウェイ率55.0% OB率46.5% バンカー率5.7%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：532yd,Hdcp：2,PAR：3,Reg.：157yd,Hdcp：12,PAR：4,Reg.：369yd,Hdcp：6
9,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度13位/18ホール中 平均スコア6.03 平均パット数1.98 パーオン率37.8% フェアウェイ率54.8% OB率47.0% バンカー率5.5%,難易度13位/18ホール中 平均スコア6.03 平均パット数1.98 パーオン率37.8% フェアウェイ率54.8% OB率47.0% バンカー率5.5%,難易度13位/18ホール中 平均スコア6.03 平均パット数1.98 パーオン率37.8% フェアウェイ率54.8% OB率47.0% バンカー率5.5%,難易度17位/18ホール中 平均スコア3.92 平均パット数2 パーオン率30.3% フェアウェイ率- OB率11.3% バンカー率5.3%,難易度17位/18ホール中 平均スコア3.92 平均パット数2 パーオン率30.3% フェアウェイ率- OB率11.3% バンカー率5.3%,難易度17位/18ホール中 平均スコア3.92 平均パット数2 パーオン率30.3% フェアウェイ率- OB率11.3% バンカー率5.3%,難易度6位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率57.8% OB率29.5% バンカー率6.5%,難易度6位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率57.8% OB率29.5% バンカー率6.5%,難易度6位/18ホール中 平均スコア5.3 平均パット数2.01 パーオン率19.5% フェアウェイ率57.8% OB率29.5% バンカー率6.5%
