,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：462yd,Hdcp：10,PAR：5,Reg.：503yd,Hdcp：4,PAR：4,Reg.：369yd,Hdcp：16
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなロングホール　手前がＬ（左）グリーン,真っ直ぐなロングホール　手前がＬ（左）グリーン,真っ直ぐなロングホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア5.52 平均パット数1.97 パーオン率10.5% フェアウェイ率59.8% OB率20.0% バンカー率18.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数1.97 パーオン率10.5% フェアウェイ率59.8% OB率20.0% バンカー率18.8%,難易度1位/9ホール中 平均スコア5.52 平均パット数1.97 パーオン率10.5% フェアウェイ率59.8% OB率20.0% バンカー率18.8%,難易度3位/9ホール中 平均スコア6.3 平均パット数2.1 パーオン率34.3% フェアウェイ率60.8% OB率33.0% バンカー率28.0%,難易度3位/9ホール中 平均スコア6.3 平均パット数2.1 パーオン率34.3% フェアウェイ率60.8% OB率33.0% バンカー率28.0%,難易度3位/9ホール中 平均スコア6.3 平均パット数2.1 パーオン率34.3% フェアウェイ率60.8% OB率33.0% バンカー率28.0%,難易度6位/9ホール中 平均スコア5.27 平均パット数2 パーオン率26.3% フェアウェイ率57.8% OB率31.0% バンカー率28.3%,難易度6位/9ホール中 平均スコア5.27 平均パット数2 パーオン率26.3% フェアウェイ率57.8% OB率31.0% バンカー率28.3%,難易度6位/9ホール中 平均スコア5.27 平均パット数2 パーオン率26.3% フェアウェイ率57.8% OB率31.0% バンカー率28.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：201yd,Hdcp：8,PAR：4,Reg.：398yd,Hdcp：2,PAR：4,Reg.：325yd,Hdcp：14
5,長いショートホール,長いショートホール,長いショートホール,長いミドルホール,長いミドルホール,長いミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
6,難易度8位/9ホール中 平均スコア4.16 平均パット数2.05 パーオン率24.3% フェアウェイ率- OB率20.0% バンカー率32.0%,難易度8位/9ホール中 平均スコア4.16 平均パット数2.05 パーオン率24.3% フェアウェイ率- OB率20.0% バンカー率32.0%,難易度8位/9ホール中 平均スコア4.16 平均パット数2.05 パーオン率24.3% フェアウェイ率- OB率20.0% バンカー率32.0%,難易度2位/9ホール中 平均スコア5.44 平均パット数2 パーオン率18.3% フェアウェイ率49.5% OB率37.0% バンカー率18.3%,難易度2位/9ホール中 平均スコア5.44 平均パット数2 パーオン率18.3% フェアウェイ率49.5% OB率37.0% バンカー率18.3%,難易度2位/9ホール中 平均スコア5.44 平均パット数2 パーオン率18.3% フェアウェイ率49.5% OB率37.0% バンカー率18.3%,難易度7位/9ホール中 平均スコア5.16 平均パット数2.03 パーオン率33.5% フェアウェイ率62.3% OB率16.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.16 平均パット数2.03 パーオン率33.5% フェアウェイ率62.3% OB率16.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.16 平均パット数2.03 パーオン率33.5% フェアウェイ率62.3% OB率16.3% バンカー率17.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：166yd,Hdcp：16,PAR：5,Reg.：505yd,Hdcp：12,PAR：4,Reg.：366yd,Hdcp：6
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度9位/9ホール中 平均スコア3.8 平均パット数2 パーオン率42.8% フェアウェイ率- OB率20.3% バンカー率17.3%,難易度9位/9ホール中 平均スコア3.8 平均パット数2 パーオン率42.8% フェアウェイ率- OB率20.3% バンカー率17.3%,難易度9位/9ホール中 平均スコア3.8 平均パット数2 パーオン率42.8% フェアウェイ率- OB率20.3% バンカー率17.3%,難易度5位/9ホール中 平均スコア6.29 平均パット数2.14 パーオン率34.5% フェアウェイ率65.5% OB率18.0% バンカー率24.5%,難易度5位/9ホール中 平均スコア6.29 平均パット数2.14 パーオン率34.5% フェアウェイ率65.5% OB率18.0% バンカー率24.5%,難易度5位/9ホール中 平均スコア6.29 平均パット数2.14 パーオン率34.5% フェアウェイ率65.5% OB率18.0% バンカー率24.5%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率16.3% フェアウェイ率63.0% OB率12.3% バンカー率37.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率16.3% フェアウェイ率63.0% OB率12.3% バンカー率37.0%,難易度4位/9ホール中 平均スコア5.39 平均パット数1.97 パーオン率16.3% フェアウェイ率63.0% OB率12.3% バンカー率37.0%
