,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：376yd,Hdcp：16,PAR：4,Reg.：432yd,Hdcp：4,PAR：5,Reg.：501yd,Hdcp：10
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度4位/18ホール中 平均スコア5.45 平均パット数1.86 パーオン率8.0% フェアウェイ率51.5% OB率1.3% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.86 パーオン率8.0% フェアウェイ率51.5% OB率1.3% バンカー率14.5%,難易度4位/18ホール中 平均スコア5.45 平均パット数1.86 パーオン率8.0% フェアウェイ率51.5% OB率1.3% バンカー率14.5%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.94 パーオン率4.8% フェアウェイ率55.5% OB率4.3% バンカー率4.5%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.94 パーオン率4.8% フェアウェイ率55.5% OB率4.3% バンカー率4.5%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.94 パーオン率4.8% フェアウェイ率55.5% OB率4.3% バンカー率4.5%,難易度7位/18ホール中 平均スコア6.27 平均パット数1.89 パーオン率20.5% フェアウェイ率57.3% OB率9.0% バンカー率5.5%,難易度7位/18ホール中 平均スコア6.27 平均パット数1.89 パーオン率20.5% フェアウェイ率57.3% OB率9.0% バンカー率5.5%,難易度7位/18ホール中 平均スコア6.27 平均パット数1.89 パーオン率20.5% フェアウェイ率57.3% OB率9.0% バンカー率5.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：371yd,Hdcp：8,PAR：3,Reg.：162yd,Hdcp：14,PAR：4,Reg.：414yd,Hdcp：2
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,,,,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度8位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率14.0% フェアウェイ率56.5% OB率7.8% バンカー率-,難易度8位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率14.0% フェアウェイ率56.5% OB率7.8% バンカー率-,難易度8位/18ホール中 平均スコア5.33 平均パット数1.94 パーオン率14.0% フェアウェイ率56.5% OB率7.8% バンカー率-,難易度16位/18ホール中 平均スコア4.09 平均パット数1.87 パーオン率14.8% フェアウェイ率- OB率3.3% バンカー率31.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.87 パーオン率14.8% フェアウェイ率- OB率3.3% バンカー率31.8%,難易度16位/18ホール中 平均スコア4.09 平均パット数1.87 パーオン率14.8% フェアウェイ率- OB率3.3% バンカー率31.8%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率8.3% フェアウェイ率47.3% OB率3.0% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率8.3% フェアウェイ率47.3% OB率3.0% バンカー率10.0%,難易度3位/18ホール中 平均スコア5.54 平均パット数1.93 パーオン率8.3% フェアウェイ率47.3% OB率3.0% バンカー率10.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：143yd,Hdcp：18,PAR：5,Reg.：462yd,Hdcp：12,PAR：4,Reg.：383yd,Hdcp：6
9,短いショートホール,短いショートホール,短いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度18位/18ホール中 平均スコア3.86 平均パット数1.86 パーオン率22.3% フェアウェイ率- OB率1.0% バンカー率8.5%,難易度18位/18ホール中 平均スコア3.86 平均パット数1.86 パーオン率22.3% フェアウェイ率- OB率1.0% バンカー率8.5%,難易度18位/18ホール中 平均スコア3.86 平均パット数1.86 パーオン率22.3% フェアウェイ率- OB率1.0% バンカー率8.5%,難易度14位/18ホール中 平均スコア5.96 平均パット数1.87 パーオン率30.5% フェアウェイ率55.5% OB率1.3% バンカー率13.5%,難易度14位/18ホール中 平均スコア5.96 平均パット数1.87 パーオン率30.5% フェアウェイ率55.5% OB率1.3% バンカー率13.5%,難易度14位/18ホール中 平均スコア5.96 平均パット数1.87 パーオン率30.5% フェアウェイ率55.5% OB率1.3% バンカー率13.5%,難易度11位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率19.3% フェアウェイ率51.3% OB率2.3% バンカー率7.8%,難易度11位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率19.3% フェアウェイ率51.3% OB率2.3% バンカー率7.8%,難易度11位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率19.3% フェアウェイ率51.3% OB率2.3% バンカー率7.8%
