,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：381yd,Hdcp：8,PAR：3,Reg.：150yd,Hdcp：14,PAR：5,Reg.：508yd,Hdcp：4
1,左ドッグレッグのミドルホール　左側はＯＢ,左ドッグレッグのミドルホール　左側はＯＢ,左ドッグレッグのミドルホール　左側はＯＢ,やや打ち下ろしの短いショートホール　奥はＯＢ,やや打ち下ろしの短いショートホール　奥はＯＢ,やや打ち下ろしの短いショートホール　奥はＯＢ,やや打ち上げのＳ字のロングホール　右側は１ペナ,やや打ち上げのＳ字のロングホール　右側は１ペナ,やや打ち上げのＳ字のロングホール　右側は１ペナ
2,難易度4位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率17.0% フェアウェイ率55.3% OB率12.0% バンカー率11.3%,難易度4位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率17.0% フェアウェイ率55.3% OB率12.0% バンカー率11.3%,難易度4位/18ホール中 平均スコア5.35 平均パット数2.03 パーオン率17.0% フェアウェイ率55.3% OB率12.0% バンカー率11.3%,難易度16位/18ホール中 平均スコア3.87 平均パット数1.89 パーオン率25.5% フェアウェイ率- OB率10.0% バンカー率27.5%,難易度16位/18ホール中 平均スコア3.87 平均パット数1.89 パーオン率25.5% フェアウェイ率- OB率10.0% バンカー率27.5%,難易度16位/18ホール中 平均スコア3.87 平均パット数1.89 パーオン率25.5% フェアウェイ率- OB率10.0% バンカー率27.5%,難易度10位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率31.0% フェアウェイ率58.8% OB率15.8% バンカー率3.7%,難易度10位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率31.0% フェアウェイ率58.8% OB率15.8% バンカー率3.7%,難易度10位/18ホール中 平均スコア6.1 平均パット数1.98 パーオン率31.0% フェアウェイ率58.8% OB率15.8% バンカー率3.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：355yd,Hdcp：10,PAR：4,Reg.：345yd,Hdcp：16,PAR：5,Reg.：472yd,Hdcp：12
5,右ドッグレッグのミドルホール　正面の池に注意,右ドッグレッグのミドルホール　正面の池に注意,右ドッグレッグのミドルホール　正面の池に注意,打ちおろしの短いミドルホール　左１ペナ　右ＯＢ,打ちおろしの短いミドルホール　左１ペナ　右ＯＢ,打ちおろしの短いミドルホール　左１ペナ　右ＯＢ,打ち上げ左ドッグレッグのロングホール　左右１ペナ,打ち上げ左ドッグレッグのロングホール　左右１ペナ,打ち上げ左ドッグレッグのロングホール　左右１ペナ
6,難易度13位/18ホール中 平均スコア5.04 平均パット数1.98 パーオン率30.5% フェアウェイ率60.5% OB率6.0% バンカー率8.0%,難易度13位/18ホール中 平均スコア5.04 平均パット数1.98 パーオン率30.5% フェアウェイ率60.5% OB率6.0% バンカー率8.0%,難易度13位/18ホール中 平均スコア5.04 平均パット数1.98 パーオン率30.5% フェアウェイ率60.5% OB率6.0% バンカー率8.0%,難易度6位/18ホール中 平均スコア5.31 平均パット数1.95 パーオン率20.5% フェアウェイ率64.3% OB率21.0% バンカー率20.0%,難易度6位/18ホール中 平均スコア5.31 平均パット数1.95 パーオン率20.5% フェアウェイ率64.3% OB率21.0% バンカー率20.0%,難易度6位/18ホール中 平均スコア5.31 平均パット数1.95 パーオン率20.5% フェアウェイ率64.3% OB率21.0% バンカー率20.0%,難易度12位/18ホール中 平均スコア5.97 平均パット数1.93 パーオン率35.3% フェアウェイ率48.8% OB率5.3% バンカー率17.5%,難易度12位/18ホール中 平均スコア5.97 平均パット数1.93 パーオン率35.3% フェアウェイ率48.8% OB率5.3% バンカー率17.5%,難易度12位/18ホール中 平均スコア5.97 平均パット数1.93 パーオン率35.3% フェアウェイ率48.8% OB率5.3% バンカー率17.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：380yd,Hdcp：6,PAR：3,Reg.：152yd,Hdcp：18,PAR：4,Reg.：321yd,Hdcp：2
9,右ドッグレッグのミドルホール　左右１ペナ,右ドッグレッグのミドルホール　左右１ペナ,右ドッグレッグのミドルホール　左右１ペナ,池越えのショートホール　手前が左（Ｌ）グリーン,池越えのショートホール　手前が左（Ｌ）グリーン,池越えのショートホール　手前が左（Ｌ）グリーン,やや打ち上げのミドルホール　２打目は大きめに,やや打ち上げのミドルホール　２打目は大きめに,やや打ち上げのミドルホール　２打目は大きめに
