,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：388yd,Hdcp：4,PAR：4,Reg.：344yd,Hdcp：10,PAR：3,Reg.：179yd,Hdcp：16
1,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール
2,難易度8位/18ホール中 平均スコア5.44 平均パット数1.81 パーオン率10.5% フェアウェイ率55.0% OB率27.5% バンカー率13.8%,難易度8位/18ホール中 平均スコア5.44 平均パット数1.81 パーオン率10.5% フェアウェイ率55.0% OB率27.5% バンカー率13.8%,難易度8位/18ホール中 平均スコア5.44 平均パット数1.81 パーオン率10.5% フェアウェイ率55.0% OB率27.5% バンカー率13.8%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率11.8% フェアウェイ率54.8% OB率17.3% バンカー率23.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率11.8% フェアウェイ率54.8% OB率17.3% バンカー率23.5%,難易度9位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率11.8% フェアウェイ率54.8% OB率17.3% バンカー率23.5%,難易度15位/18ホール中 平均スコア4.15 平均パット数1.83 パーオン率12.3% フェアウェイ率- OB率23.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.15 平均パット数1.83 パーオン率12.3% フェアウェイ率- OB率23.0% バンカー率24.0%,難易度15位/18ホール中 平均スコア4.15 平均パット数1.83 パーオン率12.3% フェアウェイ率- OB率23.0% バンカー率24.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：362yd,Hdcp：8,PAR：4,Reg.：434yd,Hdcp：2,PAR：3,Reg.：121yd,Hdcp：14
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,短いショートホール,短いショートホール,短いショートホール
6,難易度3位/18ホール中 平均スコア5.61 平均パット数1.98 パーオン率10.0% フェアウェイ率57.8% OB率32.8% バンカー率5.5%,難易度3位/18ホール中 平均スコア5.61 平均パット数1.98 パーオン率10.0% フェアウェイ率57.8% OB率32.8% バンカー率5.5%,難易度3位/18ホール中 平均スコア5.61 平均パット数1.98 パーオン率10.0% フェアウェイ率57.8% OB率32.8% バンカー率5.5%,難易度4位/18ホール中 平均スコア5.63 平均パット数1.9 パーオン率8.5% フェアウェイ率56.5% OB率28.8% バンカー率21.5%,難易度4位/18ホール中 平均スコア5.63 平均パット数1.9 パーオン率8.5% フェアウェイ率56.5% OB率28.8% バンカー率21.5%,難易度4位/18ホール中 平均スコア5.63 平均パット数1.9 パーオン率8.5% フェアウェイ率56.5% OB率28.8% バンカー率21.5%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.91 パーオン率31.3% フェアウェイ率- OB率14.8% バンカー率22.0%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.91 パーオン率31.3% フェアウェイ率- OB率14.8% バンカー率22.0%,難易度18位/18ホール中 平均スコア3.9 平均パット数1.91 パーオン率31.3% フェアウェイ率- OB率14.8% バンカー率22.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：503yd,Hdcp：12,PAR：4,Reg.：267yd,Hdcp：18,PAR：5,Reg.：570yd,Hdcp：6
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,短いミドルホール,短いミドルホール,短いミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール
10,難易度5位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率19.8% フェアウェイ率54.5% OB率25.3% バンカー率19.8%,難易度5位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率19.8% フェアウェイ率54.5% OB率25.3% バンカー率19.8%,難易度5位/18ホール中 平均スコア6.49 平均パット数2.01 パーオン率19.8% フェアウェイ率54.5% OB率25.3% バンカー率19.8%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.11 パーオン率28.3% フェアウェイ率47.8% OB率46.3% バンカー率7.5%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.11 パーオン率28.3% フェアウェイ率47.8% OB率46.3% バンカー率7.5%,難易度10位/18ホール中 平均スコア5.41 平均パット数2.11 パーオン率28.3% フェアウェイ率47.8% OB率46.3% バンカー率7.5%,難易度6位/18ホール中 平均スコア6.53 平均パット数1.86 パーオン率15.8% フェアウェイ率48.0% OB率50.5% バンカー率3.7%,難易度6位/18ホール中 平均スコア6.53 平均パット数1.86 パーオン率15.8% フェアウェイ率48.0% OB率50.5% バンカー率3.7%,難易度6位/18ホール中 平均スコア6.53 平均パット数1.86 パーオン率15.8% フェアウェイ率48.0% OB率50.5% バンカー率3.7%
