,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：503yd,Hdcp：,PAR：3,Reg.：173yd,Hdcp：,PAR：4,Reg.：329yd,Hdcp：
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア5.68 平均パット数2.08 パーオン率9.8% フェアウェイ率42.5% OB率23.5% バンカー率24.3%,難易度1位/9ホール中 平均スコア5.68 平均パット数2.08 パーオン率9.8% フェアウェイ率42.5% OB率23.5% バンカー率24.3%,難易度1位/9ホール中 平均スコア5.68 平均パット数2.08 パーオン率9.8% フェアウェイ率42.5% OB率23.5% バンカー率24.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率18.8% バンカー率7.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率18.8% バンカー率7.3%,難易度9位/9ホール中 平均スコア4.03 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率18.8% バンカー率7.3%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.06 パーオン率27.3% フェアウェイ率42.0% OB率21.8% バンカー率27.0%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.06 パーオン率27.3% フェアウェイ率42.0% OB率21.8% バンカー率27.0%,難易度6位/9ホール中 平均スコア5.23 平均パット数2.06 パーオン率27.3% フェアウェイ率42.0% OB率21.8% バンカー率27.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：270yd,Hdcp：,PAR：4,Reg.：346yd,Hdcp：,PAR：5,Reg.：478yd,Hdcp：
5,短いミドルホール,短いミドルホール,短いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度7位/9ホール中 平均スコア5.12 平均パット数2.05 パーオン率30.3% フェアウェイ率45.8% OB率13.3% バンカー率22.3%,難易度7位/9ホール中 平均スコア5.12 平均パット数2.05 パーオン率30.3% フェアウェイ率45.8% OB率13.3% バンカー率22.3%,難易度7位/9ホール中 平均スコア5.12 平均パット数2.05 パーオン率30.3% フェアウェイ率45.8% OB率13.3% バンカー率22.3%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率17.5% フェアウェイ率42.8% OB率19.0% バンカー率16.8%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率17.5% フェアウェイ率42.8% OB率19.0% バンカー率16.8%,難易度2位/9ホール中 平均スコア5.48 平均パット数2.1 パーオン率17.5% フェアウェイ率42.8% OB率19.0% バンカー率16.8%,難易度4位/9ホール中 平均スコア6.35 平均パット数2.09 パーオン率32.5% フェアウェイ率38.0% OB率34.0% バンカー率14.5%,難易度4位/9ホール中 平均スコア6.35 平均パット数2.09 パーオン率32.5% フェアウェイ率38.0% OB率34.0% バンカー率14.5%,難易度4位/9ホール中 平均スコア6.35 平均パット数2.09 パーオン率32.5% フェアウェイ率38.0% OB率34.0% バンカー率14.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：470yd,Hdcp：,PAR：3,Reg.：177yd,Hdcp：,PAR：4,Reg.：386yd,Hdcp：
9,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度5位/9ホール中 平均スコア6.35 平均パット数2.11 パーオン率28.5% フェアウェイ率52.0% OB率20.5% バンカー率21.8%,難易度5位/9ホール中 平均スコア6.35 平均パット数2.11 パーオン率28.5% フェアウェイ率52.0% OB率20.5% バンカー率21.8%,難易度5位/9ホール中 平均スコア6.35 平均パット数2.11 パーオン率28.5% フェアウェイ率52.0% OB率20.5% バンカー率21.8%,難易度8位/9ホール中 平均スコア4.05 平均パット数2.02 パーオン率31.0% フェアウェイ率- OB率19.5% バンカー率3.7%,難易度8位/9ホール中 平均スコア4.05 平均パット数2.02 パーオン率31.0% フェアウェイ率- OB率19.5% バンカー率3.7%,難易度8位/9ホール中 平均スコア4.05 平均パット数2.02 パーオン率31.0% フェアウェイ率- OB率19.5% バンカー率3.7%,難易度3位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率19.3% フェアウェイ率51.5% OB率19.8% バンカー率41.3%,難易度3位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率19.3% フェアウェイ率51.5% OB率19.8% バンカー率41.3%,難易度3位/9ホール中 平均スコア5.41 平均パット数1.99 パーオン率19.3% フェアウェイ率51.5% OB率19.8% バンカー率41.3%
