,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：351yd,Hdcp：7,PAR：3,Reg.：141yd,Hdcp：9,PAR：4,Reg.：381yd,Hdcp：5
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール
2,難易度4位/9ホール中 平均スコア5.3 平均パット数2.07 パーオン率24.8% フェアウェイ率46.8% OB率17.0% バンカー率34.3%,難易度4位/9ホール中 平均スコア5.3 平均パット数2.07 パーオン率24.8% フェアウェイ率46.8% OB率17.0% バンカー率34.3%,難易度4位/9ホール中 平均スコア5.3 平均パット数2.07 パーオン率24.8% フェアウェイ率46.8% OB率17.0% バンカー率34.3%,難易度9位/9ホール中 平均スコア3.87 平均パット数2 パーオン率37.0% フェアウェイ率- OB率8.8% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.87 平均パット数2 パーオン率37.0% フェアウェイ率- OB率8.8% バンカー率21.5%,難易度9位/9ホール中 平均スコア3.87 平均パット数2 パーオン率37.0% フェアウェイ率- OB率8.8% バンカー率21.5%,難易度3位/9ホール中 平均スコア5.28 平均パット数1.95 パーオン率17.8% フェアウェイ率46.8% OB率21.8% バンカー率22.0%,難易度3位/9ホール中 平均スコア5.28 平均パット数1.95 パーオン率17.8% フェアウェイ率46.8% OB率21.8% バンカー率22.0%,難易度3位/9ホール中 平均スコア5.28 平均パット数1.95 パーオン率17.8% フェアウェイ率46.8% OB率21.8% バンカー率22.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：488yd,Hdcp：4,PAR：4,Reg.：415yd,Hdcp：3,PAR：4,Reg.：347yd,Hdcp：6
5,緩い左ドッグレッグのロングホール,緩い左ドッグレッグのロングホール,緩い左ドッグレッグのロングホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度5位/9ホール中 平均スコア6.13 平均パット数2 パーオン率35.0% フェアウェイ率46.5% OB率32.3% バンカー率28.0%,難易度5位/9ホール中 平均スコア6.13 平均パット数2 パーオン率35.0% フェアウェイ率46.5% OB率32.3% バンカー率28.0%,難易度5位/9ホール中 平均スコア6.13 平均パット数2 パーオン率35.0% フェアウェイ率46.5% OB率32.3% バンカー率28.0%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.06 パーオン率13.0% フェアウェイ率40.5% OB率18.8% バンカー率39.3%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.06 パーオン率13.0% フェアウェイ率40.5% OB率18.8% バンカー率39.3%,難易度1位/9ホール中 平均スコア5.58 平均パット数2.06 パーオン率13.0% フェアウェイ率40.5% OB率18.8% バンカー率39.3%,難易度6位/9ホール中 平均スコア5.12 平均パット数2 パーオン率30.3% フェアウェイ率45.8% OB率3.7% バンカー率42.3%,難易度6位/9ホール中 平均スコア5.12 平均パット数2 パーオン率30.3% フェアウェイ率45.8% OB率3.7% バンカー率42.3%,難易度6位/9ホール中 平均スコア5.12 平均パット数2 パーオン率30.3% フェアウェイ率45.8% OB率3.7% バンカー率42.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：176yd,Hdcp：8,PAR：5,Reg.：518yd,Hdcp：2,PAR：4,Reg.：406yd,Hdcp：1
9,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度7位/9ホール中 平均スコア4.09 平均パット数2.04 パーオン率24.0% フェアウェイ率- OB率3.7% バンカー率42.3%,難易度7位/9ホール中 平均スコア4.09 平均パット数2.04 パーオン率24.0% フェアウェイ率- OB率3.7% バンカー率42.3%,難易度7位/9ホール中 平均スコア4.09 平均パット数2.04 パーオン率24.0% フェアウェイ率- OB率3.7% バンカー率42.3%,難易度8位/9ホール中 平均スコア6.05 平均パット数1.99 パーオン率33.5% フェアウェイ率44.5% OB率1.7% バンカー率38.5%,難易度8位/9ホール中 平均スコア6.05 平均パット数1.99 パーオン率33.5% フェアウェイ率44.5% OB率1.7% バンカー率38.5%,難易度8位/9ホール中 平均スコア6.05 平均パット数1.99 パーオン率33.5% フェアウェイ率44.5% OB率1.7% バンカー率38.5%,難易度2位/9ホール中 平均スコア5.49 平均パット数2.02 パーオン率13.8% フェアウェイ率45.0% OB率3.3% バンカー率45.5%,難易度2位/9ホール中 平均スコア5.49 平均パット数2.02 パーオン率13.8% フェアウェイ率45.0% OB率3.3% バンカー率45.5%,難易度2位/9ホール中 平均スコア5.49 平均パット数2.02 パーオン率13.8% フェアウェイ率45.0% OB率3.3% バンカー率45.5%
