,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：325yd,Hdcp：13,PAR：3,Reg.：131yd,Hdcp：15,PAR：5,Reg.：492yd,Hdcp：17
1,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度13位/18ホール中 平均スコア5.23 平均パット数1.95 パーオン率26.8% フェアウェイ率49.5% OB率39.8% バンカー率19.5%,難易度13位/18ホール中 平均スコア5.23 平均パット数1.95 パーオン率26.8% フェアウェイ率49.5% OB率39.8% バンカー率19.5%,難易度13位/18ホール中 平均スコア5.23 平均パット数1.95 パーオン率26.8% フェアウェイ率49.5% OB率39.8% バンカー率19.5%,難易度17位/18ホール中 平均スコア4.05 平均パット数1.98 パーオン率21.3% フェアウェイ率- OB率11.8% バンカー率32.5%,難易度17位/18ホール中 平均スコア4.05 平均パット数1.98 パーオン率21.3% フェアウェイ率- OB率11.8% バンカー率32.5%,難易度17位/18ホール中 平均スコア4.05 平均パット数1.98 パーオン率21.3% フェアウェイ率- OB率11.8% バンカー率32.5%,難易度9位/18ホール中 平均スコア6.3 平均パット数1.99 パーオン率27.3% フェアウェイ率47.0% OB率32.8% バンカー率31.0%,難易度9位/18ホール中 平均スコア6.3 平均パット数1.99 パーオン率27.3% フェアウェイ率47.0% OB率32.8% バンカー率31.0%,難易度9位/18ホール中 平均スコア6.3 平均パット数1.99 パーオン率27.3% フェアウェイ率47.0% OB率32.8% バンカー率31.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：336yd,Hdcp：11,PAR：5,Reg.：509yd,Hdcp：7,PAR：4,Reg.：437yd,Hdcp：1
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール
6,難易度11位/18ホール中 平均スコア5.32 平均パット数1.99 パーオン率20.0% フェアウェイ率51.0% OB率28.0% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数1.99 パーオン率20.0% フェアウェイ率51.0% OB率28.0% バンカー率32.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数1.99 パーオン率20.0% フェアウェイ率51.0% OB率28.0% バンカー率32.3%,難易度1位/18ホール中 平均スコア6.83 平均パット数1.99 パーオン率13.8% フェアウェイ率49.0% OB率57.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア6.83 平均パット数1.99 パーオン率13.8% フェアウェイ率49.0% OB率57.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア6.83 平均パット数1.99 パーオン率13.8% フェアウェイ率49.0% OB率57.8% バンカー率19.0%,難易度2位/18ホール中 平均スコア5.84 平均パット数1.93 パーオン率2.3% フェアウェイ率50.3% OB率21.5% バンカー率17.8%,難易度2位/18ホール中 平均スコア5.84 平均パット数1.93 パーオン率2.3% フェアウェイ率50.3% OB率21.5% バンカー率17.8%,難易度2位/18ホール中 平均スコア5.84 平均パット数1.93 パーオン率2.3% フェアウェイ率50.3% OB率21.5% バンカー率17.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：373yd,Hdcp：3,PAR：3,Reg.：189yd,Hdcp：5,PAR：4,Reg.：332yd,Hdcp：9
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度4位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率10.0% フェアウェイ率54.8% OB率10.3% バンカー率27.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率10.0% フェアウェイ率54.8% OB率10.3% バンカー率27.3%,難易度4位/18ホール中 平均スコア5.58 平均パット数2.08 パーオン率10.0% フェアウェイ率54.8% OB率10.3% バンカー率27.3%,難易度16位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.5% フェアウェイ率- OB率9.8% バンカー率37.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.5% フェアウェイ率- OB率9.8% バンカー率37.8%,難易度16位/18ホール中 平均スコア4.08 平均パット数1.99 パーオン率21.5% フェアウェイ率- OB率9.8% バンカー率37.8%,難易度10位/18ホール中 平均スコア5.33 平均パット数1.97 パーオン率18.5% フェアウェイ率58.5% OB率26.8% バンカー率24.3%,難易度10位/18ホール中 平均スコア5.33 平均パット数1.97 パーオン率18.5% フェアウェイ率58.5% OB率26.8% バンカー率24.3%,難易度10位/18ホール中 平均スコア5.33 平均パット数1.97 パーオン率18.5% フェアウェイ率58.5% OB率26.8% バンカー率24.3%
