,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：452yd,Hdcp：,PAR：4,Reg.：363yd,Hdcp：,PAR：4,Reg.：312yd,Hdcp：
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度7位/9ホール中 平均スコア6.07 平均パット数2.04 パーオン率35.8% フェアウェイ率57.3% OB率12.7% バンカー率12.3%,難易度7位/9ホール中 平均スコア6.07 平均パット数2.04 パーオン率35.8% フェアウェイ率57.3% OB率12.7% バンカー率12.3%,難易度7位/9ホール中 平均スコア6.07 平均パット数2.04 パーオン率35.8% フェアウェイ率57.3% OB率12.7% バンカー率12.3%,難易度2位/9ホール中 平均スコア5.37 平均パット数2.01 パーオン率19.5% フェアウェイ率47.5% OB率29.8% バンカー率13.5%,難易度2位/9ホール中 平均スコア5.37 平均パット数2.01 パーオン率19.5% フェアウェイ率47.5% OB率29.8% バンカー率13.5%,難易度2位/9ホール中 平均スコア5.37 平均パット数2.01 パーオン率19.5% フェアウェイ率47.5% OB率29.8% バンカー率13.5%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.06 パーオン率24.8% フェアウェイ率50.5% OB率35.5% バンカー率10.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.06 パーオン率24.8% フェアウェイ率50.5% OB率35.5% バンカー率10.3%,難易度5位/9ホール中 平均スコア5.34 平均パット数2.06 パーオン率24.8% フェアウェイ率50.5% OB率35.5% バンカー率10.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：151yd,Hdcp：,PAR：5,Reg.：531yd,Hdcp：,PAR：4,Reg.：327yd,Hdcp：
5,,,,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール
6,難易度9位/9ホール中 平均スコア3.97 平均パット数2 パーオン率30.5% フェアウェイ率- OB率13.8% バンカー率17.3%,難易度9位/9ホール中 平均スコア3.97 平均パット数2 パーオン率30.5% フェアウェイ率- OB率13.8% バンカー率17.3%,難易度9位/9ホール中 平均スコア3.97 平均パット数2 パーオン率30.5% フェアウェイ率- OB率13.8% バンカー率17.3%,難易度1位/9ホール中 平均スコア6.63 平均パット数2.04 パーオン率21.8% フェアウェイ率51.5% OB率40.0% バンカー率21.3%,難易度1位/9ホール中 平均スコア6.63 平均パット数2.04 パーオン率21.8% フェアウェイ率51.5% OB率40.0% バンカー率21.3%,難易度1位/9ホール中 平均スコア6.63 平均パット数2.04 パーオン率21.8% フェアウェイ率51.5% OB率40.0% バンカー率21.3%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.09 パーオン率28.8% フェアウェイ率54.3% OB率16.0% バンカー率20.0%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.09 パーオン率28.8% フェアウェイ率54.3% OB率16.0% バンカー率20.0%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.09 パーオン率28.8% フェアウェイ率54.3% OB率16.0% バンカー率20.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：169yd,Hdcp：,PAR：4,Reg.：398yd,Hdcp：,PAR：4,Reg.：382yd,Hdcp：
9,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,長いミドルホール,長いミドルホール,長いミドルホール
10,難易度8位/9ホール中 平均スコア4 平均パット数2.06 パーオン率29.5% フェアウェイ率- OB率7.5% バンカー率20.8%,難易度8位/9ホール中 平均スコア4 平均パット数2.06 パーオン率29.5% フェアウェイ率- OB率7.5% バンカー率20.8%,難易度8位/9ホール中 平均スコア4 平均パット数2.06 パーオン率29.5% フェアウェイ率- OB率7.5% バンカー率20.8%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.05 パーオン率16.0% フェアウェイ率51.8% OB率15.0% バンカー率9.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.05 パーオン率16.0% フェアウェイ率51.8% OB率15.0% バンカー率9.5%,難易度3位/9ホール中 平均スコア5.39 平均パット数2.05 パーオン率16.0% フェアウェイ率51.8% OB率15.0% バンカー率9.5%,難易度6位/9ホール中 平均スコア5.3 平均パット数2.03 パーオン率21.5% フェアウェイ率59.5% OB率10.8% バンカー率10.0%,難易度6位/9ホール中 平均スコア5.3 平均パット数2.03 パーオン率21.5% フェアウェイ率59.5% OB率10.8% バンカー率10.0%,難易度6位/9ホール中 平均スコア5.3 平均パット数2.03 パーオン率21.5% フェアウェイ率59.5% OB率10.8% バンカー率10.0%
