,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：420yd,Hdcp：2,PAR：5,Reg.：500yd,Hdcp：5,PAR：4,Reg.：355yd,Hdcp：8
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度1位/9ホール中 平均スコア5.7 平均パット数1.88 パーオン率9.5% フェアウェイ率53.8% OB率47.8% バンカー率13.8%,難易度1位/9ホール中 平均スコア5.7 平均パット数1.88 パーオン率9.5% フェアウェイ率53.8% OB率47.8% バンカー率13.8%,難易度1位/9ホール中 平均スコア5.7 平均パット数1.88 パーオン率9.5% フェアウェイ率53.8% OB率47.8% バンカー率13.8%,難易度3位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率35.3% フェアウェイ率53.0% OB率34.0% バンカー率18.5%,難易度3位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率35.3% フェアウェイ率53.0% OB率34.0% バンカー率18.5%,難易度3位/9ホール中 平均スコア6.22 平均パット数1.98 パーオン率35.3% フェアウェイ率53.0% OB率34.0% バンカー率18.5%,難易度8位/9ホール中 平均スコア5.09 平均パット数1.93 パーオン率26.0% フェアウェイ率54.5% OB率28.0% バンカー率5.7%,難易度8位/9ホール中 平均スコア5.09 平均パット数1.93 パーオン率26.0% フェアウェイ率54.5% OB率28.0% バンカー率5.7%,難易度8位/9ホール中 平均スコア5.09 平均パット数1.93 パーオン率26.0% フェアウェイ率54.5% OB率28.0% バンカー率5.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：340yd,Hdcp：4,PAR：4,Reg.：365yd,Hdcp：1,PAR：3,Reg.：128yd,Hdcp：7
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,短いショートホール,短いショートホール,短いショートホール
6,難易度5位/9ホール中 平均スコア5.2 平均パット数1.95 パーオン率30.3% フェアウェイ率61.8% OB率41.0% バンカー率19.8%,難易度5位/9ホール中 平均スコア5.2 平均パット数1.95 パーオン率30.3% フェアウェイ率61.8% OB率41.0% バンカー率19.8%,難易度5位/9ホール中 平均スコア5.2 平均パット数1.95 パーオン率30.3% フェアウェイ率61.8% OB率41.0% バンカー率19.8%,難易度2位/9ホール中 平均スコア5.54 平均パット数2.08 パーオン率17.0% フェアウェイ率60.0% OB率36.8% バンカー率5.7%,難易度2位/9ホール中 平均スコア5.54 平均パット数2.08 パーオン率17.0% フェアウェイ率60.0% OB率36.8% バンカー率5.7%,難易度2位/9ホール中 平均スコア5.54 平均パット数2.08 パーオン率17.0% フェアウェイ率60.0% OB率36.8% バンカー率5.7%,難易度9位/9ホール中 平均スコア3.77 平均パット数1.86 パーオン率31.0% フェアウェイ率- OB率17.0% バンカー率12.8%,難易度9位/9ホール中 平均スコア3.77 平均パット数1.86 パーオン率31.0% フェアウェイ率- OB率17.0% バンカー率12.8%,難易度9位/9ホール中 平均スコア3.77 平均パット数1.86 パーオン率31.0% フェアウェイ率- OB率17.0% バンカー率12.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：521yd,Hdcp：6,PAR：3,Reg.：179yd,Hdcp：3,PAR：4,Reg.：365yd,Hdcp：9
9,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度4位/9ホール中 平均スコア6.23 平均パット数1.98 パーオン率29.5% フェアウェイ率68.0% OB率27.8% バンカー率9.0%,難易度4位/9ホール中 平均スコア6.23 平均パット数1.98 パーオン率29.5% フェアウェイ率68.0% OB率27.8% バンカー率9.0%,難易度4位/9ホール中 平均スコア6.23 平均パット数1.98 パーオン率29.5% フェアウェイ率68.0% OB率27.8% バンカー率9.0%,難易度7位/9ホール中 平均スコア4.29 平均パット数1.85 パーオン率15.5% フェアウェイ率- OB率39.5% バンカー率16.5%,難易度7位/9ホール中 平均スコア4.29 平均パット数1.85 パーオン率15.5% フェアウェイ率- OB率39.5% バンカー率16.5%,難易度7位/9ホール中 平均スコア4.29 平均パット数1.85 パーオン率15.5% フェアウェイ率- OB率39.5% バンカー率16.5%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.5% フェアウェイ率54.8% OB率39.0% バンカー率18.5%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.5% フェアウェイ率54.8% OB率39.0% バンカー率18.5%,難易度6位/9ホール中 平均スコア5.17 平均パット数1.91 パーオン率29.5% フェアウェイ率54.8% OB率39.0% バンカー率18.5%
