,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：517yd,Hdcp：10,PAR：4,Reg.：348yd,Hdcp：16,PAR：4,Reg.：386yd,Hdcp：4
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
2,難易度1位/18ホール中 平均スコア6.59 平均パット数2.11 パーオン率26.0% フェアウェイ率54.0% OB率12.5% バンカー率39.0%,難易度1位/18ホール中 平均スコア6.59 平均パット数2.11 パーオン率26.0% フェアウェイ率54.0% OB率12.5% バンカー率39.0%,難易度1位/18ホール中 平均スコア6.59 平均パット数2.11 パーオン率26.0% フェアウェイ率54.0% OB率12.5% バンカー率39.0%,難易度12位/18ホール中 平均スコア5.39 平均パット数2.16 パーオン率27.5% フェアウェイ率55.5% OB率10.0% バンカー率25.5%,難易度12位/18ホール中 平均スコア5.39 平均パット数2.16 パーオン率27.5% フェアウェイ率55.5% OB率10.0% バンカー率25.5%,難易度12位/18ホール中 平均スコア5.39 平均パット数2.16 パーオン率27.5% フェアウェイ率55.5% OB率10.0% バンカー率25.5%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.14 パーオン率26.8% フェアウェイ率50.8% OB率9.3% バンカー率21.5%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.14 パーオン率26.8% フェアウェイ率50.8% OB率9.3% バンカー率21.5%,難易度10位/18ホール中 平均スコア5.36 平均パット数2.14 パーオン率26.8% フェアウェイ率50.8% OB率9.3% バンカー率21.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：206yd,Hdcp：14,PAR：4,Reg.：362yd,Hdcp：2,PAR：4,Reg.：363yd,Hdcp：8
5,長いショートホール,長いショートホール,長いショートホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール,緩い右ドッグレッグのミドルホール
6,難易度16位/18ホール中 平均スコア4.14 平均パット数2.08 パーオン率22.3% フェアウェイ率- OB率12.3% バンカー率18.8%,難易度16位/18ホール中 平均スコア4.14 平均パット数2.08 パーオン率22.3% フェアウェイ率- OB率12.3% バンカー率18.8%,難易度16位/18ホール中 平均スコア4.14 平均パット数2.08 パーオン率22.3% フェアウェイ率- OB率12.3% バンカー率18.8%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.1 パーオン率20.5% フェアウェイ率58.0% OB率27.5% バンカー率34.0%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.1 パーオン率20.5% フェアウェイ率58.0% OB率27.5% バンカー率34.0%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.1 パーオン率20.5% フェアウェイ率58.0% OB率27.5% バンカー率34.0%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.12 パーオン率23.5% フェアウェイ率61.5% OB率44.3% バンカー率15.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.12 パーオン率23.5% フェアウェイ率61.5% OB率44.3% バンカー率15.8%,難易度7位/18ホール中 平均スコア5.45 平均パット数2.12 パーオン率23.5% フェアウェイ率61.5% OB率44.3% バンカー率15.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：3,Reg.：184yd,Hdcp：18,PAR：4,Reg.：348yd,Hdcp：12,PAR：5,Reg.：511yd,Hdcp：6
9,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,谷越えのミドルホール,谷越えのミドルホール,谷越えのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール
10,難易度15位/18ホール中 平均スコア4.17 平均パット数2.07 パーオン率25.0% フェアウェイ率- OB率16.7% バンカー率14.8%,難易度15位/18ホール中 平均スコア4.17 平均パット数2.07 パーオン率25.0% フェアウェイ率- OB率16.7% バンカー率14.8%,難易度15位/18ホール中 平均スコア4.17 平均パット数2.07 パーオン率25.0% フェアウェイ率- OB率16.7% バンカー率14.8%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.12 パーオン率25.3% フェアウェイ率46.3% OB率25.8% バンカー率35.5%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.12 パーオン率25.3% フェアウェイ率46.3% OB率25.8% バンカー率35.5%,難易度9位/18ホール中 平均スコア5.4 平均パット数2.12 パーオン率25.3% フェアウェイ率46.3% OB率25.8% バンカー率35.5%,難易度8位/18ホール中 平均スコア6.38 平均パット数2.11 パーオン率29.5% フェアウェイ率54.8% OB率32.0% バンカー率36.5%,難易度8位/18ホール中 平均スコア6.38 平均パット数2.11 パーオン率29.5% フェアウェイ率54.8% OB率32.0% バンカー率36.5%,難易度8位/18ホール中 平均スコア6.38 平均パット数2.11 パーオン率29.5% フェアウェイ率54.8% OB率32.0% バンカー率36.5%
