,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：300yd,Hdcp：18,PAR：3,Reg.：167yd,Hdcp：16,PAR：4,Reg.：349yd,Hdcp：6
1,短いミドルホール,短いミドルホール,短いミドルホール,奥がＬ（左）グリーン,奥がＬ（左）グリーン,奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン
2,難易度13位/18ホール中 平均スコア5.16 平均パット数1.84 パーオン率21.3% フェアウェイ率52.8% OB率21.0% バンカー率18.3%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.84 パーオン率21.3% フェアウェイ率52.8% OB率21.0% バンカー率18.3%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.84 パーオン率21.3% フェアウェイ率52.8% OB率21.0% バンカー率18.3%,難易度17位/18ホール中 平均スコア3.89 平均パット数1.8 パーオン率21.8% フェアウェイ率- OB率17.0% バンカー率10.8%,難易度17位/18ホール中 平均スコア3.89 平均パット数1.8 パーオン率21.8% フェアウェイ率- OB率17.0% バンカー率10.8%,難易度17位/18ホール中 平均スコア3.89 平均パット数1.8 パーオン率21.8% フェアウェイ率- OB率17.0% バンカー率10.8%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率12.3% フェアウェイ率57.5% OB率29.3% バンカー率8.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率12.3% フェアウェイ率57.5% OB率29.3% バンカー率8.5%,難易度7位/18ホール中 平均スコア5.41 平均パット数1.87 パーオン率12.3% フェアウェイ率57.5% OB率29.3% バンカー率8.5%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：403yd,Hdcp：2,PAR：4,Reg.：285yd,Hdcp：14,PAR：3,Reg.：137yd,Hdcp：4
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,短いミドルホール,短いミドルホール,短いミドルホール,,,
6,難易度3位/18ホール中 平均スコア5.69 平均パット数1.92 パーオン率3.5% フェアウェイ率56.0% OB率24.0% バンカー率10.5%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.92 パーオン率3.5% フェアウェイ率56.0% OB率24.0% バンカー率10.5%,難易度3位/18ホール中 平均スコア5.69 平均パット数1.92 パーオン率3.5% フェアウェイ率56.0% OB率24.0% バンカー率10.5%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.84 パーオン率23.5% フェアウェイ率56.3% OB率29.8% バンカー率17.5%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.84 パーオン率23.5% フェアウェイ率56.3% OB率29.8% バンカー率17.5%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.84 パーオン率23.5% フェアウェイ率56.3% OB率29.8% バンカー率17.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.85 パーオン率30.0% フェアウェイ率- OB率9.0% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.85 パーオン率30.0% フェアウェイ率- OB率9.0% バンカー率14.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数1.85 パーオン率30.0% フェアウェイ率- OB率9.0% バンカー率14.5%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：524yd,Hdcp：10,PAR：4,Reg.：324yd,Hdcp：8,PAR：5,Reg.：485yd,Hdcp：12
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度6位/18ホール中 平均スコア6.46 平均パット数1.88 パーオン率20.3% フェアウェイ率57.8% OB率37.3% バンカー率12.0%,難易度6位/18ホール中 平均スコア6.46 平均パット数1.88 パーオン率20.3% フェアウェイ率57.8% OB率37.3% バンカー率12.0%,難易度6位/18ホール中 平均スコア6.46 平均パット数1.88 パーオン率20.3% フェアウェイ率57.8% OB率37.3% バンカー率12.0%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.83 パーオン率13.8% フェアウェイ率51.8% OB率22.8% バンカー率26.0%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.83 パーオン率13.8% フェアウェイ率51.8% OB率22.8% バンカー率26.0%,難易度9位/18ホール中 平均スコア5.34 平均パット数1.83 パーオン率13.8% フェアウェイ率51.8% OB率22.8% バンカー率26.0%,難易度10位/18ホール中 平均スコア6.29 平均パット数1.87 パーオン率24.3% フェアウェイ率52.5% OB率31.3% バンカー率14.5%,難易度10位/18ホール中 平均スコア6.29 平均パット数1.87 パーオン率24.3% フェアウェイ率52.5% OB率31.3% バンカー率14.5%,難易度10位/18ホール中 平均スコア6.29 平均パット数1.87 パーオン率24.3% フェアウェイ率52.5% OB率31.3% バンカー率14.5%
