,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：498yd,Hdcp：6,PAR：4,Reg.：368yd,Hdcp：12,PAR：3,Reg.：202yd,Hdcp：16
1,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,池越えの長いショートホール,池越えの長いショートホール,池越えの長いショートホール
2,難易度2位/18ホール中 平均スコア6.53 平均パット数1.97 パーオン率20.8% フェアウェイ率44.8% OB率39.3% バンカー率16.8%,難易度2位/18ホール中 平均スコア6.53 平均パット数1.97 パーオン率20.8% フェアウェイ率44.8% OB率39.3% バンカー率16.8%,難易度2位/18ホール中 平均スコア6.53 平均パット数1.97 パーオン率20.8% フェアウェイ率44.8% OB率39.3% バンカー率16.8%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.84 パーオン率9.5% フェアウェイ率49.5% OB率57.5% バンカー率6.3%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.84 パーオン率9.5% フェアウェイ率49.5% OB率57.5% バンカー率6.3%,難易度3位/18ホール中 平均スコア5.58 平均パット数1.84 パーオン率9.5% フェアウェイ率49.5% OB率57.5% バンカー率6.3%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.84 パーオン率11.0% フェアウェイ率- OB率7.8% バンカー率21.7%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.84 パーオン率11.0% フェアウェイ率- OB率7.8% バンカー率21.7%,難易度15位/18ホール中 平均スコア4.13 平均パット数1.84 パーオン率11.0% フェアウェイ率- OB率7.8% バンカー率21.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：385yd,Hdcp：8,PAR：4,Reg.：348yd,Hdcp：14,PAR：5,Reg.：568yd,Hdcp：2
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
6,難易度1位/18ホール中 平均スコア5.62 平均パット数1.99 パーオン率14.5% フェアウェイ率53.0% OB率34.8% バンカー率7.8%,難易度1位/18ホール中 平均スコア5.62 平均パット数1.99 パーオン率14.5% フェアウェイ率53.0% OB率34.8% バンカー率7.8%,難易度1位/18ホール中 平均スコア5.62 平均パット数1.99 パーオン率14.5% フェアウェイ率53.0% OB率34.8% バンカー率7.8%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.05 パーオン率16.5% フェアウェイ率58.8% OB率27.5% バンカー率13.5%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.05 パーオン率16.5% フェアウェイ率58.8% OB率27.5% バンカー率13.5%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.05 パーオン率16.5% フェアウェイ率58.8% OB率27.5% バンカー率13.5%,難易度6位/18ホール中 平均スコア6.38 平均パット数2.05 パーオン率24.8% フェアウェイ率50.5% OB率40.0% バンカー率10.3%,難易度6位/18ホール中 平均スコア6.38 平均パット数2.05 パーオン率24.8% フェアウェイ率50.5% OB率40.0% バンカー率10.3%,難易度6位/18ホール中 平均スコア6.38 平均パット数2.05 パーオン率24.8% フェアウェイ率50.5% OB率40.0% バンカー率10.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：397yd,Hdcp：4,PAR：3,Reg.：111yd,Hdcp：18,PAR：4,Reg.：386yd,Hdcp：10
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,池越えの短いショートホール,池越えの短いショートホール,池越えの短いショートホール,池越えの右ドッグレッグミドルホール,池越えの右ドッグレッグミドルホール,池越えの右ドッグレッグミドルホール
10,難易度9位/18ホール中 平均スコア5.44 平均パット数1.87 パーオン率11.0% フェアウェイ率52.8% OB率34.5% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.44 平均パット数1.87 パーオン率11.0% フェアウェイ率52.8% OB率34.5% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.44 平均パット数1.87 パーオン率11.0% フェアウェイ率52.8% OB率34.5% バンカー率12.5%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.93 パーオン率37.5% フェアウェイ率- OB率5.7% バンカー率14.3%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.93 パーオン率37.5% フェアウェイ率- OB率5.7% バンカー率14.3%,難易度18位/18ホール中 平均スコア3.8 平均パット数1.93 パーオン率37.5% フェアウェイ率- OB率5.7% バンカー率14.3%,難易度4位/18ホール中 平均スコア5.54 平均パット数1.87 パーオン率9.3% フェアウェイ率56.5% OB率16.0% バンカー率11.3%,難易度4位/18ホール中 平均スコア5.54 平均パット数1.87 パーオン率9.3% フェアウェイ率56.5% OB率16.0% バンカー率11.3%,難易度4位/18ホール中 平均スコア5.54 平均パット数1.87 パーオン率9.3% フェアウェイ率56.5% OB率16.0% バンカー率11.3%
