,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：343yd,Hdcp：3,PAR：5,Reg.：467yd,Hdcp：7,PAR：4,Reg.：360yd,Hdcp：5
1,ゆるい打ち下ろしのミドルホール,ゆるい打ち下ろしのミドルホール,ゆるい打ち下ろしのミドルホール,比較的短いロングホール,比較的短いロングホール,比較的短いロングホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール,ゆるやかな打ち下ろしのミドルホール
2,難易度5位/9ホール中 平均スコア5.25 平均パット数2.14 パーオン率30.0% フェアウェイ率41.5% OB率13.5% バンカー率33.8%,難易度5位/9ホール中 平均スコア5.25 平均パット数2.14 パーオン率30.0% フェアウェイ率41.5% OB率13.5% バンカー率33.8%,難易度5位/9ホール中 平均スコア5.25 平均パット数2.14 パーオン率30.0% フェアウェイ率41.5% OB率13.5% バンカー率33.8%,難易度6位/9ホール中 平均スコア6.23 平均パット数2.19 パーオン率34.8% フェアウェイ率49.3% OB率3.3% バンカー率38.5%,難易度6位/9ホール中 平均スコア6.23 平均パット数2.19 パーオン率34.8% フェアウェイ率49.3% OB率3.3% バンカー率38.5%,難易度6位/9ホール中 平均スコア6.23 平均パット数2.19 パーオン率34.8% フェアウェイ率49.3% OB率3.3% バンカー率38.5%,難易度4位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率23.8% フェアウェイ率47.3% OB率18.8% バンカー率27.5%,難易度4位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率23.8% フェアウェイ率47.3% OB率18.8% バンカー率27.5%,難易度4位/9ホール中 平均スコア5.35 平均パット数2.1 パーオン率23.8% フェアウェイ率47.3% OB率18.8% バンカー率27.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：140yd,Hdcp：9,PAR：4,Reg.：380yd,Hdcp：1,PAR：4,Reg.：380yd,Hdcp：6
5,打ち上げのショートホール,打ち上げのショートホール,打ち上げのショートホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,打ち下ろしのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度9位/9ホール中 平均スコア3.85 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率3.7% バンカー率29.3%,難易度9位/9ホール中 平均スコア3.85 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率3.7% バンカー率29.3%,難易度9位/9ホール中 平均スコア3.85 平均パット数2.1 パーオン率40.8% フェアウェイ率- OB率3.7% バンカー率29.3%,難易度3位/9ホール中 平均スコア5.41 平均パット数2.15 パーオン率22.5% フェアウェイ率41.0% OB率17.8% バンカー率26.5%,難易度3位/9ホール中 平均スコア5.41 平均パット数2.15 パーオン率22.5% フェアウェイ率41.0% OB率17.8% バンカー率26.5%,難易度3位/9ホール中 平均スコア5.41 平均パット数2.15 パーオン率22.5% フェアウェイ率41.0% OB率17.8% バンカー率26.5%,難易度7位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率28.8% フェアウェイ率45.0% OB率8.0% バンカー率33.8%,難易度7位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率28.8% フェアウェイ率45.0% OB率8.0% バンカー率33.8%,難易度7位/9ホール中 平均スコア5.19 平均パット数2.07 パーオン率28.8% フェアウェイ率45.0% OB率8.0% バンカー率33.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：182yd,Hdcp：8,PAR：5,Reg.：557yd,Hdcp：4,PAR：4,Reg.：400yd,Hdcp：2
9,若干打ち下ろしのショートホール,若干打ち下ろしのショートホール,若干打ち下ろしのショートホール,距離のあるロングホール,距離のあるロングホール,距離のあるロングホール,ティショットの池越えはスリル満点。距離もある,ティショットの池越えはスリル満点。距離もある,ティショットの池越えはスリル満点。距離もある
10,難易度8位/9ホール中 平均スコア3.96 平均パット数2.1 パーオン率34.0% フェアウェイ率- OB率2.0% バンカー率30.5%,難易度8位/9ホール中 平均スコア3.96 平均パット数2.1 パーオン率34.0% フェアウェイ率- OB率2.0% バンカー率30.5%,難易度8位/9ホール中 平均スコア3.96 平均パット数2.1 パーオン率34.0% フェアウェイ率- OB率2.0% バンカー率30.5%,難易度1位/9ホール中 平均スコア6.48 平均パット数2.12 パーオン率26.3% フェアウェイ率49.5% OB率27.0% バンカー率16.8%,難易度1位/9ホール中 平均スコア6.48 平均パット数2.12 パーオン率26.3% フェアウェイ率49.5% OB率27.0% バンカー率16.8%,難易度1位/9ホール中 平均スコア6.48 平均パット数2.12 パーオン率26.3% フェアウェイ率49.5% OB率27.0% バンカー率16.8%,難易度2位/9ホール中 平均スコア5.5 平均パット数2.1 パーオン率13.3% フェアウェイ率39.3% OB率20.0% バンカー率16.0%,難易度2位/9ホール中 平均スコア5.5 平均パット数2.1 パーオン率13.3% フェアウェイ率39.3% OB率20.0% バンカー率16.0%,難易度2位/9ホール中 平均スコア5.5 平均パット数2.1 パーオン率13.3% フェアウェイ率39.3% OB率20.0% バンカー率16.0%
