,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：406yd,Hdcp：4,PAR：3,Reg.：158yd,Hdcp：18,PAR：4,Reg.：359yd,Hdcp：16
1,広いフェアウェー、やや打ち下ろしのストレート,広いフェアウェー、やや打ち下ろしのストレート,広いフェアウェー、やや打ち下ろしのストレート,ＩＮで最も広いグリーン、やや打ち下ろしのショート,ＩＮで最も広いグリーン、やや打ち下ろしのショート,ＩＮで最も広いグリーン、やや打ち下ろしのショート,ティーグランドから大山を真正面に望めるミドル,ティーグランドから大山を真正面に望めるミドル,ティーグランドから大山を真正面に望めるミドル
2,難易度4位/18ホール中 平均スコア5.45 平均パット数2.04 パーオン率16.5% フェアウェイ率34.3% OB率32.3% バンカー率20.8%,難易度4位/18ホール中 平均スコア5.45 平均パット数2.04 パーオン率16.5% フェアウェイ率34.3% OB率32.3% バンカー率20.8%,難易度4位/18ホール中 平均スコア5.45 平均パット数2.04 パーオン率16.5% フェアウェイ率34.3% OB率32.3% バンカー率20.8%,難易度18位/18ホール中 平均スコア3.72 平均パット数2.09 パーオン率49.5% フェアウェイ率- OB率14.5% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.72 平均パット数2.09 パーオン率49.5% フェアウェイ率- OB率14.5% バンカー率10.0%,難易度18位/18ホール中 平均スコア3.72 平均パット数2.09 パーオン率49.5% フェアウェイ率- OB率14.5% バンカー率10.0%,難易度7位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率22.5% フェアウェイ率31.8% OB率30.8% バンカー率18.0%,難易度7位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率22.5% フェアウェイ率31.8% OB率30.8% バンカー率18.0%,難易度7位/18ホール中 平均スコア5.37 平均パット数2.06 パーオン率22.5% フェアウェイ率31.8% OB率30.8% バンカー率18.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：5,Reg.：564yd,Hdcp：2,PAR：4,Reg.：411yd,Hdcp：6,PAR：4,Reg.：334yd,Hdcp：10
5,最も距離のあるロングホール,最も距離のあるロングホール,最も距離のあるロングホール,フェアウェー左側に沿いOBラインがグリーン近くまで,フェアウェー左側に沿いOBラインがグリーン近くまで,フェアウェー左側に沿いOBラインがグリーン近くまで,第2地点の右手前には樹齢百年を超すソヨゴの大木,第2地点の右手前には樹齢百年を超すソヨゴの大木,第2地点の右手前には樹齢百年を超すソヨゴの大木
6,難易度5位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率24.3% フェアウェイ率38.3% OB率27.0% バンカー率2.7%,難易度5位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率24.3% フェアウェイ率38.3% OB率27.0% バンカー率2.7%,難易度5位/18ホール中 平均スコア6.37 平均パット数2.03 パーオン率24.3% フェアウェイ率38.3% OB率27.0% バンカー率2.7%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.04 パーオン率15.8% フェアウェイ率38.8% OB率50.8% バンカー率6.5%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.04 パーオン率15.8% フェアウェイ率38.8% OB率50.8% バンカー率6.5%,難易度2位/18ホール中 平均スコア5.56 平均パット数2.04 パーオン率15.8% フェアウェイ率38.8% OB率50.8% バンカー率6.5%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.16 パーオン率25.3% フェアウェイ率36.0% OB率29.0% バンカー率10.8%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.16 パーオン率25.3% フェアウェイ率36.0% OB率29.0% バンカー率10.8%,難易度8位/18ホール中 平均スコア5.36 平均パット数2.16 パーオン率25.3% フェアウェイ率36.0% OB率29.0% バンカー率10.8%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：531yd,Hdcp：14,PAR：3,Reg.：174yd,Hdcp：12,PAR：4,Reg.：350yd,Hdcp：8
9,見通しのいいストレートのロングホール,見通しのいいストレートのロングホール,見通しのいいストレートのロングホール,谷越え・池越えのショートホール,谷越え・池越えのショートホール,谷越え・池越えのショートホール,クラブハウス左側タブの木に向かってティーショット,クラブハウス左側タブの木に向かってティーショット,クラブハウス左側タブの木に向かってティーショット
