,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：551yd,Hdcp：4,PAR：4,Reg.：419yd,Hdcp：1,PAR：3,Reg.：142yd,Hdcp：5
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いミドルホール,長いミドルホール,長いミドルホール,,,
2,難易度2位/9ホール中 平均スコア6.71 平均パット数2.21 パーオン率22.5% フェアウェイ率46.8% OB率49.0% バンカー率17.0%,難易度2位/9ホール中 平均スコア6.71 平均パット数2.21 パーオン率22.5% フェアウェイ率46.8% OB率49.0% バンカー率17.0%,難易度2位/9ホール中 平均スコア6.71 平均パット数2.21 パーオン率22.5% フェアウェイ率46.8% OB率49.0% バンカー率17.0%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.29 パーオン率12.5% フェアウェイ率41.5% OB率53.0% バンカー率17.8%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.29 パーオン率12.5% フェアウェイ率41.5% OB率53.0% バンカー率17.8%,難易度1位/9ホール中 平均スコア5.9 平均パット数2.29 パーオン率12.5% フェアウェイ率41.5% OB率53.0% バンカー率17.8%,難易度9位/9ホール中 平均スコア3.94 平均パット数2.23 パーオン率46.0% フェアウェイ率- OB率19.5% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.94 平均パット数2.23 パーオン率46.0% フェアウェイ率- OB率19.5% バンカー率14.5%,難易度9位/9ホール中 平均スコア3.94 平均パット数2.23 パーオン率46.0% フェアウェイ率- OB率19.5% バンカー率14.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：351yd,Hdcp：6,PAR：4,Reg.：393yd,Hdcp：2,PAR：4,Reg.：295yd,Hdcp：9
5,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,左ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度5位/9ホール中 平均スコア5.31 平均パット数2.11 パーオン率25.3% フェアウェイ率60.8% OB率17.8% バンカー率34.5%,難易度5位/9ホール中 平均スコア5.31 平均パット数2.11 パーオン率25.3% フェアウェイ率60.8% OB率17.8% バンカー率34.5%,難易度5位/9ホール中 平均スコア5.31 平均パット数2.11 パーオン率25.3% フェアウェイ率60.8% OB率17.8% バンカー率34.5%,難易度3位/9ホール中 平均スコア5.54 平均パット数2.17 パーオン率19.5% フェアウェイ率54.0% OB率17.8% バンカー率37.5%,難易度3位/9ホール中 平均スコア5.54 平均パット数2.17 パーオン率19.5% フェアウェイ率54.0% OB率17.8% バンカー率37.5%,難易度3位/9ホール中 平均スコア5.54 平均パット数2.17 パーオン率19.5% フェアウェイ率54.0% OB率17.8% バンカー率37.5%,難易度8位/9ホール中 平均スコア4.86 平均パット数2.13 パーオン率49.0% フェアウェイ率60.0% OB率8.5% バンカー率36.0%,難易度8位/9ホール中 平均スコア4.86 平均パット数2.13 パーオン率49.0% フェアウェイ率60.0% OB率8.5% バンカー率36.0%,難易度8位/9ホール中 平均スコア4.86 平均パット数2.13 パーオン率49.0% フェアウェイ率60.0% OB率8.5% バンカー率36.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：383yd,Hdcp：8,PAR：3,Reg.：191yd,Hdcp：3,PAR：5,Reg.：474yd,Hdcp：7
9,長いミドルホール,長いミドルホール,長いミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度4位/9ホール中 平均スコア5.46 平均パット数2.23 パーオン率25.5% フェアウェイ率46.5% OB率28.8% バンカー率31.8%,難易度4位/9ホール中 平均スコア5.46 平均パット数2.23 パーオン率25.5% フェアウェイ率46.5% OB率28.8% バンカー率31.8%,難易度4位/9ホール中 平均スコア5.46 平均パット数2.23 パーオン率25.5% フェアウェイ率46.5% OB率28.8% バンカー率31.8%,難易度7位/9ホール中 平均スコア3.99 平均パット数2.13 パーオン率44.5% フェアウェイ率- OB率14.0% バンカー率1.3%,難易度7位/9ホール中 平均スコア3.99 平均パット数2.13 パーオン率44.5% フェアウェイ率- OB率14.0% バンカー率1.3%,難易度7位/9ホール中 平均スコア3.99 平均パット数2.13 パーオン率44.5% フェアウェイ率- OB率14.0% バンカー率1.3%,難易度6位/9ホール中 平均スコア6.28 平均パット数2.15 パーオン率36.5% フェアウェイ率57.8% OB率38.5% バンカー率23.0%,難易度6位/9ホール中 平均スコア6.28 平均パット数2.15 パーオン率36.5% フェアウェイ率57.8% OB率38.5% バンカー率23.0%,難易度6位/9ホール中 平均スコア6.28 平均パット数2.15 パーオン率36.5% フェアウェイ率57.8% OB率38.5% バンカー率23.0%
