,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：505yd,Hdcp：15,PAR：4,Reg.：348yd,Hdcp：3,PAR：4,Reg.：329yd,Hdcp：9
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
2,難易度4位/18ホール中 平均スコア6.46 平均パット数2.07 パーオン率27.8% フェアウェイ率57.5% OB率43.8% バンカー率8.7%,難易度4位/18ホール中 平均スコア6.46 平均パット数2.07 パーオン率27.8% フェアウェイ率57.5% OB率43.8% バンカー率8.7%,難易度4位/18ホール中 平均スコア6.46 平均パット数2.07 パーオン率27.8% フェアウェイ率57.5% OB率43.8% バンカー率8.7%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.08 パーオン率16.3% フェアウェイ率55.8% OB率38.3% バンカー率1.3%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.08 パーオン率16.3% フェアウェイ率55.8% OB率38.3% バンカー率1.3%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.08 パーオン率16.3% フェアウェイ率55.8% OB率38.3% バンカー率1.3%,難易度11位/18ホール中 平均スコア5.12 平均パット数2.03 パーオン率36.5% フェアウェイ率64.3% OB率47.7% バンカー率10.7%,難易度11位/18ホール中 平均スコア5.12 平均パット数2.03 パーオン率36.5% フェアウェイ率64.3% OB率47.7% バンカー率10.7%,難易度11位/18ホール中 平均スコア5.12 平均パット数2.03 パーオン率36.5% フェアウェイ率64.3% OB率47.7% バンカー率10.7%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：145yd,Hdcp：13,PAR：4,Reg.：377yd,Hdcp：1,PAR：5,Reg.：485yd,Hdcp：7
5,ショートホール,ショートホール,ショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
6,難易度17位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率31.5% バンカー率1.0%,難易度17位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率31.5% バンカー率1.0%,難易度17位/18ホール中 平均スコア3.82 平均パット数1.99 パーオン率35.8% フェアウェイ率- OB率31.5% バンカー率1.0%,難易度9位/18ホール中 平均スコア5.35 平均パット数1.99 パーオン率20.8% フェアウェイ率57.8% OB率48.8% バンカー率1.0%,難易度9位/18ホール中 平均スコア5.35 平均パット数1.99 パーオン率20.8% フェアウェイ率57.8% OB率48.8% バンカー率1.0%,難易度9位/18ホール中 平均スコア5.35 平均パット数1.99 パーオン率20.8% フェアウェイ率57.8% OB率48.8% バンカー率1.0%,難易度2位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率14.8% フェアウェイ率59.3% OB率49.3% バンカー率11.7%,難易度2位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率14.8% フェアウェイ率59.3% OB率49.3% バンカー率11.7%,難易度2位/18ホール中 平均スコア6.66 平均パット数2.02 パーオン率14.8% フェアウェイ率59.3% OB率49.3% バンカー率11.7%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：342yd,Hdcp：17,PAR：3,Reg.：170yd,Hdcp：11,PAR：4,Reg.：384yd,Hdcp：5
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.5% フェアウェイ率68.8% OB率44.7% バンカー率5.0%,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.5% フェアウェイ率68.8% OB率44.7% バンカー率5.0%,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.5% フェアウェイ率68.8% OB率44.7% バンカー率5.0%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.15 パーオン率26.8% フェアウェイ率- OB率37.0% バンカー率2.0%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.15 パーオン率26.8% フェアウェイ率- OB率37.0% バンカー率2.0%,難易度15位/18ホール中 平均スコア4.14 平均パット数2.15 パーオン率26.8% フェアウェイ率- OB率37.0% バンカー率2.0%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.03 パーオン率13.8% フェアウェイ率66.0% OB率31.8% バンカー率3.0%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.03 パーオン率13.8% フェアウェイ率66.0% OB率31.8% バンカー率3.0%,難易度6位/18ホール中 平均スコア5.48 平均パット数2.03 パーオン率13.8% フェアウェイ率66.0% OB率31.8% バンカー率3.0%
