,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：354yd,Hdcp：12,PAR：3,Reg.：159yd,Hdcp：10,PAR：5,Reg.：505yd,Hdcp：16
1,打ち下ろしの左ドッグレッグミドルホール,打ち下ろしの左ドッグレッグミドルホール,打ち下ろしの左ドッグレッグミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール
2,難易度5位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率19.5% フェアウェイ率39.5% OB率20.8% バンカー率30.0%,難易度5位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率19.5% フェアウェイ率39.5% OB率20.8% バンカー率30.0%,難易度5位/18ホール中 平均スコア5.45 平均パット数2.07 パーオン率19.5% フェアウェイ率39.5% OB率20.8% バンカー率30.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.07 パーオン率32.3% フェアウェイ率- OB率23.3% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.07 パーオン率32.3% フェアウェイ率- OB率23.3% バンカー率3.0%,難易度16位/18ホール中 平均スコア3.95 平均パット数2.07 パーオン率32.3% フェアウェイ率- OB率23.3% バンカー率3.0%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.15 パーオン率25.0% フェアウェイ率48.3% OB率21.8% バンカー率13.0%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.15 パーオン率25.0% フェアウェイ率48.3% OB率21.8% バンカー率13.0%,難易度4位/18ホール中 平均スコア6.49 平均パット数2.15 パーオン率25.0% フェアウェイ率48.3% OB率21.8% バンカー率13.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：393yd,Hdcp：8,PAR：5,Reg.：502yd,Hdcp：2,PAR：4,Reg.：358yd,Hdcp：14
5,少々距離のある左ドッグレッグのミドルホール,少々距離のある左ドッグレッグのミドルホール,少々距離のある左ドッグレッグのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,グリーン右サイドは危険地帯　ご用心を,グリーン右サイドは危険地帯　ご用心を,グリーン右サイドは危険地帯　ご用心を
6,難易度8位/18ホール中 平均スコア5.4 平均パット数2.02 パーオン率18.3% フェアウェイ率55.0% OB率12.3% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.02 パーオン率18.3% フェアウェイ率55.0% OB率12.3% バンカー率22.5%,難易度8位/18ホール中 平均スコア5.4 平均パット数2.02 パーオン率18.3% フェアウェイ率55.0% OB率12.3% バンカー率22.5%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率21.3% フェアウェイ率42.0% OB率29.5% バンカー率16.5%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率21.3% フェアウェイ率42.0% OB率29.5% バンカー率16.5%,難易度9位/18ホール中 平均スコア6.31 平均パット数1.92 パーオン率21.3% フェアウェイ率42.0% OB率29.5% バンカー率16.5%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率23.8% フェアウェイ率53.8% OB率14.8% バンカー率17.3%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率23.8% フェアウェイ率53.8% OB率14.8% バンカー率17.3%,難易度12位/18ホール中 平均スコア5.21 平均パット数1.96 パーオン率23.8% フェアウェイ率53.8% OB率14.8% バンカー率17.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：343yd,Hdcp：4,PAR：3,Reg.：142yd,Hdcp：6,PAR：4,Reg.：337yd,Hdcp：18
9,軽い打ち下ろしのミドルホール,軽い打ち下ろしのミドルホール,軽い打ち下ろしのミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,軽い打ち上げのミドルホール,軽い打ち上げのミドルホール,軽い打ち上げのミドルホール
10,難易度10位/18ホール中 平均スコア5.28 平均パット数1.98 パーオン率21.5% フェアウェイ率48.5% OB率27.5% バンカー率14.3%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.98 パーオン率21.5% フェアウェイ率48.5% OB率27.5% バンカー率14.3%,難易度10位/18ホール中 平均スコア5.28 平均パット数1.98 パーオン率21.5% フェアウェイ率48.5% OB率27.5% バンカー率14.3%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率29.0% フェアウェイ率- OB率28.3% バンカー率6.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率29.0% フェアウェイ率- OB率28.3% バンカー率6.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数2.04 パーオン率29.0% フェアウェイ率- OB率28.3% バンカー率6.8%,難易度13位/18ホール中 平均スコア5.13 平均パット数1.96 パーオン率26.5% フェアウェイ率55.3% OB率12.3% バンカー率14.8%,難易度13位/18ホール中 平均スコア5.13 平均パット数1.96 パーオン率26.5% フェアウェイ率55.3% OB率12.3% バンカー率14.8%,難易度13位/18ホール中 平均スコア5.13 平均パット数1.96 パーオン率26.5% フェアウェイ率55.3% OB率12.3% バンカー率14.8%
