,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：513yd,Hdcp：,PAR：4,Reg.：396yd,Hdcp：,PAR：4,Reg.：394yd,Hdcp：
1,左は谷、右はＯＢ　１打目は左、２打目は右サイドに,左は谷、右はＯＢ　１打目は左、２打目は右サイドに,左は谷、右はＯＢ　１打目は左、２打目は右サイドに,１打目右は禁物、左の山裾を狙う。２打目は打下ろし,１打目右は禁物、左の山裾を狙う。２打目は打下ろし,１打目右は禁物、左の山裾を狙う。２打目は打下ろし,左ドッグレッグの難しいミドルホール,左ドッグレッグの難しいミドルホール,左ドッグレッグの難しいミドルホール
2,難易度2位/18ホール中 平均スコア6.45 平均パット数1.88 パーオン率17.3% フェアウェイ率54.0% OB率22.3% バンカー率44.3%,難易度2位/18ホール中 平均スコア6.45 平均パット数1.88 パーオン率17.3% フェアウェイ率54.0% OB率22.3% バンカー率44.3%,難易度2位/18ホール中 平均スコア6.45 平均パット数1.88 パーオン率17.3% フェアウェイ率54.0% OB率22.3% バンカー率44.3%,難易度11位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.5% フェアウェイ率59.3% OB率23.8% バンカー率23.8%,難易度11位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.5% フェアウェイ率59.3% OB率23.8% バンカー率23.8%,難易度11位/18ホール中 平均スコア5.3 平均パット数1.82 パーオン率14.5% フェアウェイ率59.3% OB率23.8% バンカー率23.8%,難易度3位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率10.3% フェアウェイ率55.8% OB率20.0% バンカー率32.3%,難易度3位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率10.3% フェアウェイ率55.8% OB率20.0% バンカー率32.3%,難易度3位/18ホール中 平均スコア5.43 平均パット数1.86 パーオン率10.3% フェアウェイ率55.8% OB率20.0% バンカー率32.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：337yd,Hdcp：,PAR：3,Reg.：164yd,Hdcp：,PAR：5,Reg.：501yd,Hdcp：
5,距離はないがあまり右に打つと２打目が打ちにくい,距離はないがあまり右に打つと２打目が打ちにくい,距離はないがあまり右に打つと２打目が打ちにくい,打ち下ろしのショートホール,打ち下ろしのショートホール,打ち下ろしのショートホール,フェアウェイは広い。１、２打目ともやや左サイドに,フェアウェイは広い。１、２打目ともやや左サイドに,フェアウェイは広い。１、２打目ともやや左サイドに
6,難易度12位/18ホール中 平均スコア5.31 平均パット数1.91 パーオン率19.8% フェアウェイ率51.0% OB率13.8% バンカー率41.5%,難易度12位/18ホール中 平均スコア5.31 平均パット数1.91 パーオン率19.8% フェアウェイ率51.0% OB率13.8% バンカー率41.5%,難易度12位/18ホール中 平均スコア5.31 平均パット数1.91 パーオン率19.8% フェアウェイ率51.0% OB率13.8% バンカー率41.5%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.78 パーオン率13.0% フェアウェイ率- OB率18.5% バンカー率35.0%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.78 パーオン率13.0% フェアウェイ率- OB率18.5% バンカー率35.0%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.78 パーオン率13.0% フェアウェイ率- OB率18.5% バンカー率35.0%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.88 パーオン率22.5% フェアウェイ率48.3% OB率22.8% バンカー率40.8%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.88 パーオン率22.5% フェアウェイ率48.3% OB率22.8% バンカー率40.8%,難易度9位/18ホール中 平均スコア6.36 平均パット数1.88 パーオン率22.5% フェアウェイ率48.3% OB率22.8% バンカー率40.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：158yd,Hdcp：,PAR：4,Reg.：393yd,Hdcp：,PAR：4,Reg.：393yd,Hdcp：
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,１打目左を。第２打は大きめのクラブを使用,１打目左を。第２打は大きめのクラブを使用,１打目左を。第２打は大きめのクラブを使用,第１打は左右に行くと樹木　グリーン手前にバンカー,第１打は左右に行くと樹木　グリーン手前にバンカー,第１打は左右に行くと樹木　グリーン手前にバンカー
