,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：376yd,Hdcp：7,PAR：4,Reg.：353yd,Hdcp：15,PAR：5,Reg.：502yd,Hdcp：3
1,ストレートなミドルホール,ストレートなミドルホール,ストレートなミドルホール,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール,右ドッグレッグの短いミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
2,難易度6位/18ホール中 平均スコア5.48 平均パット数2 パーオン率11.8% フェアウェイ率34.0% OB率- バンカー率58.3%,難易度6位/18ホール中 平均スコア5.48 平均パット数2 パーオン率11.8% フェアウェイ率34.0% OB率- バンカー率58.3%,難易度6位/18ホール中 平均スコア5.48 平均パット数2 パーオン率11.8% フェアウェイ率34.0% OB率- バンカー率58.3%,難易度14位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.3% フェアウェイ率51.3% OB率5.5% バンカー率38.3%,難易度14位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.3% フェアウェイ率51.3% OB率5.5% バンカー率38.3%,難易度14位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.3% フェアウェイ率51.3% OB率5.5% バンカー率38.3%,難易度8位/18ホール中 平均スコア6.6 平均パット数2.08 パーオン率25.0% フェアウェイ率64.8% OB率31.7% バンカー率23.0%,難易度8位/18ホール中 平均スコア6.6 平均パット数2.08 パーオン率25.0% フェアウェイ率64.8% OB率31.7% バンカー率23.0%,難易度8位/18ホール中 平均スコア6.6 平均パット数2.08 パーオン率25.0% フェアウェイ率64.8% OB率31.7% バンカー率23.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：419yd,Hdcp：1,PAR：3,Reg.：155yd,Hdcp：17,PAR：4,Reg.：290yd,Hdcp：9
5,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,谷越えのショートホール,谷越えのショートホール,谷越えのショートホール,短めミドルホール,短めミドルホール,短めミドルホール
6,難易度1位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率9.3% フェアウェイ率50.8% OB率40.5% バンカー率36.0%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率9.3% フェアウェイ率50.8% OB率40.5% バンカー率36.0%,難易度1位/18ホール中 平均スコア5.65 平均パット数1.97 パーオン率9.3% フェアウェイ率50.8% OB率40.5% バンカー率36.0%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.89 パーオン率26.0% フェアウェイ率- OB率19.0% バンカー率50.3%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.89 パーオン率26.0% フェアウェイ率- OB率19.0% バンカー率50.3%,難易度17位/18ホール中 平均スコア3.97 平均パット数1.89 パーオン率26.0% フェアウェイ率- OB率19.0% バンカー率50.3%,難易度12位/18ホール中 平均スコア5.32 平均パット数1.93 パーオン率22.8% フェアウェイ率38.8% OB率13.0% バンカー率51.0%,難易度12位/18ホール中 平均スコア5.32 平均パット数1.93 パーオン率22.8% フェアウェイ率38.8% OB率13.0% バンカー率51.0%,難易度12位/18ホール中 平均スコア5.32 平均パット数1.93 パーオン率22.8% フェアウェイ率38.8% OB率13.0% バンカー率51.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：548yd,Hdcp：5,PAR：3,Reg.：161yd,Hdcp：13,PAR：4,Reg.：372yd,Hdcp：11
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池に隣接するショートホール,池に隣接するショートホール,池に隣接するショートホール,緩やかに左ドッグレッグするミドルホール,緩やかに左ドッグレッグするミドルホール,緩やかに左ドッグレッグするミドルホール
10,難易度11位/18ホール中 平均スコア6.43 平均パット数1.97 パーオン率23.8% フェアウェイ率45.0% OB率29.5% バンカー率29.0%,難易度11位/18ホール中 平均スコア6.43 平均パット数1.97 パーオン率23.8% フェアウェイ率45.0% OB率29.5% バンカー率29.0%,難易度11位/18ホール中 平均スコア6.43 平均パット数1.97 パーオン率23.8% フェアウェイ率45.0% OB率29.5% バンカー率29.0%,難易度13位/18ホール中 平均スコア4.16 平均パット数2.03 パーオン率28.0% フェアウェイ率- OB率18.0% バンカー率16.0%,難易度13位/18ホール中 平均スコア4.16 平均パット数2.03 パーオン率28.0% フェアウェイ率- OB率18.0% バンカー率16.0%,難易度13位/18ホール中 平均スコア4.16 平均パット数2.03 パーオン率28.0% フェアウェイ率- OB率18.0% バンカー率16.0%,難易度10位/18ホール中 平均スコア5.34 平均パット数2 パーオン率18.5% フェアウェイ率57.5% OB率14.0% バンカー率36.7%,難易度10位/18ホール中 平均スコア5.34 平均パット数2 パーオン率18.5% フェアウェイ率57.5% OB率14.0% バンカー率36.7%,難易度10位/18ホール中 平均スコア5.34 平均パット数2 パーオン率18.5% フェアウェイ率57.5% OB率14.0% バンカー率36.7%
