,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：315yd,Hdcp：9,PAR：3,Reg.：128yd,Hdcp：15,PAR：4,Reg.：355yd,Hdcp：3
1,一打目はフェアウェイ正面の山の方向が狙い目,一打目はフェアウェイ正面の山の方向が狙い目,一打目はフェアウェイ正面の山の方向が狙い目,グリーンまわりはグラスバンカーでガードされている,グリーンまわりはグラスバンカーでガードされている,グリーンまわりはグラスバンカーでガードされている,グリーン左サイドの崖はＯＢが接近している,グリーン左サイドの崖はＯＢが接近している,グリーン左サイドの崖はＯＢが接近している
2,難易度13位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.0% フェアウェイ率57.3% OB率13.5% バンカー率16.0%,難易度13位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.0% フェアウェイ率57.3% OB率13.5% バンカー率16.0%,難易度13位/18ホール中 平均スコア5.12 平均パット数1.96 パーオン率27.0% フェアウェイ率57.3% OB率13.5% バンカー率16.0%,難易度17位/18ホール中 平均スコア3.73 平均パット数2 パーオン率42.8% フェアウェイ率- OB率3.5% バンカー率5.3%,難易度17位/18ホール中 平均スコア3.73 平均パット数2 パーオン率42.8% フェアウェイ率- OB率3.5% バンカー率5.3%,難易度17位/18ホール中 平均スコア3.73 平均パット数2 パーオン率42.8% フェアウェイ率- OB率3.5% バンカー率5.3%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率19.0% フェアウェイ率49.8% OB率18.0% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率19.0% フェアウェイ率49.8% OB率18.0% バンカー率15.8%,難易度8位/18ホール中 平均スコア5.5 平均パット数2.05 パーオン率19.0% フェアウェイ率49.8% OB率18.0% バンカー率15.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：154yd,Hdcp：13,PAR：4,Reg.：365yd,Hdcp：7,PAR：5,Reg.：513yd,Hdcp：1
5,池越えで打ち下ろしだが距離のあるショートホール,池越えで打ち下ろしだが距離のあるショートホール,池越えで打ち下ろしだが距離のあるショートホール,一見簡単そうに見える真っすぐなミドルホール,一見簡単そうに見える真っすぐなミドルホール,一見簡単そうに見える真っすぐなミドルホール,池越えとなる右ドッグレッグのロングホール,池越えとなる右ドッグレッグのロングホール,池越えとなる右ドッグレッグのロングホール
6,難易度14位/18ホール中 平均スコア4.16 平均パット数2.15 パーオン率35.3% フェアウェイ率- OB率12.0% バンカー率1.3%,難易度14位/18ホール中 平均スコア4.16 平均パット数2.15 パーオン率35.3% フェアウェイ率- OB率12.0% バンカー率1.3%,難易度14位/18ホール中 平均スコア4.16 平均パット数2.15 パーオン率35.3% フェアウェイ率- OB率12.0% バンカー率1.3%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率18.3% フェアウェイ率48.0% OB率33.3% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率18.3% フェアウェイ率48.0% OB率33.3% バンカー率16.0%,難易度9位/18ホール中 平均スコア5.48 平均パット数2.02 パーオン率18.3% フェアウェイ率48.0% OB率33.3% バンカー率16.0%,難易度6位/18ホール中 平均スコア6.52 平均パット数2.15 パーオン率24.8% フェアウェイ率40.5% OB率7.0% バンカー率18.8%,難易度6位/18ホール中 平均スコア6.52 平均パット数2.15 パーオン率24.8% フェアウェイ率40.5% OB率7.0% バンカー率18.8%,難易度6位/18ホール中 平均スコア6.52 平均パット数2.15 パーオン率24.8% フェアウェイ率40.5% OB率7.0% バンカー率18.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：502yd,Hdcp：11,PAR：3,Reg.：109yd,Hdcp：17,PAR：5,Reg.：458yd,Hdcp：5
9,ティショットが打ち下ろしの真っ直ぐなロングホール,ティショットが打ち下ろしの真っ直ぐなロングホール,ティショットが打ち下ろしの真っ直ぐなロングホール,バンカー越えのショート　バンカーは当クラブ最大,バンカー越えのショート　バンカーは当クラブ最大,バンカー越えのショート　バンカーは当クラブ最大,左ドッグレッグのグリーンが池に囲まれ美しいホール,左ドッグレッグのグリーンが池に囲まれ美しいホール,左ドッグレッグのグリーンが池に囲まれ美しいホール
