,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：464yd,Hdcp：9,PAR：3,Reg.：148yd,Hdcp：3,PAR：4,Reg.：370yd,Hdcp：15
1,セカンドからやや右ドッグレッグのロングホール,セカンドからやや右ドッグレッグのロングホール,セカンドからやや右ドッグレッグのロングホール,ショートホール（ＴＧはＬ（左）用でマーク）,ショートホール（ＴＧはＬ（左）用でマーク）,ショートホール（ＴＧはＬ（左）用でマーク）,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度10位/18ホール中 平均スコア6.31 平均パット数1.91 パーオン率24.5% フェアウェイ率45.0% OB率13.8% バンカー率27.0%,難易度10位/18ホール中 平均スコア6.31 平均パット数1.91 パーオン率24.5% フェアウェイ率45.0% OB率13.8% バンカー率27.0%,難易度10位/18ホール中 平均スコア6.31 平均パット数1.91 パーオン率24.5% フェアウェイ率45.0% OB率13.8% バンカー率27.0%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.86 パーオン率20.0% フェアウェイ率- OB率1.0% バンカー率11.8%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.86 パーオン率20.0% フェアウェイ率- OB率1.0% バンカー率11.8%,難易度17位/18ホール中 平均スコア3.96 平均パット数1.86 パーオン率20.0% フェアウェイ率- OB率1.0% バンカー率11.8%,難易度4位/18ホール中 平均スコア5.57 平均パット数1.88 パーオン率5.8% フェアウェイ率48.8% OB率11.3% バンカー率15.3%,難易度4位/18ホール中 平均スコア5.57 平均パット数1.88 パーオン率5.8% フェアウェイ率48.8% OB率11.3% バンカー率15.3%,難易度4位/18ホール中 平均スコア5.57 平均パット数1.88 パーオン率5.8% フェアウェイ率48.8% OB率11.3% バンカー率15.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：372yd,Hdcp：1,PAR：4,Reg.：378yd,Hdcp：13,PAR：4,Reg.：348yd,Hdcp：7
5,１打目の狙いはフェアウエーの左サイド,１打目の狙いはフェアウエーの左サイド,１打目の狙いはフェアウエーの左サイド,バンカーや障害物がないので思い切った１打目を,バンカーや障害物がないので思い切った１打目を,バンカーや障害物がないので思い切った１打目を,左ドッグレッグのミドルホール　右サイドの木狙い,左ドッグレッグのミドルホール　右サイドの木狙い,左ドッグレッグのミドルホール　右サイドの木狙い
6,難易度5位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率57.0% OB率12.0% バンカー率19.5%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率57.0% OB率12.0% バンカー率19.5%,難易度5位/18ホール中 平均スコア5.42 平均パット数1.93 パーオン率14.0% フェアウェイ率57.0% OB率12.0% バンカー率19.5%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.84 パーオン率11.8% フェアウェイ率46.3% OB率7.5% バンカー率2.7%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.84 パーオン率11.8% フェアウェイ率46.3% OB率7.5% バンカー率2.7%,難易度11位/18ホール中 平均スコア5.33 平均パット数1.84 パーオン率11.8% フェアウェイ率46.3% OB率7.5% バンカー率2.7%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.89 パーオン率23.8% フェアウェイ率47.3% OB率6.3% バンカー率1.8%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.89 パーオン率23.8% フェアウェイ率47.3% OB率6.3% バンカー率1.8%,難易度15位/18ホール中 平均スコア5.12 平均パット数1.89 パーオン率23.8% フェアウェイ率47.3% OB率6.3% バンカー率1.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：474yd,Hdcp：11,PAR：3,Reg.：158yd,Hdcp：5,PAR：4,Reg.：353yd,Hdcp：17
9,やや左ドッグレッグのロング　右サイドの木狙い,やや左ドッグレッグのロング　右サイドの木狙い,やや左ドッグレッグのロング　右サイドの木狙い,右のガケに注意したいショートホール,右のガケに注意したいショートホール,右のガケに注意したいショートホール,ティーショットはセンターからやや右目狙い,ティーショットはセンターからやや右目狙い,ティーショットはセンターからやや右目狙い
10,難易度8位/18ホール中 平均スコア6.35 平均パット数1.9 パーオン率20.0% フェアウェイ率58.5% OB率9.5% バンカー率27.3%,難易度8位/18ホール中 平均スコア6.35 平均パット数1.9 パーオン率20.0% フェアウェイ率58.5% OB率9.5% バンカー率27.3%,難易度8位/18ホール中 平均スコア6.35 平均パット数1.9 パーオン率20.0% フェアウェイ率58.5% OB率9.5% バンカー率27.3%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.83 パーオン率21.8% フェアウェイ率- OB率6.5% バンカー率23.3%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.83 パーオン率21.8% フェアウェイ率- OB率6.5% バンカー率23.3%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.83 パーオン率21.8% フェアウェイ率- OB率6.5% バンカー率23.3%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.86 パーオン率13.3% フェアウェイ率48.5% OB率9.5% バンカー率17.8%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.86 パーオン率13.3% フェアウェイ率48.5% OB率9.5% バンカー率17.8%,難易度9位/18ホール中 平均スコア5.39 平均パット数1.86 パーオン率13.3% フェアウェイ率48.5% OB率9.5% バンカー率17.8%
