,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：546yd,Hdcp：4,PAR：4,Reg.：352yd,Hdcp：10,PAR：3,Reg.：156yd,Hdcp：16
1,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,ショートホール,ショートホール,ショートホール
2,難易度6位/18ホール中 平均スコア6.41 平均パット数1.98 パーオン率20.0% フェアウェイ率46.8% OB率27.5% バンカー率20.3%,難易度6位/18ホール中 平均スコア6.41 平均パット数1.98 パーオン率20.0% フェアウェイ率46.8% OB率27.5% バンカー率20.3%,難易度6位/18ホール中 平均スコア6.41 平均パット数1.98 パーオン率20.0% フェアウェイ率46.8% OB率27.5% バンカー率20.3%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.11 パーオン率28.8% フェアウェイ率67.5% OB率30.3% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.11 パーオン率28.8% フェアウェイ率67.5% OB率30.3% バンカー率11.8%,難易度10位/18ホール中 平均スコア5.3 平均パット数2.11 パーオン率28.8% フェアウェイ率67.5% OB率30.3% バンカー率11.8%,難易度18位/18ホール中 平均スコア3.99 平均パット数1.92 パーオン率16.5% フェアウェイ率- OB率24.8% バンカー率3.0%,難易度18位/18ホール中 平均スコア3.99 平均パット数1.92 パーオン率16.5% フェアウェイ率- OB率24.8% バンカー率3.0%,難易度18位/18ホール中 平均スコア3.99 平均パット数1.92 パーオン率16.5% フェアウェイ率- OB率24.8% バンカー率3.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：381yd,Hdcp：2,PAR：4,Reg.：413yd,Hdcp：8,PAR：4,Reg.：303yd,Hdcp：14
5,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,ほぼ真っ直ぐなミドルホール,短いミドルホール,短いミドルホール,短いミドルホール
6,難易度1位/18ホール中 平均スコア5.74 平均パット数1.91 パーオン率8.3% フェアウェイ率45.3% OB率36.0% バンカー率26.8%,難易度1位/18ホール中 平均スコア5.74 平均パット数1.91 パーオン率8.3% フェアウェイ率45.3% OB率36.0% バンカー率26.8%,難易度1位/18ホール中 平均スコア5.74 平均パット数1.91 パーオン率8.3% フェアウェイ率45.3% OB率36.0% バンカー率26.8%,難易度3位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.8% フェアウェイ率57.5% OB率39.3% バンカー率14.0%,難易度3位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.8% フェアウェイ率57.5% OB率39.3% バンカー率14.0%,難易度3位/18ホール中 平均スコア5.56 平均パット数1.96 パーオン率11.8% フェアウェイ率57.5% OB率39.3% バンカー率14.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.12 パーオン率13.5% フェアウェイ率54.5% OB率48.0% バンカー率19.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.12 パーオン率13.5% フェアウェイ率54.5% OB率48.0% バンカー率19.0%,難易度2位/18ホール中 平均スコア5.64 平均パット数2.12 パーオン率13.5% フェアウェイ率54.5% OB率48.0% バンカー率19.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：5,Reg.：570yd,Hdcp：6,PAR：3,Reg.：133yd,Hdcp：12,PAR：4,Reg.：291yd,Hdcp：18
9,左ドッグレッグのロングホール　奥がＬ(左)グリーン,左ドッグレッグのロングホール　奥がＬ(左)グリーン,左ドッグレッグのロングホール　奥がＬ(左)グリーン,ショートホール,ショートホール,ショートホール,短いミドルホール,短いミドルホール,短いミドルホール
10,難易度5位/18ホール中 平均スコア6.47 平均パット数2.09 パーオン率27.0% フェアウェイ率55.0% OB率39.5% バンカー率9.8%,難易度5位/18ホール中 平均スコア6.47 平均パット数2.09 パーオン率27.0% フェアウェイ率55.0% OB率39.5% バンカー率9.8%,難易度5位/18ホール中 平均スコア6.47 平均パット数2.09 パーオン率27.0% フェアウェイ率55.0% OB率39.5% バンカー率9.8%,難易度17位/18ホール中 平均スコア4.08 平均パット数2.35 パーオン率44.0% フェアウェイ率- OB率17.0% バンカー率-,難易度17位/18ホール中 平均スコア4.08 平均パット数2.35 パーオン率44.0% フェアウェイ率- OB率17.0% バンカー率-,難易度17位/18ホール中 平均スコア4.08 平均パット数2.35 パーオン率44.0% フェアウェイ率- OB率17.0% バンカー率-,難易度16位/18ホール中 平均スコア5.12 平均パット数2.07 パーオン率33.8% フェアウェイ率53.0% OB率14.0% バンカー率23.0%,難易度16位/18ホール中 平均スコア5.12 平均パット数2.07 パーオン率33.8% フェアウェイ率53.0% OB率14.0% バンカー率23.0%,難易度16位/18ホール中 平均スコア5.12 平均パット数2.07 パーオン率33.8% フェアウェイ率53.0% OB率14.0% バンカー率23.0%
