,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：472yd,Hdcp：10,PAR：4,Reg.：270yd,Hdcp：16,PAR：5,Reg.：425yd,Hdcp：4
1,グリーンまで上りが続くロングホール,グリーンまで上りが続くロングホール,グリーンまで上りが続くロングホール,打ち下ろしの短いミドルホール,打ち下ろしの短いミドルホール,打ち下ろしの短いミドルホール,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン
2,難易度1位/18ホール中 平均スコア6.75 平均パット数1.98 パーオン率14.8% フェアウェイ率55.8% OB率22.8% バンカー率22.3%,難易度1位/18ホール中 平均スコア6.75 平均パット数1.98 パーオン率14.8% フェアウェイ率55.8% OB率22.8% バンカー率22.3%,難易度1位/18ホール中 平均スコア6.75 平均パット数1.98 パーオン率14.8% フェアウェイ率55.8% OB率22.8% バンカー率22.3%,難易度16位/18ホール中 平均スコア5.12 平均パット数1.88 パーオン率26.3% フェアウェイ率56.0% OB率15.0% バンカー率37.3%,難易度16位/18ホール中 平均スコア5.12 平均パット数1.88 パーオン率26.3% フェアウェイ率56.0% OB率15.0% バンカー率37.3%,難易度16位/18ホール中 平均スコア5.12 平均パット数1.88 パーオン率26.3% フェアウェイ率56.0% OB率15.0% バンカー率37.3%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.91 パーオン率13.8% フェアウェイ率61.0% OB率18.7% バンカー率2.3%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.91 パーオン率13.8% フェアウェイ率61.0% OB率18.7% バンカー率2.3%,難易度4位/18ホール中 平均スコア6.53 平均パット数1.91 パーオン率13.8% フェアウェイ率61.0% OB率18.7% バンカー率2.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：157yd,Hdcp：14,PAR：4,Reg.：441yd,Hdcp：2,PAR：4,Reg.：304yd,Hdcp：8
5,池越えのショートホール　攻略のポイントは風,池越えのショートホール　攻略のポイントは風,池越えのショートホール　攻略のポイントは風,ティショットは一本檜方向へ　グリーン奥はＯＢ,ティショットは一本檜方向へ　グリーン奥はＯＢ,ティショットは一本檜方向へ　グリーン奥はＯＢ,短い左ドッグレッグのミドル　奥がＬ（左）グリーン,短い左ドッグレッグのミドル　奥がＬ（左）グリーン,短い左ドッグレッグのミドル　奥がＬ（左）グリーン
6,難易度15位/18ホール中 平均スコア4.26 平均パット数1.85 パーオン率13.3% フェアウェイ率- OB率29.8% バンカー率24.3%,難易度15位/18ホール中 平均スコア4.26 平均パット数1.85 パーオン率13.3% フェアウェイ率- OB率29.8% バンカー率24.3%,難易度15位/18ホール中 平均スコア4.26 平均パット数1.85 パーオン率13.3% フェアウェイ率- OB率29.8% バンカー率24.3%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.88 パーオン率20.0% フェアウェイ率55.0% OB率30.8% バンカー率26.0%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.88 パーオン率20.0% フェアウェイ率55.0% OB率30.8% バンカー率26.0%,難易度9位/18ホール中 平均スコア5.32 平均パット数1.88 パーオン率20.0% フェアウェイ率55.0% OB率30.8% バンカー率26.0%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率14.0% フェアウェイ率65.3% OB率35.0% バンカー率1.3%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率14.0% フェアウェイ率65.3% OB率35.0% バンカー率1.3%,難易度6位/18ホール中 平均スコア5.41 平均パット数1.88 パーオン率14.0% フェアウェイ率65.3% OB率35.0% バンカー率1.3%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：260yd,Hdcp：12,PAR：3,Reg.：147yd,Hdcp：18,PAR：4,Reg.：421yd,Hdcp：6
9,距離の短いミドルホール,距離の短いミドルホール,距離の短いミドルホール,ショートホール　グリーンオーバーは絶対禁物,ショートホール　グリーンオーバーは絶対禁物,ショートホール　グリーンオーバーは絶対禁物,左ドッグレッグの打ち下ろしホール,左ドッグレッグの打ち下ろしホール,左ドッグレッグの打ち下ろしホール
10,難易度18位/18ホール中 平均スコア4.97 平均パット数1.88 パーオン率29.8% フェアウェイ率60.8% OB率16.0% バンカー率2.0%,難易度18位/18ホール中 平均スコア4.97 平均パット数1.88 パーオン率29.8% フェアウェイ率60.8% OB率16.0% バンカー率2.0%,難易度18位/18ホール中 平均スコア4.97 平均パット数1.88 パーオン率29.8% フェアウェイ率60.8% OB率16.0% バンカー率2.0%,難易度17位/18ホール中 平均スコア4.02 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率6.0% バンカー率1.0%,難易度17位/18ホール中 平均スコア4.02 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率6.0% バンカー率1.0%,難易度17位/18ホール中 平均スコア4.02 平均パット数1.99 パーオン率25.8% フェアウェイ率- OB率6.0% バンカー率1.0%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.85 パーオン率17.8% フェアウェイ率52.3% OB率34.0% バンカー率2.0%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.85 パーオン率17.8% フェアウェイ率52.3% OB率34.0% バンカー率2.0%,難易度11位/18ホール中 平均スコア5.29 平均パット数1.85 パーオン率17.8% フェアウェイ率52.3% OB率34.0% バンカー率2.0%
