,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：384yd,Hdcp：12,PAR：5,Reg.：556yd,Hdcp：6,PAR：3,Reg.：191yd,Hdcp：16
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,豪快な打ち下ろしのショートホール,豪快な打ち下ろしのショートホール,豪快な打ち下ろしのショートホール
2,難易度3位/18ホール中 平均スコア5.57 平均パット数2.09 パーオン率11.3% フェアウェイ率52.3% OB率5.0% バンカー率1.7%,難易度3位/18ホール中 平均スコア5.57 平均パット数2.09 パーオン率11.3% フェアウェイ率52.3% OB率5.0% バンカー率1.7%,難易度3位/18ホール中 平均スコア5.57 平均パット数2.09 パーオン率11.3% フェアウェイ率52.3% OB率5.0% バンカー率1.7%,難易度1位/18ホール中 平均スコア6.81 平均パット数2.19 パーオン率16.0% フェアウェイ率42.8% OB率20.3% バンカー率7.8%,難易度1位/18ホール中 平均スコア6.81 平均パット数2.19 パーオン率16.0% フェアウェイ率42.8% OB率20.3% バンカー率7.8%,難易度1位/18ホール中 平均スコア6.81 平均パット数2.19 パーオン率16.0% フェアウェイ率42.8% OB率20.3% バンカー率7.8%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率4.8% バンカー率21.3%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率4.8% バンカー率21.3%,難易度17位/18ホール中 平均スコア3.9 平均パット数2.05 パーオン率40.0% フェアウェイ率- OB率4.8% バンカー率21.3%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：4,Reg.：320yd,Hdcp：2,PAR：5,Reg.：478yd,Hdcp：8,PAR：3,Reg.：118yd,Hdcp：18
5,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度11位/18ホール中 平均スコア5.27 平均パット数2.03 パーオン率23.3% フェアウェイ率59.3% OB率6.5% バンカー率10.0%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.03 パーオン率23.3% フェアウェイ率59.3% OB率6.5% バンカー率10.0%,難易度11位/18ホール中 平均スコア5.27 平均パット数2.03 パーオン率23.3% フェアウェイ率59.3% OB率6.5% バンカー率10.0%,難易度12位/18ホール中 平均スコア6.16 平均パット数2.05 パーオン率34.3% フェアウェイ率53.0% OB率10.0% バンカー率26.5%,難易度12位/18ホール中 平均スコア6.16 平均パット数2.05 パーオン率34.3% フェアウェイ率53.0% OB率10.0% バンカー率26.5%,難易度12位/18ホール中 平均スコア6.16 平均パット数2.05 パーオン率34.3% フェアウェイ率53.0% OB率10.0% バンカー率26.5%,難易度18位/18ホール中 平均スコア3.82 平均パット数2.11 パーオン率50.0% フェアウェイ率- OB率3.7% バンカー率6.0%,難易度18位/18ホール中 平均スコア3.82 平均パット数2.11 パーオン率50.0% フェアウェイ率- OB率3.7% バンカー率6.0%,難易度18位/18ホール中 平均スコア3.82 平均パット数2.11 パーオン率50.0% フェアウェイ率- OB率3.7% バンカー率6.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：386yd,Hdcp：4,PAR：4,Reg.：391yd,Hdcp：10,PAR：4,Reg.：383yd,Hdcp：14
9,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
10,難易度5位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.5% フェアウェイ率45.3% OB率17.0% バンカー率19.3%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.5% フェアウェイ率45.3% OB率17.0% バンカー率19.3%,難易度5位/18ホール中 平均スコア5.5 平均パット数2.09 パーオン率17.5% フェアウェイ率45.3% OB率17.0% バンカー率19.3%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率19.5% フェアウェイ率48.8% OB率6.3% バンカー率18.8%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率19.5% フェアウェイ率48.8% OB率6.3% バンカー率18.8%,難易度9位/18ホール中 平均スコア5.3 平均パット数2.04 パーオン率19.5% フェアウェイ率48.8% OB率6.3% バンカー率18.8%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率14.0% フェアウェイ率51.5% OB率4.3% バンカー率16.5%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率14.0% フェアウェイ率51.5% OB率4.3% バンカー率16.5%,難易度7位/18ホール中 平均スコア5.42 平均パット数2.01 パーオン率14.0% フェアウェイ率51.5% OB率4.3% バンカー率16.5%
