,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：505yd,Hdcp：1,PAR：4,Reg.：315yd,Hdcp：3,PAR：3,Reg.：105yd,Hdcp：9
1,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン,Ｓ字のロングホール　手前がＬ（左）グリーン,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,左ドッグレッグのミドルホール　奥がＬ(左)グリーン,打ち上げの短いショートホール,打ち上げの短いショートホール,打ち上げの短いショートホール
2,難易度1位/9ホール中 平均スコア6.75 平均パット数2.19 パーオン率21.0% フェアウェイ率49.5% OB率39.0% バンカー率21.0%,難易度1位/9ホール中 平均スコア6.75 平均パット数2.19 パーオン率21.0% フェアウェイ率49.5% OB率39.0% バンカー率21.0%,難易度1位/9ホール中 平均スコア6.75 平均パット数2.19 パーオン率21.0% フェアウェイ率49.5% OB率39.0% バンカー率21.0%,難易度5位/9ホール中 平均スコア5.28 平均パット数1.77 パーオン率12.5% フェアウェイ率61.0% OB率32.0% バンカー率6.0%,難易度5位/9ホール中 平均スコア5.28 平均パット数1.77 パーオン率12.5% フェアウェイ率61.0% OB率32.0% バンカー率6.0%,難易度5位/9ホール中 平均スコア5.28 平均パット数1.77 パーオン率12.5% フェアウェイ率61.0% OB率32.0% バンカー率6.0%,難易度9位/9ホール中 平均スコア3.97 平均パット数2.15 パーオン率38.8% フェアウェイ率- OB率12.3% バンカー率14.0%,難易度9位/9ホール中 平均スコア3.97 平均パット数2.15 パーオン率38.8% フェアウェイ率- OB率12.3% バンカー率14.0%,難易度9位/9ホール中 平均スコア3.97 平均パット数2.15 パーオン率38.8% フェアウェイ率- OB率12.3% バンカー率14.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：472yd,Hdcp：5,PAR：4,Reg.：350yd,Hdcp：7,PAR：3,Reg.：134yd,Hdcp：8
5,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,ティーショットは左サイド狙いで豪快な一発を,ティーショットは左サイド狙いで豪快な一発を,ティーショットは左サイド狙いで豪快な一発を,打ち上げのショート　手前がＬ（左）グリーン,打ち上げのショート　手前がＬ（左）グリーン,打ち上げのショート　手前がＬ（左）グリーン
6,難易度7位/9ホール中 平均スコア6.05 平均パット数1.97 パーオン率35.8% フェアウェイ率55.8% OB率42.0% バンカー率16.7%,難易度7位/9ホール中 平均スコア6.05 平均パット数1.97 パーオン率35.8% フェアウェイ率55.8% OB率42.0% バンカー率16.7%,難易度7位/9ホール中 平均スコア6.05 平均パット数1.97 パーオン率35.8% フェアウェイ率55.8% OB率42.0% バンカー率16.7%,難易度6位/9ホール中 平均スコア5.11 平均パット数1.95 パーオン率31.3% フェアウェイ率62.5% OB率42.0% バンカー率15.0%,難易度6位/9ホール中 平均スコア5.11 平均パット数1.95 パーオン率31.3% フェアウェイ率62.5% OB率42.0% バンカー率15.0%,難易度6位/9ホール中 平均スコア5.11 平均パット数1.95 パーオン率31.3% フェアウェイ率62.5% OB率42.0% バンカー率15.0%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.19 パーオン率29.0% フェアウェイ率- OB率22.3% バンカー率10.8%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.19 パーオン率29.0% フェアウェイ率- OB率22.3% バンカー率10.8%,難易度8位/9ホール中 平均スコア4.14 平均パット数2.19 パーオン率29.0% フェアウェイ率- OB率22.3% バンカー率10.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：389yd,Hdcp：6,PAR：4,Reg.：409yd,Hdcp：2,PAR：4,Reg.：371yd,Hdcp：4
9,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール,左ドッグレッグの長いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
10,難易度4位/9ホール中 平均スコア5.36 平均パット数2.15 パーオン率31.0% フェアウェイ率67.3% OB率41.5% バンカー率17.0%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.15 パーオン率31.0% フェアウェイ率67.3% OB率41.5% バンカー率17.0%,難易度4位/9ホール中 平均スコア5.36 平均パット数2.15 パーオン率31.0% フェアウェイ率67.3% OB率41.5% バンカー率17.0%,難易度2位/9ホール中 平均スコア5.82 平均パット数2.05 パーオン率8.0% フェアウェイ率51.8% OB率47.3% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.82 平均パット数2.05 パーオン率8.0% フェアウェイ率51.8% OB率47.3% バンカー率29.8%,難易度2位/9ホール中 平均スコア5.82 平均パット数2.05 パーオン率8.0% フェアウェイ率51.8% OB率47.3% バンカー率29.8%,難易度3位/9ホール中 平均スコア5.51 平均パット数2.08 パーオン率18.5% フェアウェイ率52.3% OB率35.3% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.51 平均パット数2.08 パーオン率18.5% フェアウェイ率52.3% OB率35.3% バンカー率16.0%,難易度3位/9ホール中 平均スコア5.51 平均パット数2.08 パーオン率18.5% フェアウェイ率52.3% OB率35.3% バンカー率16.0%
