,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
唐津ゴルフ倶楽部,アウト,ベント,バック (青),2021.06.03,イン,ベント,バック (青),2021.06.03,72,6710,71.2,139
,アウト,ベント,レギュラー (白),2021.06.03,イン,ベント,レギュラー (白),2021.06.03,72,6413,69.9,135
,アウト,ベント,フロント1 (金),2021.06.03,イン,ベント,フロント1 (金),2021.06.03,72,6032,68.2,130
佐賀カントリー倶楽部,アウト,ベント,バック,2008.02.28,イン,ベント,バック,2008.02.28,72,6748,72.8,133
,アウト,ベント,レギュラー,2008.02.28,イン,ベント,レギュラー,2008.02.28,72,6333,70.3,126
,アウト,ベント,フロント1,2008.02.28,イン,ベント,フロント1,2008.02.28,72,6031,69.1,122
佐賀クラシックゴルフ倶楽部,アウト,ベント,バック,2013.03.28,イン,ベント,バック,2013.03.28,72,6879,72.7,129
,アウト,ベント,レギュラー,2013.03.28,イン,ベント,レギュラー,2013.03.28,72,6459,70.8,123
,アウト,ベント,フロント,2013.03.28,イン,ベント,フロント,2013.03.28,72,6082,69.1,119
,アウト,ベント,ゴールド,2013.03.28,イン,ベント,ゴールド,2013.03.28,72,5494,66.3,114
佐賀ロイヤルゴルフクラブ,アウト,ベント(メイン),フルバック,2017.10.27,イン,ベント(メイン),フルバック,2017.10.27,72,6920,73.3,136
,アウト,ベント(メイン),バック,2017.10.27,イン,ベント(メイン),バック,2017.10.27,72,6837,73.0,135
,アウト,ベント(メイン),レギュラー,2017.10.27,イン,ベント(メイン),レギュラー,2017.10.27,72,6520,71.5,133
,アウト,ベント(メイン),フロント1,2017.10.27,イン,ベント(メイン),フロント1,2017.10.27,72,6215,70.1,128
,アウト,ベント(メイン),シニア,2017.10.27,イン,ベント(メイン),シニア,2017.10.27,72,5754,67.9,121
,アウト,ベント(メイン),レディース,2017.10.27,イン,ベント(メイン),レディース,2017.10.27,72,5074,64.8,114
,アウト,ベント(サブ),フルバック,2017.10.27,イン,ベント(サブ),フルバック,2017.10.27,72,6654,72.0,132
,アウト,ベント(サブ),バック,2017.10.27,イン,ベント(サブ),バック,2017.10.27,72,6571,71.6,130
,アウト,ベント(サブ),レギュラー,2017.10.27,イン,ベント(サブ),レギュラー,2017.10.27,72,6248,70.2,125
,アウト,ベント(サブ),フロント1,2017.10.27,イン,ベント(サブ),フロント1,2017.10.27,72,5940,68.7,122
,アウト,ベント(サブ),シニア,2017.10.27,イン,ベント(サブ),シニア,2017.10.27,72,5476,66.7,117
,アウト,ベント(サブ),レディース,2017.10.27,イン,ベント(サブ),レディース,2017.10.27,72,4824,63.6,110
武雄嬉野カントリークラブ,アウト,コーライ,バック,2019.12.13,イン,コーライ,バック,2019.12.13,72,6440,72.0,135
,アウト,コーライ,フロント1,2019.12.13,イン,コーライ,フロント1,2019.12.13,72,6064,70.2,133
武雄ゴルフ倶楽部,アウト,メイン(ベント),フルバック,2019.09.13,イン,メイン(ベント),フルバック,2019.09.13,72,6713,72.8,138
,アウト,メイン(ベント),バック,2019.09.13,イン,メイン(ベント),バック,2019.09.13,72,6620,72.4,138
,アウト,メイン(ベント),レギュラー,2019.09.13,イン,メイン(ベント),レギュラー,2019.09.13,72,6325,71.0,133
,アウト,メイン(ベント),フロント1,2019.09.13,イン,メイン(ベント),フロント1,2019.09.13,72,6105,69.9,131
,アウト,メイン(ベント),ゴールド,2019.09.13,イン,メイン(ベント),ゴールド,2019.09.13,72,5864,68.9,128
天山カントリークラブ,アウト,ベント(M),バック,2017.12.13,イン,ベント(M),バック,2017.12.13,72,6871,72.7,138
,アウト,ベント(M),レギュラー,2017.12.13,イン,ベント(M),レギュラー,2017.12.13,72,6463,70.7,133
,アウト,ベント(M),フロント1,2017.12.13,イン,ベント(M),フロント1,2017.12.13,72,6198,69.3,128
,アウト,ベント(M),ゴールド,2017.12.13,イン,ベント(M),ゴールド,2017.12.13,72,5330,65.2,115
,アウト,ベント(S),バック,2017.12.13,イン,ベント(S),バック,2017.12.13,72,6704,71.8,134
,アウト,ベント(S),レギュラー,2017.12.13,イン,ベント(S),レギュラー,2017.12.13,72,6296,69.8,129
,アウト,ベント(S),フロント1,2017.12.13,イン,ベント(S),フロント1,2017.12.13,72,6031,68.4,125
,アウト,ベント(S),ゴールド,2017.12.13,イン,ベント(S),ゴールド,2017.12.13,72,5171,64.4,111
花祭ゴルフ倶楽部,アウト,ベント,Champ,2013.02.19,イン,ベント,Champ,2013.02.19,72,6834,72.2,135
,アウト,ベント,Back,2013.02.19,イン,ベント,Back,2013.02.19,72,6560,71.0,132
,アウト,ベント,Regular,2013.02.19,イン,ベント,Regular,2013.02.19,72,6247,69.6,129
,アウト,ベント,Front,2013.02.19,イン,ベント,Front,2013.02.19,72,5931,68.1,126
日の隈カンツリークラブ,アウト,コーライ,バック,2013.08.26,イン,コーライ,バック,2013.08.26,72,6258,69.8,128
,アウト,コーライ,レギュラー,2013.08.26,イン,コーライ,レギュラー,2013.08.26,72,5797,67.7,124
,アウト,コーライ,レディース,2013.08.26,イン,コーライ,レディース,2013.08.26,72,5087,64.4,116
福岡セヴンヒルズゴルフ倶楽部,アウト,ベント,バック,2009.12.16,イン,ベント,バック,2009.12.16,72,6655,71.6,130
,アウト,ベント,レギュラー,2009.12.16,イン,ベント,レギュラー,2009.12.16,72,6228,69.7,124
,アウト,ベント,フロント1,2009.12.16,イン,ベント,フロント1,2009.12.16,72,5791,68.0,119
フジカントリークラブ,アウト,ベント,CHAMP,2019.10.08,イン,ベント,CHAMP,2019.10.08,72,6772,73.4,136
,アウト,ベント,BACK,2019.10.08,イン,ベント,BACK,2019.10.08,72,6314,71.1,131
,アウト,ベント,REG,2019.10.08,イン,ベント,REG,2019.10.08,72,5915,68.8,129
ブリヂストンカンツリー倶楽部,アウト,コーライ,バック,2013.09.26,イン,コーライ,バック,2013.09.26,72,6371,71.0,122
,アウト,コーライ,レギュラー,2013.09.26,イン,コーライ,レギュラー,2013.09.26,72,6045,69.5,118
北山カントリー倶楽部,アウト,Aベント,フルバック,2021.04.15,イン,Aベント,フルバック,2021.04.15,72,7061,74.5,136
,アウト,Aベント,バック,2021.04.15,イン,Aベント,バック,2021.04.15,72,6674,72.2,134
,アウト,Aベント,レギュラー,2021.04.15,イン,Aベント,レギュラー,2021.04.15,72,6340,70.7,132
,アウト,Aベント,フロント1,2021.04.15,イン,Aベント,フロント1,2021.04.15,72,5910,69.1,124
,アウト,Aベント,レディース1,2021.04.15,イン,Aベント,レディース1,2021.04.15,72,5446,66.4,117
,アウト,Bベント,フルバック,2021.04.15,イン,Bベント,フルバック,2021.04.15,72,7066,74.1,134
,アウト,Bベント,バック,2021.04.15,イン,Bベント,バック,2021.04.15,72,6691,72.4,129
