,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
アクアラインゴルフクラブ,アウト,ベント,バック,2020.08.27,イン,ベント,バック,2020.08.27,72,6767,72.3,128
,アウト,ベント,レギュラー,2020.08.27,イン,ベント,レギュラー,2020.08.27,72,6290,70.2,125
,アウト,ベント,フロント1,2020.08.27,イン,ベント,フロント1,2020.08.27,72,5924,65.5,113
アコーディア・ゴルフ空港ゴルフコース成田,空港アウト,Aグリーン,バック,2017.04.18,空港イン,Aグリーン,バック,2017.04.18,72,6894,70.9,129
,空港アウト,Aグリーン,レギュラー,2017.04.18,空港イン,Aグリーン,レギュラー,2017.04.18,72,6354,68.6,125
,空港アウト,Aグリーン,レディース,2017.04.18,空港イン,Aグリーン,レディース,2017.04.18,72,5192,63.4,114
,空港アウト,Bグリーン,バック,2017.04.18,空港イン,Bグリーン,バック,2017.04.18,72,6581,69.3,124
,空港アウト,Bグリーン,レギュラー,2017.04.18,空港イン,Bグリーン,レギュラー,2017.04.18,72,6029,67.0,119
,空港アウト,Bグリーン,レディース,2017.04.18,空港イン,Bグリーン,レディース,2017.04.18,72,4914,61.8,109
アコーディア・ゴルフ習志野カントリークラブ,キングアウト,A-Green,バック,2013.07.12,キングイン,A-Green,バック,2013.07.12,72,7011,73.0,124
,キングアウト,A-Green,レギュラー,2013.07.12,キングイン,A-Green,レギュラー,2013.07.12,72,6678,71.3,121
,キングアウト,A-Green,フロント1,2013.07.12,キングイン,A-Green,フロント1,2013.07.12,72,6296,69.5,117
,キングアウト,A-Green,フロント2,2013.07.12,キングイン,A-Green,フロント2,2013.07.12,72,5579,66.1,111
,キングアウト,B-Green,バック,2013.07.12,キングイン,B-Green,バック,2013.07.12,72,6734,71.7,125
,キングアウト,B-Green,レギュラー,2013.07.12,キングイン,B-Green,レギュラー,2013.07.12,72,6401,70.0,122
,キングアウト,B-Green,フロント1,2013.07.12,キングイン,B-Green,フロント1,2013.07.12,72,6019,68.3,117
