,コース１,コース１,コース１,コース１,コース2,コース2,コース2,コース2,Par,Yards,CourseRating,SlopeRating
,コース,グリーン,ティー,査定日,コース,グリーン,ティー,査定日,Par,Yards,CourseRating,SlopeRating
あさひケ丘カントリークラブ,筑波,Rグリーン,バック,2010.07.30,日光,Rグリーン,バック,2010.07.30,72,6524,75.6,135
,筑波,Rグリーン,レギュラー,2010.07.30,日光,Rグリーン,レギュラー,2010.07.30,72,6165,73.7,130
,筑波,Rグリーン,フロント1,2010.07.30,日光,Rグリーン,フロント1,2010.07.30,72,5984,72.7,128
,筑波,Rグリーン,フロント2,2010.07.30,日光,Rグリーン,フロント2,2010.07.30,72,5486,70.1,120
,筑波,Lグリーン,バック,2010.07.30,日光,Lグリーン,バック_,,72,6462,75.3,134
,筑波,Lグリーン,レギュラー,2010.07.30,日光,Lグリーン,レギュラー,2010.07.30,72,6103,73.4,129
,筑波,Lグリーン,フロント1_,,日光,Lグリーン,フロント1,2010.07.30,72,5922,72.4,127
,筑波,Lグリーン,フロント2_,,日光,Lグリーン,フロント2,2010.07.30,72,5424,69.9,120
,日光,Rグリーン,バック,2010.07.30,富士,Rグリーン,バック,2010.07.30,72,6659,76.6,138
,日光,Rグリーン,レギュラー_,,富士,Rグリーン,レギュラー,2010.07.30,72,6278,74.6,133
,日光,Rグリーン,フロント1_,,富士,Rグリーン,フロント1_,,72,5990,73.1,129
,日光,Rグリーン,フロント2_,,富士,Rグリーン,フロント2,2010.07.30,72,5269,69.5,119
,日光,Lグリーン,バック,2010.07.30,富士,Lグリーン,バック_,,72,6640,76.5,137
,日光,Lグリーン,レギュラー_,,富士,Lグリーン,レギュラー,2010.07.30,72,6259,74.5,132
,日光,Lグリーン,フロント1_,,富士,Lグリーン,フロント1_,,72,5971,73.0,128
,日光,Lグリーン,フロント2,2010.07.30,富士,Lグリーン,フロント2,2010.07.30,72,5250,69.4,119
,富士,Rグリーン,バック,2010.07.30,筑波,Rグリーン,バック,2010.07.30,72,6571,75.8,136
,富士,Rグリーン,レギュラー_,,筑波,Rグリーン,レギュラー_,,72,6201,73.8,131
,富士,Rグリーン,フロント1,2010.07.30,筑波,Rグリーン,フロント1,2010.07.30,72,6034,72.9,128
,富士,Rグリーン,フロント2,2010.07.30,筑波,Rグリーン,フロント2_,,72,5395,69.7,120
,富士,Lグリーン,バック,2010.07.30,筑波,Lグリーン,バック,2010.07.30,72,6524,75.5,135
,富士,Lグリーン,レギュラー,2010.07.30,筑波,Lグリーン,レギュラー,2010.07.30,72,6154,73.6,130
,富士,Lグリーン,フロント1,2010.07.30,筑波,Lグリーン,フロント1,2010.07.30,72,5987,72.7,128
,富士,Lグリーン,フロント2,2010.07.30,筑波,Lグリーン,フロント2,2010.07.30,72,5348,69.5,119
足利カントリークラブ,多幸OUT,Aグリーン,バック,2016.09.20,多幸IN,Aグリーン,バック,2016.09.20,72,6053,75.3,131
,多幸OUT,Aグリーン,レギュラー,2016.09.20,多幸IN,Aグリーン,レギュラー,2016.09.20,72,5709,73.4,126
,多幸OUT,Aグリーン,シニア,2016.09.20,多幸IN,Aグリーン,シニア,2016.09.20,72,4762,68.1,115
,多幸OUT,Aグリーン,フロント,2016.09.20,多幸IN,Aグリーン,フロント,2016.09.20,72,4254,65.4,109
,多幸OUT,Bグリーン,バック,2016.09.20,多幸IN,Bグリーン,バック,2016.09.20,72,6084,75.7,131
,多幸OUT,Bグリーン,レギュラー,2016.09.20,多幸IN,Bグリーン,レギュラー,2016.09.20,72,5754,73.9,128
,多幸OUT,Bグリーン,シニア,2016.09.20,多幸IN,Bグリーン,シニア,2016.09.20,72,4818,68.7,116
,多幸OUT,Bグリーン,フロント,2016.09.20,多幸IN,Bグリーン,フロント,2016.09.20,72,4322,66.0,110
,飛駒OUT,Aグリーン,バック,2016.09.20,飛駒IN,Aグリーン,バック,2016.09.20,72,5669,73.2,134
,飛駒OUT,Aグリーン,レギュラー,2016.09.20,飛駒IN,Aグリーン,レギュラー,2016.09.20,72,5311,71.3,129
,飛駒OUT,Aグリーン,シニア,2016.09.20,飛駒IN,Aグリーン,シニア,2016.09.20,72,4418,66.3,119
,飛駒OUT,Aグリーン,フロント,2016.09.20,飛駒IN,Aグリーン,フロント,2016.09.20,72,4203,65.4,116
,飛駒OUT,Bグリーン,バック,2016.09.20,飛駒IN,Bグリーン,バック,2016.09.20,72,5645,73.4,131
,飛駒OUT,Bグリーン,レギュラー,2016.09.20,飛駒IN,Bグリーン,レギュラー,2016.09.20,72,5289,71.5,127
,飛駒OUT,Bグリーン,シニア,2016.09.20,飛駒IN,Bグリーン,シニア,2016.09.20,72,4399,66.5,117
,飛駒OUT,Bグリーン,フロント,2016.09.20,飛駒IN,Bグリーン,フロント,2016.09.20,72,4184,65.5,115
足利城ゴルフ倶楽部,アウト,メインベント,バック,2010.05.07,イン,メインベント,バック,2010.05.07,72,6214,74.9,133
,アウト,メインベント,レギュラー,2010.05.07,イン,メインベント,レギュラー,2010.05.07,72,5905,73.2,129
,アウト,メインベント,フロント1,2010.05.07,イン,メインベント,フロント1,2010.05.07,72,5588,71.6,125
,アウト,メインベント,フロント2,2010.05.07,イン,メインベント,フロント2,2010.05.07,72,5075,69.2,118
,アウト,ニューベント,バック,2010.05.07,イン,ニューベント,バック,2010.05.07,72,6073,74.1,131
,アウト,ニューベント,レギュラー,2010.05.07,イン,ニューベント,レギュラー,2010.05.07,72,5776,72.6,127
,アウト,ニューベント,フロント1,2010.05.07,イン,ニューベント,フロント1,2010.05.07,72,5447,70.8,123
,アウト,ニューベント,フロント2,2010.05.07,イン,ニューベント,フロント2,2010.05.07,72,4934,68.5,116
アローエースゴルフクラブ,アウト,ベント,バック,2017.12.01,イン,ベント,バック,2017.12.01,72,6728,78.3,140
,アウト,ベント,レギュラー,2017.12.01,イン,ベント,レギュラー,2017.12.01,72,6459,76.9,137
,アウト,ベント,フロント1,2017.12.01,イン,ベント,フロント1,2017.12.01,72,6085,74.9,133
,アウト,ベント,フロント2,2017.12.01,イン,ベント,フロント2,2017.12.01,72,5661,72.6,128
,アウト,ベント,レディース1,2017.12.01,イン,ベント,レディース1,2017.12.01,72,5117,69.6,122
,アウト,ベント,レディース2,2017.12.01,イン,ベント,レディース2,2017.12.01,72,4534,66.4,115
イーストウッドカントリークラブ,アウト,ベント,バック,2010.09.01,イン,ベント,バック,2010.09.01,72,6854,77.7,141
,アウト,ベント,レギュラー,2010.09.01,イン,ベント,レギュラー,2010.09.01,72,6410,75.4,134
,アウト,ベント,フロント1,2010.09.01,イン,ベント,フロント1,2010.09.01,72,5934,72.9,128
宇都宮カンツリークラブ,北,ベント,バック,2015.10.30,中,ベント,バック,2015.10.30,72,6597,78.2,145
,北,ベント,レギュラー,2015.10.30,中,ベント,レギュラー,2015.10.30,72,6507,77.7,144
,北,ベント,フロント1,2015.10.30,中,ベント,フロント1,2015.10.30,72,6162,75.9,140
,北,ベント,フロント2,2015.10.30,中,ベント,フロント2,2015.10.30,72,5955,74.7,138
,北,ベント,レディース,2015.10.30,中,ベント,レディース,2015.10.30,72,5418,71.7,131
,中,ベント,バック,2015.10.30,南,ベント,バック,2015.10.30,72,6465,77.5,137
,中,ベント,レギュラー,2015.10.30,南,ベント,レギュラー,2015.10.30,72,6427,77.3,136
,中,ベント,フロント1,2015.10.30,南,ベント,フロント1,2015.10.30,72,6075,75.4,132
,中,ベント,フロント2,2015.10.30,南,ベント,フロント2,2015.10.30,72,5849,74.1,129
,中,ベント,レディース,2015.10.30,南,ベント,レディース,2015.10.30,72,5132,70.2,121
,南,ベント,バック,2015.10.30,北,ベント,バック,2015.10.30,72,6500,77.7,137
,南,ベント,レギュラー,2015.10.30,北,ベント,レギュラー,2015.10.30,72,6414,77.2,136
,南,ベント,フロント1,2015.10.30,北,ベント,フロント1,2015.10.30,72,6087,75.5,132
,南,ベント,フロント2,2015.10.30,北,ベント,フロント2,2015.10.30,72,5820,74.0,129
,南,ベント,レディース,2015.10.30,北,ベント,レディース,2015.10.30,72,5112,70.1,120
大日向カントリー倶楽部,西,Aグリーン,バック_,,東,Aグリーン,バック_,,72,6963,77.9,141
,西,Aグリーン,レギュラー,2010.09.24,東,Aグリーン,レギュラー,2010.09.24,72,6502,75.5,135
,西,Aグリーン,フロント1,2010.09.24,東,Aグリーン,フロント1_,,72,6102,73.4,129
,西,Aグリーン,フロント2,2010.09.24,東,Aグリーン,フロント2,2010.09.24,72,5533,70.4,121
,西,Aグリーン,レディース1,2010.09.24,東,Aグリーン,レディース1_,,72,5137,68.7,117
,西,Bグリーン,バック_,,東,Bグリーン,バック_,,72,6860,77.3,139
,西,Bグリーン,レギュラー,2010.09.24,東,Bグリーン,レギュラー,2010.09.24,72,6371,74.8,133
,西,Bグリーン,フロント1,2010.09.24,東,Bグリーン,フロント1,2010.09.24,72,5999,72.8,128
,西,Bグリーン,フロント2,2010.09.24,東,Bグリーン,フロント2,2010.09.24,72,5430,69.9,120
,西,Bグリーン,レディース1,2010.09.24,東,Bグリーン,レディース1,2010.09.24,72,5034,68.2,115
,中,Aグリーン,バック,2010.09.24,西,Aグリーン,バック,2010.09.24,72,7024,78.2,142
,中,Aグリーン,レギュラー,2010.09.24,西,Aグリーン,レギュラー,2010.09.24,72,6591,75.9,136
,中,Aグリーン,フロント1_,,西,Aグリーン,フロント1,2010.09.24,72,6107,73.4,129
,中,Aグリーン,フロント2_,,西,Aグリーン,フロント2_,,72,5559,70.5,122
,中,Aグリーン,レディース1_,,西,Aグリーン,レディース1_,,72,5180,68.9,117
,中,Bグリーン,バック,2010.09.24,西,Bグリーン,バック,2010.09.24,72,6903,77.5,140
,中,Bグリーン,レギュラー,2010.09.24,西,Bグリーン,レギュラー_,,72,6470,75.2,134
,中,Bグリーン,フロント1,2010.09.24,西,Bグリーン,フロント1,2010.09.24,72,5986,72.7,128
,中,Bグリーン,フロント2,2010.09.24,西,Bグリーン,フロント2,2010.09.24,72,5438,69.9,120
,中,Bグリーン,レディース1_,,西,Bグリーン,レディース1_,,72,5059,68.3,116
,東,Aグリーン,バック,2010.09.24,中,Aグリーン,バック,2010.09.24,72,6949,78.1,142
,東,Aグリーン,レギュラー_,,中,Aグリーン,レギュラー_,,72,6521,75.8,136
,東,Aグリーン,フロント1,2010.09.24,中,Aグリーン,フロント1,2010.09.24,72,6167,73.9,131
,東,Aグリーン,フロント2,2010.09.24,中,Aグリーン,フロント2,2010.09.24,72,5596,70.9,123
,東,Aグリーン,レディース1,2010.09.24,中,Aグリーン,レディース1,2010.09.24,72,5141,68.8,117
,東,Bグリーン,バック,2010.09.24,中,Bグリーン,バック,2010.09.24,72,6859,77.5,140
,東,Bグリーン,レギュラー,2010.09.24,中,Bグリーン,レギュラー,2010.09.24,72,6403,75.1,134
,東,Bグリーン,フロント1_,,中,Bグリーン,フロント1_,,72,6077,73.4,129
,東,Bグリーン,フロント2,2010.09.24,中,Bグリーン,フロント2,2010.09.24,72,5506,70.4,121
,東,Bグリーン,レディース1_,,中,Bグリーン,レディース1,2010.09.24,72,5051,68.4,116
大平台カントリークラブ,中,ベント,バック1,2015.07.10,東,ベント,バック1,2015.07.10,72,6716,78.4,140
,中,ベント,バック2,2015.07.10,東,ベント,バック2,2015.07.10,72,6675,78.2,139
,中,ベント,レギュラー,2015.07.10,東,ベント,レギュラー,2015.07.10,72,6363,76.3,136
,中,ベント,フロント1,2015.07.10,東,ベント,フロント1,2015.07.10,72,6025,74.4,133
,中,ベント,レディース,2015.07.24,東,ベント,レディース,2015.07.10,72,5034,69.0,123
,中,コーライ,バック1,2015.07.10,東,コーライ,バック1,2015.07.10,72,6554,77.4,137
,中,コーライ,バック2,2015.07.10,東,コーライ,バック2,2015.07.10,72,6520,77.3,136
,中,コーライ,レギュラー,2015.07.10,東,コーライ,レギュラー,2015.07.10,72,6196,75.5,133
,中,コーライ,フロント1,2015.07.10,東,コーライ,フロント1,2015.07.10,72,5863,73.5,130
,中,コーライ,レディース,2015.07.10,東,コーライ,レディース,2015.07.24,72,4873,68.2,119
,東,ベント,バック1,2015.07.10,西,ベント,バック1,2015.07.10,72,6522,77.1,137
,東,ベント,バック2,2015.07.10,西,ベント,バック2,2015.07.10,72,6470,76.8,136
,東,ベント,レギュラー,2015.07.10,西,ベント,レギュラー,2015.07.10,72,6048,74.4,133
,東,ベント,フロント1,2015.07.10,西,ベント,フロント1,2015.07.10,72,5833,73.1,131
,東,ベント,レディース,2015.07.10,西,ベント,レディース,2015.07.10,72,4974,68.3,122
,東,コーライ,バック1,2015.07.10,西,コーライ,バック1,2015.07.24,72,6382,76.3,133
,東,コーライ,バック2,2015.07.10,西,コーライ,バック2,2015.07.24,72,6320,76.1,132
,東,コーライ,レギュラー,2015.07.10,西,コーライ,レギュラー,2015.07.24,72,5899,73.7,128
,東,コーライ,フロント1,2015.07.10,西,コーライ,フロント1,2015.07.24,72,5684,72.3,126
,東,コーライ,レディース,2015.07.24,西,コーライ,レディース,2015.07.24,72,4823,67.7,117
,西,ベント,バック1,2015.07.10,中,ベント,バック1,2015.07.10,72,6560,77.3,139
,西,ベント,バック2,2015.07.10,中,ベント,バック2,2015.07.10,72,6535,77.2,138
,西,ベント,レギュラー,2015.07.10,中,ベント,レギュラー,2015.07.10,72,6149,74.9,135
,西,ベント,フロント1,2015.07.10,中,ベント,フロント1,2015.07.10,72,5870,73.3,133
,西,ベント,レディース,2015.07.10,中,ベント,レディース,2015.07.24,72,4904,68.1,123
,西,コーライ,バック1,2015.07.24,中,コーライ,バック1,2015.07.10,72,6426,76.5,135
,西,コーライ,バック2,2015.07.24,中,コーライ,バック2,2015.07.10,72,6398,76.4,134
,西,コーライ,レギュラー,2015.07.24,中,コーライ,レギュラー,2015.07.10,72,6005,74.2,130
,西,コーライ,フロント1,2015.07.24,中,コーライ,フロント1,2015.07.10,72,5731,72.6,128
,西,コーライ,レディース,2015.07.24,中,コーライ,レディース,2015.07.10,72,4764,67.3,118
小山ゴルフクラブ,アウト,ベント,バック,2014.06.17,イン,ベント,バック,2014.06.17,72,6639,78.8,141
,アウト,ベント,レギュラー,2014.06.17,イン,ベント,レギュラー,2014.06.17,72,6465,77.8,138
,アウト,ベント,フロント,2014.06.17,イン,ベント,フロント,2014.06.17,72,6141,75.8,136
,アウト,ベント,レディース,2014.06.17,イン,ベント,レディース,2014.06.17,72,5665,72.8,131
,アウト,コーライ,バック,2014.06.17,イン,コーライ,バック,2014.06.17,72,6266,76.3,140
,アウト,コーライ,レギュラー,2014.06.17,イン,コーライ,レギュラー,2014.06.17,72,6088,75.2,137
,アウト,コーライ,フロント,2014.06.17,イン,コーライ,フロント,2014.06.17,72,5763,73.3,133
,アウト,コーライ,レディース,2014.06.17,イン,コーライ,レディース,2014.06.17,72,5280,70.3,129
鹿沼カントリー倶楽部,南アウト,Aグリーン,バック,2010.08.30,南イン,Aグリーン,バック,2010.08.30,72,6688,76.6,138
,南アウト,Aグリーン,レギュラー,2010.08.30,南イン,Aグリーン,レギュラー_,,72,6165,74.0,131
,南アウト,Aグリーン,フロント1_,,南イン,Aグリーン,フロント1,2010.08.30,72,5829,72.2,126
,南アウト,Aグリーン,フロント2,2010.08.30,南イン,Aグリーン,フロント2,2010.08.30,72,5194,69.2,118
,南アウト,Bグリーン,バック,2010.08.30,南イン,Bグリーン,バック,2010.08.30,72,6579,76.2,137
,南アウト,Bグリーン,レギュラー,2010.08.30,南イン,Bグリーン,レギュラー,2010.08.30,72,6076,73.5,130
,南アウト,Bグリーン,フロント1,2010.08.30,南イン,Bグリーン,フロント1_,,72,5740,71.7,125
,南アウト,Bグリーン,フロント2,2010.08.30,南イン,Bグリーン,フロント2_,,72,5105,68.8,117
,南アウト,Aグリーン,バック_,,黄金,Aグリーン,バック_,,72,6578,76.1,137
,南アウト,Aグリーン,レギュラー,2010.08.30,黄金,Aグリーン,レギュラー_,,72,6195,74.0,131
,南アウト,Aグリーン,フロント1,2010.08.30,黄金,Aグリーン,フロント1,2010.08.30,72,5875,72.4,127
,南アウト,Aグリーン,フロント2,2010.08.30,黄金,Aグリーン,フロント2,2010.08.30,72,5266,69.4,119
,南アウト,Bグリーン,バック_,,黄金,Bグリーン,バック_,,72,6429,75.3,134
,南アウト,Bグリーン,レギュラー_,,黄金,Bグリーン,レギュラー_,,72,6046,73.3,129
,南アウト,Bグリーン,フロント1,2010.08.30,黄金,Bグリーン,フロント1,2010.08.30,72,5726,71.6,125
,南アウト,Bグリーン,フロント2,2010.08.30,黄金,Bグリーン,フロント2,2010.08.30,72,5117,68.8,117
,南イン,Aグリーン,バック_,,黄金,Aグリーン,バック,2010.08.30,72,6604,76.4,137
,南イン,Aグリーン,レギュラー,2010.08.30,黄金,Aグリーン,レギュラー,2010.08.30,72,6212,74.3,132
,南イン,Aグリーン,フロント1_,,黄金,Aグリーン,フロント1_,,72,5960,73.0,128
,南イン,Aグリーン,フロント2,2010.08.30,黄金,Aグリーン,フロント2_,,72,5280,69.6,119
,南イン,Bグリーン,バック_,,黄金,Bグリーン,バック,2010.08.30,72,6490,75.8,136
,南イン,Bグリーン,レギュラー_,,黄金,Bグリーン,レギュラー,2010.08.30,72,6098,73.7,130
,南イン,Bグリーン,フロント1,2010.08.30,黄金,Bグリーン,フロント1_,,72,5846,72.4,127
,南イン,Bグリーン,フロント2,2010.08.30,黄金,Bグリーン,フロント2,2010.08.30,72,5166,69.1,118
,北アウト,Aグリーン,バック,2010.08.30,北イン,Aグリーン,バック,2010.08.30,72,6483,75.7,135
,北アウト,Aグリーン,レギュラー,2010.08.30,北イン,Aグリーン,レギュラー,2010.08.30,72,6161,74.0,131
,北アウト,Aグリーン,フロント1,2010.08.30,北イン,Aグリーン,フロント1,2010.08.30,72,5832,72.3,126
