,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：476yd,Hdcp：1,PAR：4,Reg.：264yd,Hdcp：6,PAR：4,Reg.：306yd,Hdcp：5
1,第一打は右サイドバンカーを避けること,第一打は右サイドバンカーを避けること,第一打は右サイドバンカーを避けること,距離に自信のある人は右バンカー狙い,距離に自信のある人は右バンカー狙い,距離に自信のある人は右バンカー狙い,右前方の谷に注意　谷の手前に第一打がベスト,右前方の谷に注意　谷の手前に第一打がベスト,右前方の谷に注意　谷の手前に第一打がベスト
2,難易度4位/9ホール中 平均スコア6.34 平均パット数1.92 パーオン率22.5% フェアウェイ率42.0% OB率25.5% バンカー率21.8%,難易度4位/9ホール中 平均スコア6.34 平均パット数1.92 パーオン率22.5% フェアウェイ率42.0% OB率25.5% バンカー率21.8%,難易度4位/9ホール中 平均スコア6.34 平均パット数1.92 パーオン率22.5% フェアウェイ率42.0% OB率25.5% バンカー率21.8%,難易度7位/9ホール中 平均スコア5.04 平均パット数1.97 パーオン率34.5% フェアウェイ率48.8% OB率26.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.04 平均パット数1.97 パーオン率34.5% フェアウェイ率48.8% OB率26.3% バンカー率17.0%,難易度7位/9ホール中 平均スコア5.04 平均パット数1.97 パーオン率34.5% フェアウェイ率48.8% OB率26.3% バンカー率17.0%,難易度3位/9ホール中 平均スコア5.47 平均パット数1.92 パーオン率15.5% フェアウェイ率43.8% OB率41.0% バンカー率13.3%,難易度3位/9ホール中 平均スコア5.47 平均パット数1.92 パーオン率15.5% フェアウェイ率43.8% OB率41.0% バンカー率13.3%,難易度3位/9ホール中 平均スコア5.47 平均パット数1.92 パーオン率15.5% フェアウェイ率43.8% OB率41.0% バンカー率13.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：306yd,Hdcp：4,PAR：3,Reg.：150yd,Hdcp：8,PAR：5,Reg.：461yd,Hdcp：2
5,打ち上げのミドルホール　第二打の距離感に注意,打ち上げのミドルホール　第二打の距離感に注意,打ち上げのミドルホール　第二打の距離感に注意,短めのクラブを持って下さい,短めのクラブを持って下さい,短めのクラブを持って下さい,ストレートなロングホール　飛ばし屋は２オン可,ストレートなロングホール　飛ばし屋は２オン可,ストレートなロングホール　飛ばし屋は２オン可
6,難易度5位/9ホール中 平均スコア5.37 平均パット数1.92 パーオン率17.5% フェアウェイ率54.5% OB率39.8% バンカー率14.0%,難易度5位/9ホール中 平均スコア5.37 平均パット数1.92 パーオン率17.5% フェアウェイ率54.5% OB率39.8% バンカー率14.0%,難易度5位/9ホール中 平均スコア5.37 平均パット数1.92 パーオン率17.5% フェアウェイ率54.5% OB率39.8% バンカー率14.0%,難易度8位/9ホール中 平均スコア3.93 平均パット数2.01 パーオン率33.3% フェアウェイ率- OB率8.3% バンカー率16.0%,難易度8位/9ホール中 平均スコア3.93 平均パット数2.01 パーオン率33.3% フェアウェイ率- OB率8.3% バンカー率16.0%,難易度8位/9ホール中 平均スコア3.93 平均パット数2.01 パーオン率33.3% フェアウェイ率- OB率8.3% バンカー率16.0%,難易度2位/9ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率53.5% OB率34.8% バンカー率10.8%,難易度2位/9ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率53.5% OB率34.8% バンカー率10.8%,難易度2位/9ホール中 平均スコア6.42 平均パット数2 パーオン率23.3% フェアウェイ率53.5% OB率34.8% バンカー率10.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：352yd,Hdcp：3,PAR：4,Reg.：258yd,Hdcp：7,PAR：3,Reg.：105yd,Hdcp：9
9,フェアウェイの狭いミドルホール,フェアウェイの狭いミドルホール,フェアウェイの狭いミドルホール,左ドッグのミドルホール,左ドッグのミドルホール,左ドッグのミドルホール,サービスショートホール,サービスショートホール,サービスショートホール
10,難易度1位/9ホール中 平均スコア5.63 平均パット数1.92 パーオン率11.3% フェアウェイ率48.0% OB率36.5% バンカー率15.8%,難易度1位/9ホール中 平均スコア5.63 平均パット数1.92 パーオン率11.3% フェアウェイ率48.0% OB率36.5% バンカー率15.8%,難易度1位/9ホール中 平均スコア5.63 平均パット数1.92 パーオン率11.3% フェアウェイ率48.0% OB率36.5% バンカー率15.8%,難易度6位/9ホール中 平均スコア5.2 平均パット数1.89 パーオン率26.0% フェアウェイ率52.0% OB率37.0% バンカー率13.0%,難易度6位/9ホール中 平均スコア5.2 平均パット数1.89 パーオン率26.0% フェアウェイ率52.0% OB率37.0% バンカー率13.0%,難易度6位/9ホール中 平均スコア5.2 平均パット数1.89 パーオン率26.0% フェアウェイ率52.0% OB率37.0% バンカー率13.0%,難易度9位/9ホール中 平均スコア3.7 平均パット数1.84 パーオン率33.0% フェアウェイ率- OB率8.8% バンカー率15.0%,難易度9位/9ホール中 平均スコア3.7 平均パット数1.84 パーオン率33.0% フェアウェイ率- OB率8.8% バンカー率15.0%,難易度9位/9ホール中 平均スコア3.7 平均パット数1.84 パーオン率33.0% フェアウェイ率- OB率8.8% バンカー率15.0%
