,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：506yd,Hdcp：5,PAR：3,Reg.：190yd,Hdcp：7,PAR：4,Reg.：443yd,Hdcp：9
1,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いショートホール,長いショートホール,長いショートホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度4位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率20.8% フェアウェイ率60.3% OB率37.8% バンカー率21.5%,難易度4位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率20.8% フェアウェイ率60.3% OB率37.8% バンカー率21.5%,難易度4位/18ホール中 平均スコア6.62 平均パット数2.08 パーオン率20.8% フェアウェイ率60.3% OB率37.8% バンカー率21.5%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率7.3% バンカー率27.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率7.3% バンカー率27.8%,難易度17位/18ホール中 平均スコア4.03 平均パット数2.12 パーオン率32.0% フェアウェイ率- OB率7.3% バンカー率27.8%,難易度6位/18ホール中 平均スコア5.66 平均パット数2.09 パーオン率9.0% フェアウェイ率62.3% OB率27.8% バンカー率22.3%,難易度6位/18ホール中 平均スコア5.66 平均パット数2.09 パーオン率9.0% フェアウェイ率62.3% OB率27.8% バンカー率22.3%,難易度6位/18ホール中 平均スコア5.66 平均パット数2.09 パーオン率9.0% フェアウェイ率62.3% OB率27.8% バンカー率22.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：5,Reg.：554yd,Hdcp：3,PAR：4,Reg.：400yd,Hdcp：11,PAR：3,Reg.：172yd,Hdcp：17
5,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,長いミドルホール,長いミドルホール,長いミドルホール,長いショートホール,長いショートホール,長いショートホール
6,難易度1位/18ホール中 平均スコア6.77 平均パット数2.1 パーオン率15.3% フェアウェイ率65.3% OB率43.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア6.77 平均パット数2.1 パーオン率15.3% フェアウェイ率65.3% OB率43.8% バンカー率19.0%,難易度1位/18ホール中 平均スコア6.77 平均パット数2.1 パーオン率15.3% フェアウェイ率65.3% OB率43.8% バンカー率19.0%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.06 パーオン率28.5% フェアウェイ率54.3% OB率26.8% バンカー率17.0%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.06 パーオン率28.5% フェアウェイ率54.3% OB率26.8% バンカー率17.0%,難易度13位/18ホール中 平均スコア5.21 平均パット数2.06 パーオン率28.5% フェアウェイ率54.3% OB率26.8% バンカー率17.0%,難易度18位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率36.0% フェアウェイ率- OB率27.3% バンカー率26.3%,難易度18位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率36.0% フェアウェイ率- OB率27.3% バンカー率26.3%,難易度18位/18ホール中 平均スコア3.88 平均パット数2.01 パーオン率36.0% フェアウェイ率- OB率27.3% バンカー率26.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：398yd,Hdcp：1,PAR：4,Reg.：350yd,Hdcp：15,PAR：4,Reg.：372yd,Hdcp：13
9,長いミドルホール,長いミドルホール,長いミドルホール,池越えのミドルホール,池越えのミドルホール,池越えのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
10,難易度5位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率6.5% フェアウェイ率60.0% OB率21.8% バンカー率15.5%,難易度5位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率6.5% フェアウェイ率60.0% OB率21.8% バンカー率15.5%,難易度5位/18ホール中 平均スコア5.68 平均パット数2.02 パーオン率6.5% フェアウェイ率60.0% OB率21.8% バンカー率15.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率23.5% フェアウェイ率52.3% OB率46.8% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率23.5% フェアウェイ率52.3% OB率46.8% バンカー率12.5%,難易度9位/18ホール中 平均スコア5.42 平均パット数2.02 パーオン率23.5% フェアウェイ率52.3% OB率46.8% バンカー率12.5%,難易度11位/18ホール中 平均スコア5.32 平均パット数2.07 パーオン率22.8% フェアウェイ率46.3% OB率32.8% バンカー率14.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数2.07 パーオン率22.8% フェアウェイ率46.3% OB率32.8% バンカー率14.3%,難易度11位/18ホール中 平均スコア5.32 平均パット数2.07 パーオン率22.8% フェアウェイ率46.3% OB率32.8% バンカー率14.3%
