,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：358yd,Hdcp：5,PAR：4,Reg.：386yd,Hdcp：9,PAR：4,Reg.：396yd,Hdcp：11
1,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度13位/18ホール中 平均スコア5.16 平均パット数1.99 パーオン率27.0% フェアウェイ率38.5% OB率13.3% バンカー率23.3%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.99 パーオン率27.0% フェアウェイ率38.5% OB率13.3% バンカー率23.3%,難易度13位/18ホール中 平均スコア5.16 平均パット数1.99 パーオン率27.0% フェアウェイ率38.5% OB率13.3% バンカー率23.3%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率23.0% フェアウェイ率51.8% OB率27.8% バンカー率29.5%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率23.0% フェアウェイ率51.8% OB率27.8% バンカー率29.5%,難易度6位/18ホール中 平均スコア5.4 平均パット数2.01 パーオン率23.0% フェアウェイ率51.8% OB率27.8% バンカー率29.5%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.99 パーオン率25.0% フェアウェイ率58.5% OB率22.0% バンカー率18.3%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.99 パーオン率25.0% フェアウェイ率58.5% OB率22.0% バンカー率18.3%,難易度11位/18ホール中 平均スコア5.22 平均パット数1.99 パーオン率25.0% フェアウェイ率58.5% OB率22.0% バンカー率18.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：201yd,Hdcp：7,PAR：5,Reg.：520yd,Hdcp：3,PAR：4,Reg.：301yd,Hdcp：15
5,長いショートホール,長いショートホール,長いショートホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
6,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率18.8% バンカー率37.0%,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率18.8% バンカー率37.0%,難易度14位/18ホール中 平均スコア4.06 平均パット数1.97 パーオン率23.0% フェアウェイ率- OB率18.8% バンカー率37.0%,難易度3位/18ホール中 平均スコア6.54 平均パット数2.05 パーオン率22.5% フェアウェイ率53.5% OB率40.0% バンカー率24.8%,難易度3位/18ホール中 平均スコア6.54 平均パット数2.05 パーオン率22.5% フェアウェイ率53.5% OB率40.0% バンカー率24.8%,難易度3位/18ホール中 平均スコア6.54 平均パット数2.05 パーオン率22.5% フェアウェイ率53.5% OB率40.0% バンカー率24.8%,難易度17位/18ホール中 平均スコア4.92 平均パット数2.02 パーオン率44.3% フェアウェイ率56.3% OB率7.8% バンカー率2.0%,難易度17位/18ホール中 平均スコア4.92 平均パット数2.02 パーオン率44.3% フェアウェイ率56.3% OB率7.8% バンカー率2.0%,難易度17位/18ホール中 平均スコア4.92 平均パット数2.02 パーオン率44.3% フェアウェイ率56.3% OB率7.8% バンカー率2.0%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：148yd,Hdcp：17,PAR：4,Reg.：430yd,Hdcp：1,PAR：5,Reg.：547yd,Hdcp：13
9,池越えのショートホール,池越えのショートホール,池越えのショートホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなロングホール,真っ直ぐなロングホール,真っ直ぐなロングホール
10,難易度18位/18ホール中 平均スコア3.84 平均パット数1.99 パーオン率36.8% フェアウェイ率- OB率11.0% バンカー率6.0%,難易度18位/18ホール中 平均スコア3.84 平均パット数1.99 パーオン率36.8% フェアウェイ率- OB率11.0% バンカー率6.0%,難易度18位/18ホール中 平均スコア3.84 平均パット数1.99 パーオン率36.8% フェアウェイ率- OB率11.0% バンカー率6.0%,難易度4位/18ホール中 平均スコア5.59 平均パット数2.03 パーオン率12.5% フェアウェイ率59.0% OB率19.8% バンカー率30.0%,難易度4位/18ホール中 平均スコア5.59 平均パット数2.03 パーオン率12.5% フェアウェイ率59.0% OB率19.8% バンカー率30.0%,難易度4位/18ホール中 平均スコア5.59 平均パット数2.03 パーオン率12.5% フェアウェイ率59.0% OB率19.8% バンカー率30.0%,難易度5位/18ホール中 平均スコア6.47 平均パット数2.01 パーオン率23.0% フェアウェイ率56.5% OB率27.5% バンカー率13.0%,難易度5位/18ホール中 平均スコア6.47 平均パット数2.01 パーオン率23.0% フェアウェイ率56.5% OB率27.5% バンカー率13.0%,難易度5位/18ホール中 平均スコア6.47 平均パット数2.01 パーオン率23.0% フェアウェイ率56.5% OB率27.5% バンカー率13.0%
