,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：488yd,Hdcp：7,PAR：4,Reg.：434yd,Hdcp：1,PAR：4,Reg.：419yd,Hdcp：3
1,第１打は中央楠木と左の松林の間がベスト位置,第１打は中央楠木と左の松林の間がベスト位置,第１打は中央楠木と左の松林の間がベスト位置,長いミドル　花道が狭くバンカーにガードされている,長いミドル　花道が狭くバンカーにガードされている,長いミドル　花道が狭くバンカーにガードされている,第２打は左側のラテラルウォーターハザードに注意,第２打は左側のラテラルウォーターハザードに注意,第２打は左側のラテラルウォーターハザードに注意
2,難易度11位/18ホール中 平均スコア6.2 平均パット数1.97 パーオン率29.8% フェアウェイ率54.5% OB率23.8% バンカー率21.8%,難易度11位/18ホール中 平均スコア6.2 平均パット数1.97 パーオン率29.8% フェアウェイ率54.5% OB率23.8% バンカー率21.8%,難易度11位/18ホール中 平均スコア6.2 平均パット数1.97 パーオン率29.8% フェアウェイ率54.5% OB率23.8% バンカー率21.8%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率3.8% フェアウェイ率53.5% OB率23.5% バンカー率13.0%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率3.8% フェアウェイ率53.5% OB率23.5% バンカー率13.0%,難易度1位/18ホール中 平均スコア5.79 平均パット数1.99 パーオン率3.8% フェアウェイ率53.5% OB率23.5% バンカー率13.0%,難易度2位/18ホール中 平均スコア5.61 平均パット数1.96 パーオン率11.0% フェアウェイ率57.3% OB率36.0% バンカー率17.5%,難易度2位/18ホール中 平均スコア5.61 平均パット数1.96 パーオン率11.0% フェアウェイ率57.3% OB率36.0% バンカー率17.5%,難易度2位/18ホール中 平均スコア5.61 平均パット数1.96 パーオン率11.0% フェアウェイ率57.3% OB率36.0% バンカー率17.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：171yd,Hdcp：17,PAR：4,Reg.：320yd,Hdcp：15,PAR：4,Reg.：377yd,Hdcp：5
5,右側にＯＢがせまっているので注意,右側にＯＢがせまっているので注意,右側にＯＢがせまっているので注意,第１打は右側バンカー群に注意,第１打は右側バンカー群に注意,第１打は右側バンカー群に注意,第１打は打ち下ろし　一本松の左を狙えば安全,第１打は打ち下ろし　一本松の左を狙えば安全,第１打は打ち下ろし　一本松の左を狙えば安全
6,難易度18位/18ホール中 平均スコア3.89 平均パット数1.93 パーオン率29.3% フェアウェイ率- OB率9.0% バンカー率27.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.93 パーオン率29.3% フェアウェイ率- OB率9.0% バンカー率27.5%,難易度18位/18ホール中 平均スコア3.89 平均パット数1.93 パーオン率29.3% フェアウェイ率- OB率9.0% バンカー率27.5%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率24.3% フェアウェイ率55.0% OB率36.5% バンカー率22.8%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率24.3% フェアウェイ率55.0% OB率36.5% バンカー率22.8%,難易度8位/18ホール中 平均スコア5.34 平均パット数2.02 パーオン率24.3% フェアウェイ率55.0% OB率36.5% バンカー率22.8%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率23.5% フェアウェイ率57.0% OB率34.5% バンカー率13.8%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率23.5% フェアウェイ率57.0% OB率34.5% バンカー率13.8%,難易度12位/18ホール中 平均スコア5.17 平均パット数1.86 パーオン率23.5% フェアウェイ率57.0% OB率34.5% バンカー率13.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：373yd,Hdcp：11,PAR：3,Reg.：183yd,Hdcp：13,PAR：5,Reg.：481yd,Hdcp：9
9,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,真っ直ぐなミドルホール　奥がＬ（左）グリーン,長いショートホール　手前がＬ（左）グリーン,長いショートホール　手前がＬ（左）グリーン,長いショートホール　手前がＬ（左）グリーン,第１打は正面三本松のやや右を目標に,第１打は正面三本松のやや右を目標に,第１打は正面三本松のやや右を目標に
10,難易度13位/18ホール中 平均スコア5.14 平均パット数1.95 パーオン率30.3% フェアウェイ率63.3% OB率27.5% バンカー率29.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数1.95 パーオン率30.3% フェアウェイ率63.3% OB率27.5% バンカー率29.5%,難易度13位/18ホール中 平均スコア5.14 平均パット数1.95 パーオン率30.3% フェアウェイ率63.3% OB率27.5% バンカー率29.5%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.89 パーオン率22.3% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.89 パーオン率22.3% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度15位/18ホール中 平均スコア4.03 平均パット数1.89 パーオン率22.3% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度9位/18ホール中 平均スコア6.24 平均パット数1.95 パーオン率31.5% フェアウェイ率59.3% OB率43.5% バンカー率19.8%,難易度9位/18ホール中 平均スコア6.24 平均パット数1.95 パーオン率31.5% フェアウェイ率59.3% OB率43.5% バンカー率19.8%,難易度9位/18ホール中 平均スコア6.24 平均パット数1.95 パーオン率31.5% フェアウェイ率59.3% OB率43.5% バンカー率19.8%
