,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：498yd,Hdcp：4,PAR：4,Reg.：279yd,Hdcp：9,PAR：4,Reg.：349yd,Hdcp：6
1,打ち下ろしのロングホール　左裾狙い,打ち下ろしのロングホール　左裾狙い,打ち下ろしのロングホール　左裾狙い,距離のないホール　中央右サイド狙い,距離のないホール　中央右サイド狙い,距離のないホール　中央右サイド狙い,中央白樺の左裾狙い,中央白樺の左裾狙い,中央白樺の左裾狙い
2,難易度7位/18ホール中 平均スコア6.3 平均パット数1.93 パーオン率26.0% フェアウェイ率46.8% OB率36.8% バンカー率15.5%,難易度7位/18ホール中 平均スコア6.3 平均パット数1.93 パーオン率26.0% フェアウェイ率46.8% OB率36.8% バンカー率15.5%,難易度7位/18ホール中 平均スコア6.3 平均パット数1.93 パーオン率26.0% フェアウェイ率46.8% OB率36.8% バンカー率15.5%,難易度18位/18ホール中 平均スコア4.97 平均パット数1.94 パーオン率30.8% フェアウェイ率51.5% OB率9.3% バンカー率15.8%,難易度18位/18ホール中 平均スコア4.97 平均パット数1.94 パーオン率30.8% フェアウェイ率51.5% OB率9.3% バンカー率15.8%,難易度18位/18ホール中 平均スコア4.97 平均パット数1.94 パーオン率30.8% フェアウェイ率51.5% OB率9.3% バンカー率15.8%,難易度6位/18ホール中 平均スコア5.34 平均パット数1.87 パーオン率16.0% フェアウェイ率43.3% OB率19.0% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.34 平均パット数1.87 パーオン率16.0% フェアウェイ率43.3% OB率19.0% バンカー率27.0%,難易度6位/18ホール中 平均スコア5.34 平均パット数1.87 パーオン率16.0% フェアウェイ率43.3% OB率19.0% バンカー率27.0%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：198yd,Hdcp：3,PAR：4,Reg.：323yd,Hdcp：8,PAR：5,Reg.：563yd,Hdcp：1
5,距離のあるﾎｰﾙ　花道から攻める,距離のあるﾎｰﾙ　花道から攻める,距離のあるﾎｰﾙ　花道から攻める,距離のないホール,距離のないホール,距離のないホール,距離のあるホール　左サイドは浅い,距離のあるホール　左サイドは浅い,距離のあるホール　左サイドは浅い
6,難易度11位/18ホール中 平均スコア4.15 平均パット数1.97 パーオン率12.8% フェアウェイ率- OB率7.5% バンカー率5.0%,難易度11位/18ホール中 平均スコア4.15 平均パット数1.97 パーオン率12.8% フェアウェイ率- OB率7.5% バンカー率5.0%,難易度11位/18ホール中 平均スコア4.15 平均パット数1.97 パーオン率12.8% フェアウェイ率- OB率7.5% バンカー率5.0%,難易度9位/18ホール中 平均スコア5.25 平均パット数1.91 パーオン率17.5% フェアウェイ率46.0% OB率19.8% バンカー率4.3%,難易度9位/18ホール中 平均スコア5.25 平均パット数1.91 パーオン率17.5% フェアウェイ率46.0% OB率19.8% バンカー率4.3%,難易度9位/18ホール中 平均スコア5.25 平均パット数1.91 パーオン率17.5% フェアウェイ率46.0% OB率19.8% バンカー率4.3%,難易度2位/18ホール中 平均スコア6.48 平均パット数1.94 パーオン率21.0% フェアウェイ率42.5% OB率49.8% バンカー率9.5%,難易度2位/18ホール中 平均スコア6.48 平均パット数1.94 パーオン率21.0% フェアウェイ率42.5% OB率49.8% バンカー率9.5%,難易度2位/18ホール中 平均スコア6.48 平均パット数1.94 パーオン率21.0% フェアウェイ率42.5% OB率49.8% バンカー率9.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：183yd,Hdcp：7,PAR：4,Reg.：282yd,Hdcp：2,PAR：4,Reg.：393yd,Hdcp：5
9,右手前と奥のバンカーに注意して中央狙い,右手前と奥のバンカーに注意して中央狙い,右手前と奥のバンカーに注意して中央狙い,距離のない打ち上げのホール,距離のない打ち上げのホール,距離のない打ち上げのホール,距離のある打ち上げのホール,距離のある打ち上げのホール,距離のある打ち上げのホール
10,難易度15位/18ホール中 平均スコア4.1 平均パット数1.83 パーオン率13.0% フェアウェイ率- OB率16.8% バンカー率25.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.83 パーオン率13.0% フェアウェイ率- OB率16.8% バンカー率25.3%,難易度15位/18ホール中 平均スコア4.1 平均パット数1.83 パーオン率13.0% フェアウェイ率- OB率16.8% バンカー率25.3%,難易度17位/18ホール中 平均スコア5.01 平均パット数1.89 パーオン率27.8% フェアウェイ率48.8% OB率22.5% バンカー率2.0%,難易度17位/18ホール中 平均スコア5.01 平均パット数1.89 パーオン率27.8% フェアウェイ率48.8% OB率22.5% バンカー率2.0%,難易度17位/18ホール中 平均スコア5.01 平均パット数1.89 パーオン率27.8% フェアウェイ率48.8% OB率22.5% バンカー率2.0%,難易度3位/18ホール中 平均スコア5.5 平均パット数1.87 パーオン率5.8% フェアウェイ率48.8% OB率36.3% バンカー率4.8%,難易度3位/18ホール中 平均スコア5.5 平均パット数1.87 パーオン率5.8% フェアウェイ率48.8% OB率36.3% バンカー率4.8%,難易度3位/18ホール中 平均スコア5.5 平均パット数1.87 パーオン率5.8% フェアウェイ率48.8% OB率36.3% バンカー率4.8%
