,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：4,Reg.：311yd,Hdcp：13,PAR：4,Reg.：398yd,Hdcp：3,PAR：5,Reg.：462yd,Hdcp：9
1,短いミドルホール,短いミドルホール,短いミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度4位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率20.5% フェアウェイ率49.3% OB率20.0% バンカー率36.8%,難易度4位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率20.5% フェアウェイ率49.3% OB率20.0% バンカー率36.8%,難易度4位/18ホール中 平均スコア5.46 平均パット数2.1 パーオン率20.5% フェアウェイ率49.3% OB率20.0% バンカー率36.8%,難易度2位/18ホール中 平均スコア5.63 平均パット数2.19 パーオン率14.3% フェアウェイ率47.3% OB率15.3% バンカー率28.3%,難易度2位/18ホール中 平均スコア5.63 平均パット数2.19 パーオン率14.3% フェアウェイ率47.3% OB率15.3% バンカー率28.3%,難易度2位/18ホール中 平均スコア5.63 平均パット数2.19 パーオン率14.3% フェアウェイ率47.3% OB率15.3% バンカー率28.3%,難易度13位/18ホール中 平均スコア6.14 平均パット数2.02 パーオン率35.5% フェアウェイ率45.3% OB率27.3% バンカー率25.5%,難易度13位/18ホール中 平均スコア6.14 平均パット数2.02 パーオン率35.5% フェアウェイ率45.3% OB率27.3% バンカー率25.5%,難易度13位/18ホール中 平均スコア6.14 平均パット数2.02 パーオン率35.5% フェアウェイ率45.3% OB率27.3% バンカー率25.5%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：3,Reg.：143yd,Hdcp：15,PAR：4,Reg.：380yd,Hdcp：7,PAR：4,Reg.：367yd,Hdcp：1
5,,,,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール
6,難易度17位/18ホール中 平均スコア3.85 平均パット数2 パーオン率36.8% フェアウェイ率- OB率13.7% バンカー率32.3%,難易度17位/18ホール中 平均スコア3.85 平均パット数2 パーオン率36.8% フェアウェイ率- OB率13.7% バンカー率32.3%,難易度17位/18ホール中 平均スコア3.85 平均パット数2 パーオン率36.8% フェアウェイ率- OB率13.7% バンカー率32.3%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率18.8% フェアウェイ率50.0% OB率42.3% バンカー率27.8%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率18.8% フェアウェイ率50.0% OB率42.3% バンカー率27.8%,難易度5位/18ホール中 平均スコア5.51 平均パット数2 パーオン率18.8% フェアウェイ率50.0% OB率42.3% バンカー率27.8%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率17.5% フェアウェイ率55.8% OB率24.3% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率17.5% フェアウェイ率55.8% OB率24.3% バンカー率23.5%,難易度7位/18ホール中 平均スコア5.47 平均パット数2.11 パーオン率17.5% フェアウェイ率55.8% OB率24.3% バンカー率23.5%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：4,Reg.：354yd,Hdcp：11,PAR：5,Reg.：465yd,Hdcp：5,PAR：3,Reg.：156yd,Hdcp：17
9,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
10,難易度14位/18ホール中 平均スコア5.11 平均パット数2.04 パーオン率33.8% フェアウェイ率56.8% OB率18.3% バンカー率3.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数2.04 パーオン率33.8% フェアウェイ率56.8% OB率18.3% バンカー率3.3%,難易度14位/18ホール中 平均スコア5.11 平均パット数2.04 パーオン率33.8% フェアウェイ率56.8% OB率18.3% バンカー率3.3%,難易度11位/18ホール中 平均スコア6.24 平均パット数2.1 パーオン率30.3% フェアウェイ率45.3% OB率11.5% バンカー率39.5%,難易度11位/18ホール中 平均スコア6.24 平均パット数2.1 パーオン率30.3% フェアウェイ率45.3% OB率11.5% バンカー率39.5%,難易度11位/18ホール中 平均スコア6.24 平均パット数2.1 パーオン率30.3% フェアウェイ率45.3% OB率11.5% バンカー率39.5%,難易度16位/18ホール中 平均スコア3.88 平均パット数1.98 パーオン率37.3% フェアウェイ率- OB率12.0% バンカー率3.5%,難易度16位/18ホール中 平均スコア3.88 平均パット数1.98 パーオン率37.3% フェアウェイ率- OB率12.0% バンカー率3.5%,難易度16位/18ホール中 平均スコア3.88 平均パット数1.98 パーオン率37.3% フェアウェイ率- OB率12.0% バンカー率3.5%
