,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：5,Reg.：480yd,Hdcp：8,PAR：4,Reg.：340yd,Hdcp：3,PAR：4,Reg.：345yd,Hdcp：4
1,,,,,,,,,
2,難易度5位/9ホール中 平均スコア6.36 平均パット数2.04 パーオン率28.3% フェアウェイ率44.5% OB率41.0% バンカー率25.5%,難易度5位/9ホール中 平均スコア6.36 平均パット数2.04 パーオン率28.3% フェアウェイ率44.5% OB率41.0% バンカー率25.5%,難易度5位/9ホール中 平均スコア6.36 平均パット数2.04 パーオン率28.3% フェアウェイ率44.5% OB率41.0% バンカー率25.5%,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率25.0% フェアウェイ率42.0% OB率24.7% バンカー率29.0%,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率25.0% フェアウェイ率42.0% OB率24.7% バンカー率29.0%,難易度6位/9ホール中 平均スコア5.16 平均パット数1.96 パーオン率25.0% フェアウェイ率42.0% OB率24.7% バンカー率29.0%,難易度1位/9ホール中 平均スコア5.64 平均パット数2.05 パーオン率14.8% フェアウェイ率29.8% OB率35.3% バンカー率44.0%,難易度1位/9ホール中 平均スコア5.64 平均パット数2.05 パーオン率14.8% フェアウェイ率29.8% OB率35.3% バンカー率44.0%,難易度1位/9ホール中 平均スコア5.64 平均パット数2.05 パーオン率14.8% フェアウェイ率29.8% OB率35.3% バンカー率44.0%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：160yd,Hdcp：5,PAR：5,Reg.：480yd,Hdcp：1,PAR：4,Reg.：410yd,Hdcp：6
5,,,,,,,,,
6,難易度7位/9ホール中 平均スコア4.15 平均パット数1.93 パーオン率17.3% フェアウェイ率- OB率18.8% バンカー率50.0%,難易度7位/9ホール中 平均スコア4.15 平均パット数1.93 パーオン率17.3% フェアウェイ率- OB率18.8% バンカー率50.0%,難易度7位/9ホール中 平均スコア4.15 平均パット数1.93 パーオン率17.3% フェアウェイ率- OB率18.8% バンカー率50.0%,難易度4位/9ホール中 平均スコア6.49 平均パット数2.05 パーオン率24.5% フェアウェイ率51.0% OB率43.5% バンカー率12.5%,難易度4位/9ホール中 平均スコア6.49 平均パット数2.05 パーオン率24.5% フェアウェイ率51.0% OB率43.5% バンカー率12.5%,難易度4位/9ホール中 平均スコア6.49 平均パット数2.05 パーオン率24.5% フェアウェイ率51.0% OB率43.5% バンカー率12.5%,難易度3位/9ホール中 平均スコア5.52 平均パット数1.94 パーオン率11.8% フェアウェイ率44.8% OB率26.0% バンカー率30.0%,難易度3位/9ホール中 平均スコア5.52 平均パット数1.94 パーオン率11.8% フェアウェイ率44.8% OB率26.0% バンカー率30.0%,難易度3位/9ホール中 平均スコア5.52 平均パット数1.94 パーオン率11.8% フェアウェイ率44.8% OB率26.0% バンカー率30.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：320yd,Hdcp：9,PAR：3,Reg.：150yd,Hdcp：7,PAR：4,Reg.：400yd,Hdcp：2
9,,,,,,,,,
10,難易度9位/9ホール中 平均スコア4.89 平均パット数1.87 パーオン率34.0% フェアウェイ率50.8% OB率26.0% バンカー率23.3%,難易度9位/9ホール中 平均スコア4.89 平均パット数1.87 パーオン率34.0% フェアウェイ率50.8% OB率26.0% バンカー率23.3%,難易度9位/9ホール中 平均スコア4.89 平均パット数1.87 パーオン率34.0% フェアウェイ率50.8% OB率26.0% バンカー率23.3%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率13.0% バンカー率48.3%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率13.0% バンカー率48.3%,難易度8位/9ホール中 平均スコア3.93 平均パット数1.93 パーオン率28.8% フェアウェイ率- OB率13.0% バンカー率48.3%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.02 パーオン率9.8% フェアウェイ率48.8% OB率16.8% バンカー率22.5%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.02 パーオン率9.8% フェアウェイ率48.8% OB率16.8% バンカー率22.5%,難易度2位/9ホール中 平均スコア5.59 平均パット数2.02 パーオン率9.8% フェアウェイ率48.8% OB率16.8% バンカー率22.5%
