,HOLE：10,HOLE：10.1,HOLE：10.2,HOLE：11,HOLE：11.1,HOLE：11.2,HOLE：12,HOLE：12.1,HOLE：12.2
0,PAR：4,Reg.：264yd,Hdcp：8,PAR：4,Reg.：230yd,Hdcp：5,PAR：3,Reg.：89yd,Hdcp：18
1,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール,短いショートホール　ガードバンカーに注意,短いショートホール　ガードバンカーに注意,短いショートホール　ガードバンカーに注意
2,難易度10位/18ホール中 平均スコア5.22 平均パット数2.02 パーオン率28.8% フェアウェイ率71.0% OB率42.3% バンカー率5.3%,難易度10位/18ホール中 平均スコア5.22 平均パット数2.02 パーオン率28.8% フェアウェイ率71.0% OB率42.3% バンカー率5.3%,難易度10位/18ホール中 平均スコア5.22 平均パット数2.02 パーオン率28.8% フェアウェイ率71.0% OB率42.3% バンカー率5.3%,難易度4位/18ホール中 平均スコア5.77 平均パット数2.12 パーオン率17.0% フェアウェイ率57.0% OB率55.0% バンカー率3.0%,難易度4位/18ホール中 平均スコア5.77 平均パット数2.12 パーオン率17.0% フェアウェイ率57.0% OB率55.0% バンカー率3.0%,難易度4位/18ホール中 平均スコア5.77 平均パット数2.12 パーオン率17.0% フェアウェイ率57.0% OB率55.0% バンカー率3.0%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.92 パーオン率26.8% フェアウェイ率- OB率30.3% バンカー率17.7%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.92 パーオン率26.8% フェアウェイ率- OB率30.3% バンカー率17.7%,難易度18位/18ホール中 平均スコア3.95 平均パット数1.92 パーオン率26.8% フェアウェイ率- OB率30.3% バンカー率17.7%
3,HOLE：13,HOLE：13,HOLE：13,HOLE：14,HOLE：14,HOLE：14,HOLE：15,HOLE：15,HOLE：15
4,PAR：3,Reg.：133yd,Hdcp：12,PAR：3,Reg.：140yd,Hdcp：10,PAR：3,Reg.：109yd,Hdcp：17
5,短いショートホール,短いショートホール,短いショートホール,右ドックレッグのショートホール,右ドックレッグのショートホール,右ドックレッグのショートホール,池越えのショートホール,池越えのショートホール,池越えのショートホール
6,難易度13位/18ホール中 平均スコア4.18 平均パット数2.12 パーオン率27.3% フェアウェイ率- OB率40.0% バンカー率12.7%,難易度13位/18ホール中 平均スコア4.18 平均パット数2.12 パーオン率27.3% フェアウェイ率- OB率40.0% バンカー率12.7%,難易度13位/18ホール中 平均スコア4.18 平均パット数2.12 パーオン率27.3% フェアウェイ率- OB率40.0% バンカー率12.7%,難易度14位/18ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率46.3% バンカー率1.0%,難易度14位/18ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率46.3% バンカー率1.0%,難易度14位/18ホール中 平均スコア4.07 平均パット数1.94 パーオン率20.8% フェアウェイ率- OB率46.3% バンカー率1.0%,難易度15位/18ホール中 平均スコア3.98 平均パット数2.07 パーオン率34.5% フェアウェイ率- OB率38.3% バンカー率4.0%,難易度15位/18ホール中 平均スコア3.98 平均パット数2.07 パーオン率34.5% フェアウェイ率- OB率38.3% バンカー率4.0%,難易度15位/18ホール中 平均スコア3.98 平均パット数2.07 パーオン率34.5% フェアウェイ率- OB率38.3% バンカー率4.0%
7,HOLE：16,HOLE：16,HOLE：16,HOLE：17,HOLE：17,HOLE：17,HOLE：18,HOLE：18,HOLE：18
8,PAR：4,Reg.：265yd,Hdcp：6,PAR：3,Reg.：97yd,Hdcp：16,PAR：4,Reg.：305yd,Hdcp：2
9,真っ直ぐなミドルホール　木に注意,真っ直ぐなミドルホール　木に注意,真っ直ぐなミドルホール　木に注意,短いショートホール,短いショートホール,短いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度5位/18ホール中 平均スコア5.63 平均パット数2.02 パーオン率16.5% フェアウェイ率57.0% OB率52.8% バンカー率6.0%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.02 パーオン率16.5% フェアウェイ率57.0% OB率52.8% バンカー率6.0%,難易度5位/18ホール中 平均スコア5.63 平均パット数2.02 パーオン率16.5% フェアウェイ率57.0% OB率52.8% バンカー率6.0%,難易度16位/18ホール中 平均スコア3.97 平均パット数1.91 パーオン率25.0% フェアウェイ率- OB率25.3% バンカー率15.0%,難易度16位/18ホール中 平均スコア3.97 平均パット数1.91 パーオン率25.0% フェアウェイ率- OB率25.3% バンカー率15.0%,難易度16位/18ホール中 平均スコア3.97 平均パット数1.91 パーオン率25.0% フェアウェイ率- OB率25.3% バンカー率15.0%,難易度6位/18ホール中 平均スコア5.61 平均パット数2.15 パーオン率19.3% フェアウェイ率51.3% OB率55.5% バンカー率4.0%,難易度6位/18ホール中 平均スコア5.61 平均パット数2.15 パーオン率19.3% フェアウェイ率51.3% OB率55.5% バンカー率4.0%,難易度6位/18ホール中 平均スコア5.61 平均パット数2.15 パーオン率19.3% フェアウェイ率51.3% OB率55.5% バンカー率4.0%
