,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：476yd,Hdcp：15,PAR：4,Reg.：402yd,Hdcp：3,PAR：4,Reg.：379yd,Hdcp：9
1,Ｓ字のロングホール,Ｓ字のロングホール,Ｓ字のロングホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール,右ドッグレッグのミドルホール
2,難易度11位/18ホール中 平均スコア6.3 平均パット数2.1 パーオン率33.3% フェアウェイ率49.3% OB率28.0% バンカー率16.8%,難易度11位/18ホール中 平均スコア6.3 平均パット数2.1 パーオン率33.3% フェアウェイ率49.3% OB率28.0% バンカー率16.8%,難易度11位/18ホール中 平均スコア6.3 平均パット数2.1 パーオン率33.3% フェアウェイ率49.3% OB率28.0% バンカー率16.8%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.13 パーオン率11.0% フェアウェイ率51.0% OB率38.3% バンカー率15.5%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.13 パーオン率11.0% フェアウェイ率51.0% OB率38.3% バンカー率15.5%,難易度1位/18ホール中 平均スコア5.71 平均パット数2.13 パーオン率11.0% フェアウェイ率51.0% OB率38.3% バンカー率15.5%,難易度8位/18ホール中 平均スコア5.41 平均パット数2.07 パーオン率19.3% フェアウェイ率46.5% OB率23.8% バンカー率19.8%,難易度8位/18ホール中 平均スコア5.41 平均パット数2.07 パーオン率19.3% フェアウェイ率46.5% OB率23.8% バンカー率19.8%,難易度8位/18ホール中 平均スコア5.41 平均パット数2.07 パーオン率19.3% フェアウェイ率46.5% OB率23.8% バンカー率19.8%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：318yd,Hdcp：13,PAR：3,Reg.：169yd,Hdcp：7,PAR：4,Reg.：329yd,Hdcp：1
5,真っ直ぐなミドルホール,真っ直ぐなミドルホール,真っ直ぐなミドルホール,池越えのショートホール,池越えのショートホール,池越えのショートホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール,左ドッグレッグのミドルホール
6,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.3% フェアウェイ率51.3% OB率13.8% バンカー率25.8%,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.3% フェアウェイ率51.3% OB率13.8% バンカー率25.8%,難易度14位/18ホール中 平均スコア5.18 平均パット数2.07 パーオン率29.3% フェアウェイ率51.3% OB率13.8% バンカー率25.8%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.06 パーオン率41.5% フェアウェイ率- OB率11.3% バンカー率9.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.06 パーオン率41.5% フェアウェイ率- OB率11.3% バンカー率9.0%,難易度17位/18ホール中 平均スコア3.88 平均パット数2.06 パーオン率41.5% フェアウェイ率- OB率11.3% バンカー率9.0%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.13 パーオン率29.5% フェアウェイ率43.3% OB率7.3% バンカー率7.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.13 パーオン率29.5% フェアウェイ率43.3% OB率7.3% バンカー率7.8%,難易度13位/18ホール中 平均スコア5.23 平均パット数2.13 パーオン率29.5% フェアウェイ率43.3% OB率7.3% バンカー率7.8%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：5,Reg.：518yd,Hdcp：17,PAR：3,Reg.：164yd,Hdcp：5,PAR：4,Reg.：368yd,Hdcp：11
9,右ドッグレッグのロングホール,右ドッグレッグのロングホール,右ドッグレッグのロングホール,長いショートホール,長いショートホール,長いショートホール,Ｓ字のミドルホール,Ｓ字のミドルホール,Ｓ字のミドルホール
10,難易度4位/18ホール中 平均スコア6.42 平均パット数2.08 パーオン率28.3% フェアウェイ率52.8% OB率6.8% バンカー率15.0%,難易度4位/18ホール中 平均スコア6.42 平均パット数2.08 パーオン率28.3% フェアウェイ率52.8% OB率6.8% バンカー率15.0%,難易度4位/18ホール中 平均スコア6.42 平均パット数2.08 パーオン率28.3% フェアウェイ率52.8% OB率6.8% バンカー率15.0%,難易度15位/18ホール中 平均スコア4.12 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率4.8% バンカー率12.8%,難易度15位/18ホール中 平均スコア4.12 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率4.8% バンカー率12.8%,難易度15位/18ホール中 平均スコア4.12 平均パット数2.12 パーオン率30.3% フェアウェイ率- OB率4.8% バンカー率12.8%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率18.5% フェアウェイ率49.8% OB率10.0% バンカー率26.0%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率18.5% フェアウェイ率49.8% OB率10.0% バンカー率26.0%,難易度7位/18ホール中 平均スコア5.39 平均パット数2.07 パーオン率18.5% フェアウェイ率49.8% OB率10.0% バンカー率26.0%
