,HOLE：1,HOLE：1.1,HOLE：1.2,HOLE：2,HOLE：2.1,HOLE：2.2,HOLE：3,HOLE：3.1,HOLE：3.2
0,PAR：5,Reg.：493yd,Hdcp：3,PAR：3,Reg.：163yd,Hdcp：15,PAR：4,Reg.：340yd,Hdcp：9
1,ゆるやかな右ドッグレッグロングホール,ゆるやかな右ドッグレッグロングホール,ゆるやかな右ドッグレッグロングホール,距離加減が難しく、ショートし易い,距離加減が難しく、ショートし易い,距離加減が難しく、ショートし易い,右狙いよりも左から攻めた方が堅い,右狙いよりも左から攻めた方が堅い,右狙いよりも左から攻めた方が堅い
2,難易度7位/18ホール中 平均スコア6.39 平均パット数1.97 パーオン率19.5% フェアウェイ率43.5% OB率9.0% バンカー率18.0%,難易度7位/18ホール中 平均スコア6.39 平均パット数1.97 パーオン率19.5% フェアウェイ率43.5% OB率9.0% バンカー率18.0%,難易度7位/18ホール中 平均スコア6.39 平均パット数1.97 パーオン率19.5% フェアウェイ率43.5% OB率9.0% バンカー率18.0%,難易度18位/18ホール中 平均スコア4.09 平均パット数1.92 パーオン率17.5% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度18位/18ホール中 平均スコア4.09 平均パット数1.92 パーオン率17.5% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度18位/18ホール中 平均スコア4.09 平均パット数1.92 パーオン率17.5% フェアウェイ率- OB率23.3% バンカー率23.8%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.95 パーオン率16.5% フェアウェイ率46.8% OB率30.3% バンカー率22.3%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.95 パーオン率16.5% フェアウェイ率46.8% OB率30.3% バンカー率22.3%,難易度9位/18ホール中 平均スコア5.42 平均パット数1.95 パーオン率16.5% フェアウェイ率46.8% OB率30.3% バンカー率22.3%
3,HOLE：4,HOLE：4,HOLE：4,HOLE：5,HOLE：5,HOLE：5,HOLE：6,HOLE：6,HOLE：6
4,PAR：4,Reg.：442yd,Hdcp：1,PAR：4,Reg.：396yd,Hdcp：7,PAR：4,Reg.：324yd,Hdcp：13
5,林間コースを思わせる美しい名物ホール,林間コースを思わせる美しい名物ホール,林間コースを思わせる美しい名物ホール,第一打は豪快に、第二打は繊細に攻める,第一打は豪快に、第二打は繊細に攻める,第一打は豪快に、第二打は繊細に攻める,距離があるようで狭く感じるがふところは広い,距離があるようで狭く感じるがふところは広い,距離があるようで狭く感じるがふところは広い
6,難易度1位/18ホール中 平均スコア6.03 平均パット数1.95 パーオン率2.0% フェアウェイ率59.5% OB率36.0% バンカー率15.3%,難易度1位/18ホール中 平均スコア6.03 平均パット数1.95 パーオン率2.0% フェアウェイ率59.5% OB率36.0% バンカー率15.3%,難易度1位/18ホール中 平均スコア6.03 平均パット数1.95 パーオン率2.0% フェアウェイ率59.5% OB率36.0% バンカー率15.3%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.89 パーオン率11.0% フェアウェイ率55.8% OB率33.5% バンカー率16.8%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.89 パーオン率11.0% フェアウェイ率55.8% OB率33.5% バンカー率16.8%,難易度4位/18ホール中 平均スコア5.61 平均パット数1.89 パーオン率11.0% フェアウェイ率55.8% OB率33.5% バンカー率16.8%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率23.3% フェアウェイ率51.3% OB率26.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率23.3% フェアウェイ率51.3% OB率26.0% バンカー率17.3%,難易度10位/18ホール中 平均スコア5.37 平均パット数2.07 パーオン率23.3% フェアウェイ率51.3% OB率26.0% バンカー率17.3%
7,HOLE：7,HOLE：7,HOLE：7,HOLE：8,HOLE：8,HOLE：8,HOLE：9,HOLE：9,HOLE：9
8,PAR：3,Reg.：171yd,Hdcp：17,PAR：5,Reg.：513yd,Hdcp：5,PAR：4,Reg.：323yd,Hdcp：11
9,ニアピンお勧めホール,ニアピンお勧めホール,ニアピンお勧めホール,左ドッグの攻略性豊かなホール,左ドッグの攻略性豊かなホール,左ドッグの攻略性豊かなホール,まっすぐで、やや打ち下ろしのミドル,まっすぐで、やや打ち下ろしのミドル,まっすぐで、やや打ち下ろしのミドル
10,難易度15位/18ホール中 平均スコア4.12 平均パット数1.96 パーオン率17.8% フェアウェイ率- OB率4.7% バンカー率22.5%,難易度15位/18ホール中 平均スコア4.12 平均パット数1.96 パーオン率17.8% フェアウェイ率- OB率4.7% バンカー率22.5%,難易度15位/18ホール中 平均スコア4.12 平均パット数1.96 パーオン率17.8% フェアウェイ率- OB率4.7% バンカー率22.5%,難易度12位/18ホール中 平均スコア6.26 平均パット数2.01 パーオン率23.8% フェアウェイ率47.3% OB率3.3% バンカー率31.3%,難易度12位/18ホール中 平均スコア6.26 平均パット数2.01 パーオン率23.8% フェアウェイ率47.3% OB率3.3% バンカー率31.3%,難易度12位/18ホール中 平均スコア6.26 平均パット数2.01 パーオン率23.8% フェアウェイ率47.3% OB率3.3% バンカー率31.3%,難易度17位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率29.8% フェアウェイ率49.0% OB率14.8% バンカー率25.0%,難易度17位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率29.8% フェアウェイ率49.0% OB率14.8% バンカー率25.0%,難易度17位/18ホール中 平均スコア5.04 平均パット数1.93 パーオン率29.8% フェアウェイ率49.0% OB率14.8% バンカー率25.0%
